,In_g,days_exp
2020-10-01 15:06:19-18:00,0.032,1
2020-10-01 15:17:20-18:00,0.129,1
2020-10-01 15:17:26-18:00,0.004,1
2020-10-01 15:18:38-18:00,0.009,1
2020-10-01 15:20:46-18:00,0.049,1
2020-10-01 15:23:24-18:00,0.559,1
2020-10-01 15:25:13-18:00,0.133,1
2020-10-01 15:27:15-18:00,0.046,1
2020-10-01 15:28:28-18:00,0.021,1
2020-10-01 15:30:53-18:00,0.102,1
2020-10-01 15:35:32-18:00,0.074,1
2020-10-01 15:41:41-18:00,0.044,1
2020-10-01 15:41:45-18:00,0.174,1
2020-10-01 15:42:59-18:00,0.098,1
2020-10-01 15:45:37-18:00,0.064,1
2020-10-01 15:50:12-18:00,0.193,1
2020-10-01 15:52:40-18:00,0.022,1
2020-10-01 15:53:08-18:00,0.217,1
2020-10-01 15:58:44-18:00,0.007,1
2020-10-01 15:59:28-18:00,0.07,1
2020-10-01 16:03:30-18:00,0.219,1
2020-10-01 16:05:46-18:00,0.16,1
2020-10-01 16:11:42-18:00,0.084,1
2020-10-01 16:16:45-18:00,0.097,1
2020-10-01 16:20:53-18:00,0.205,1
2020-10-01 16:26:18-18:00,0.049,1
2020-10-01 16:29:21-18:00,0.129,1
2020-10-01 16:29:47-18:00,0.084,1
2020-10-01 16:35:12-18:00,0.191,1
2020-10-01 16:38:18-18:00,0.018,1
2020-10-01 16:39:42-18:00,0.158,1
2020-10-01 16:40:33-18:00,0.055,1
2020-10-01 16:44:51-18:00,0.008,1
2020-10-01 16:44:55-18:00,0.126,1
2020-10-01 16:47:43-18:00,0.003,1
2020-10-01 16:48:05-18:00,0.084,1
2020-10-01 16:48:18-18:00,0.671,1
2020-10-01 16:48:34-18:00,0.195,1
2020-10-01 16:49:43-18:00,0.021,1
2020-10-01 16:50:52-18:00,0.151,1
2020-10-01 16:52:04-18:00,0.131,1
2020-10-01 16:54:08-18:00,0.182,1
2020-10-01 17:00:54-18:00,0.007,1
2020-10-01 17:01:07-18:00,0.035,1
2020-10-01 17:05:47-18:00,0.025,1
2020-10-01 17:06:13-18:00,0.085,1
2020-10-01 17:09:20-18:00,0.012,1
2020-10-01 17:09:46-18:00,0.059,1
2020-10-01 17:10:10-18:00,0.111,1
2020-10-01 17:10:47-18:00,0.108,1
2020-10-01 17:15:40-18:00,0.015,1
2020-10-01 17:15:58-18:00,0.716,1
2020-10-01 17:17:32-18:00,0.888,1
2020-10-01 17:18:04-18:00,0.132,1
2020-10-01 17:21:32-18:00,0.087,1
2020-10-01 17:28:09-18:00,0.002,1
2020-10-01 17:28:44-18:00,0.056,1
2020-10-01 17:28:53-18:00,0.007,1
2020-10-01 17:31:01-18:00,0.171,1
2020-10-01 17:31:15-18:00,0.02,1
2020-10-01 17:34:09-18:00,0.024,1
2020-10-01 17:36:07-18:00,0.044,1
2020-10-01 17:36:12-18:00,0.006,1
2020-10-01 17:39:31-18:00,0.097,1
2020-10-01 17:39:34-18:00,0.136,1
2020-10-01 17:40:01-18:00,0.022,1
2020-10-01 17:41:35-18:00,0.002,1
2020-10-01 17:42:12-18:00,0.134,1
2020-10-01 17:43:18-18:00,0.005,1
2020-10-01 17:45:52-18:00,0.124,1
2020-10-01 17:46:15-18:00,0.015,1
2020-10-01 17:50:05-18:00,0.016,1
2020-10-01 17:50:07-18:00,0.251,1
2020-10-01 17:51:05-18:00,0.014,1
2020-10-01 17:51:16-18:00,0.06,1
2020-10-01 17:55:10-18:00,0.088,1
2020-10-01 17:55:27-18:00,0.099,1
2020-10-01 17:57:23-18:00,0.0645,1
2020-10-01 18:00:30-18:00,0.061,1
2020-10-01 18:01:02-18:00,0.003,1
2020-10-01 18:03:34-18:00,0.073,1
2020-10-01 18:05:18-18:00,0.171,1
2020-10-01 18:08:28-18:00,0.057,1
2020-10-01 18:09:39-18:00,0.021,1
2020-10-01 18:11:44-18:00,0.157,1
2020-10-01 18:14:05-18:00,0.045,1
2020-10-01 18:14:11-18:00,0.01,1
2020-10-01 18:15:05-18:00,0.077,1
2020-10-01 18:15:15-18:00,0.073,1
2020-10-01 18:25:54-18:00,0.003,1
2020-10-01 18:26:18-18:00,0.008,1
2020-10-01 18:28:39-18:00,0.602,1
2020-10-01 18:29:46-18:00,0.09,1
2020-10-01 18:31:40-18:00,0.226,1
2020-10-01 18:31:58-18:00,0.152,1
2020-10-01 18:32:05-18:00,0.037,1
2020-10-01 18:32:07-18:00,0.039,1
2020-10-01 18:32:56-18:00,0.604,1
2020-10-01 18:32:57-18:00,0.115,1
2020-10-01 18:36:27-18:00,0.078,1
2020-10-01 18:37:17-18:00,0.002,1
2020-10-01 18:40:07-18:00,0.183,1
2020-10-01 18:48:27-18:00,0.058,1
2020-10-01 18:48:37-18:00,0.057,1
2020-10-01 18:52:34-18:00,0.003,1
2020-10-01 18:52:45-18:00,0.045,1
2020-10-01 18:52:56-18:00,0.128,1
2020-10-01 18:57:45-18:00,0.001,1
2020-10-01 18:57:46-18:00,0.002,1
2020-10-01 18:58:41-18:00,0.171,1
2020-10-01 18:58:46-18:00,0.006,1
2020-10-01 18:59:53-18:00,0.014,1
2020-10-01 19:02:11-18:00,0.789,1
2020-10-01 19:05:51-18:00,0.023,1
2020-10-01 19:06:50-18:00,0.134,1
2020-10-01 19:08:06-18:00,0.12,1
2020-10-01 19:09:43-18:00,0.011,1
2020-10-01 19:10:59-18:00,0.002,1
2020-10-01 19:11:13-18:00,0.0795,1
2020-10-01 19:12:06-18:00,0.716,1
2020-10-01 19:12:30-18:00,0.158,1
2020-10-01 19:15:03-18:00,0.002,1
2020-10-01 19:15:46-18:00,0.058,1
2020-10-01 19:17:49-18:00,0.087,1
2020-10-01 19:19:57-18:00,0.065,1
2020-10-01 19:25:55-18:00,0.007,1
2020-10-01 19:29:47-18:00,0.125,1
2020-10-01 19:30:37-18:00,0.101,1
2020-10-01 19:30:45-18:00,0.016,1
2020-10-01 19:36:32-18:00,0.018,1
2020-10-01 19:36:52-18:00,0.14,1
2020-10-01 19:36:55-18:00,0.13,1
2020-10-01 19:38:09-18:00,0.081,1
2020-10-01 19:39:23-18:00,0.051,1
2020-10-01 19:41:02-18:00,0.103,1
2020-10-01 19:41:33-18:00,0.161,1
2020-10-01 19:44:51-18:00,0.117,1
2020-10-01 19:48:22-18:00,0.08,1
2020-10-01 19:50:39-18:00,0.002,1
2020-10-01 19:55:05-18:00,0.143,1
2020-10-01 19:56:09-18:00,0.056,1
2020-10-01 19:57:30-18:00,0.038,1
2020-10-01 19:57:56-18:00,0.082,1
2020-10-01 19:58:04-18:00,0.147,1
2020-10-01 19:58:09-18:00,0.197,1
2020-10-01 19:59:17-18:00,0.075,1
2020-10-01 20:05:22-18:00,0.23,1
2020-10-01 20:06:22-18:00,0.076,1
2020-10-01 20:09:40-18:00,0.123,1
2020-10-01 20:10:32-18:00,0.201,1
2020-10-01 20:11:37-18:00,0.077,1
2020-10-01 20:12:19-18:00,0.316,1
2020-10-01 20:13:22-18:00,0.125,1
2020-10-01 20:13:27-18:00,0.057,1
2020-10-01 20:14:40-18:00,0.035,1
2020-10-01 20:15:35-18:00,0.061,1
2020-10-01 20:21:47-18:00,0.078,1
2020-10-01 20:23:17-18:00,0.002,1
2020-10-01 20:23:33-18:00,0.185,1
2020-10-01 20:29:07-18:00,0.098,1
2020-10-01 20:30:35-18:00,0.039,1
2020-10-01 20:32:29-18:00,0.046,1
2020-10-01 20:33:09-18:00,0.065,1
2020-10-01 20:34:46-18:00,0.104,1
2020-10-01 20:34:55-18:00,0.1755,1
2020-10-01 20:35:21-18:00,0.083,1
2020-10-01 20:37:33-18:00,0.006,1
2020-10-01 20:41:11-18:00,0.407,1
2020-10-01 20:42:33-18:00,0.112,1
2020-10-01 20:45:54-18:00,0.134,1
2020-10-01 20:47:11-18:00,0.076,1
2020-10-01 20:51:30-18:00,0.001,1
2020-10-01 20:52:16-18:00,0.001,1
2020-10-01 20:54:35-18:00,0.176,1
2020-10-01 20:56:19-18:00,0.028,1
2020-10-01 20:57:23-18:00,0.085,1
2020-10-01 20:58:53-18:00,0.007,1
2020-10-01 20:59:25-18:00,0.148,1
2020-10-01 20:59:57-18:00,0.033,1
2020-10-01 21:03:16-18:00,0.083,1
2020-10-01 21:03:24-18:00,0.071,1
2020-10-01 21:03:28-18:00,0.133,1
2020-10-01 21:04:37-18:00,0.189,1
2020-10-01 21:07:45-18:00,0.025,1
2020-10-01 21:08:56-18:00,0.076,1
2020-10-01 21:10:37-18:00,0.134,1
2020-10-01 21:11:00-18:00,0.035,1
2020-10-01 21:11:27-18:00,0.053,1
2020-10-01 21:16:23-18:00,0.011,1
2020-10-01 21:18:19-18:00,0.162,1
2020-10-01 21:18:45-18:00,0.069,1
2020-10-01 21:19:50-18:00,0.264,1
2020-10-01 21:20:00-18:00,0.219,1
2020-10-01 21:20:26-18:00,0.004,1
2020-10-01 21:21:46-18:00,0.007,1
2020-10-01 21:21:59-18:00,0.067,1
2020-10-01 21:25:04-18:00,0.011,1
2020-10-01 21:25:14-18:00,0.19,1
2020-10-01 21:27:20-18:00,0.008,1
2020-10-01 21:27:39-18:00,0.103,1
2020-10-01 21:28:51-18:00,0.201,1
2020-10-01 21:29:00-18:00,0.109,1
2020-10-01 21:30:25-18:00,0.226,1
2020-10-01 21:34:39-18:00,0.105,1
2020-10-01 21:34:45-18:00,0.163,1
2020-10-01 21:36:41-18:00,0.016,1
2020-10-01 21:37:03-18:00,0.015,1
2020-10-01 21:37:42-18:00,0.212,1
2020-10-01 21:38:32-18:00,0.095,1
2020-10-01 21:43:33-18:00,0.11,1
2020-10-01 21:43:34-18:00,0.186,1
2020-10-01 21:43:57-18:00,0.098,1
2020-10-01 21:44:45-18:00,0.015,1
2020-10-01 21:45:17-18:00,0.114,1
2020-10-01 21:47:30-18:00,0.091,1
2020-10-01 21:51:53-18:00,0.165,1
2020-10-01 21:52:37-18:00,0.096,1
2020-10-01 21:56:08-18:00,0.133,1
2020-10-01 21:56:45-18:00,0.047,1
2020-10-01 21:59:19-18:00,0.065,1
2020-10-01 22:00:43-18:00,0.184,1
2020-10-01 22:03:19-18:00,0.094,1
2020-10-01 22:03:39-18:00,0.044,1
2020-10-01 22:03:41-18:00,0.127,1
2020-10-01 22:04:20-18:00,0.854,1
2020-10-01 22:04:35-18:00,0.329,1
2020-10-01 22:06:45-18:00,0.051,1
2020-10-01 22:08:03-18:00,0.238,1
2020-10-01 22:10:03-18:00,0.032,1
2020-10-01 22:14:30-18:00,0.075,1
2020-10-01 22:16:44-18:00,0.163,1
2020-10-01 22:21:18-18:00,0.114,1
2020-10-01 22:21:36-18:00,0.113,1
2020-10-01 22:25:53-18:00,0.174,1
2020-10-01 22:27:03-18:00,0.007,1
2020-10-01 22:29:37-18:00,0.285,1
2020-10-01 22:29:58-18:00,0.003,1
2020-10-01 22:30:39-18:00,0.125,1
2020-10-01 22:34:25-18:00,0.053,1
2020-10-01 22:34:35-18:00,0.149,1
2020-10-01 22:37:34-18:00,0.003,1
2020-10-01 22:37:54-18:00,0.007,1
2020-10-01 22:38:30-18:00,0.151,1
2020-10-01 22:40:35-18:00,0.045,1
2020-10-01 22:44:38-18:00,0.165,1
2020-10-01 22:45:55-18:00,0.093,1
2020-10-01 22:46:31-18:00,0.877,1
2020-10-01 22:47:50-18:00,0.177,1
2020-10-01 22:48:05-18:00,0.068,1
2020-10-01 22:49:20-18:00,0.162,1
2020-10-01 22:50:53-18:00,0.335,1
2020-10-01 22:52:14-18:00,0.005,1
2020-10-01 22:52:32-18:00,0.186,1
2020-10-01 22:54:54-18:00,0.247,1
2020-10-01 22:56:03-18:00,0.162,1
