StartDate,StartTime,Cage,In_g
10/1/2020,3:17:26 PM,1,0.004
10/1/2020,4:11:42 PM,1,0.084
10/1/2020,4:44:55 PM,1,0.126
10/1/2020,5:31:15 PM,1,0.02
10/1/2020,5:43:18 PM,1,0.005
10/1/2020,5:55:10 PM,1,0.088
10/1/2020,6:15:15 PM,1,0.073
10/1/2020,6:52:56 PM,1,0.128
10/1/2020,7:11:13 PM,1,0.133
10/1/2020,7:39:23 PM,1,0.051
10/1/2020,7:50:39 PM,1,0.002
10/1/2020,8:10:32 PM,1,0.201
10/1/2020,8:34:55 PM,1,0.189
10/1/2020,8:59:25 PM,1,0.148
10/1/2020,9:36:41 PM,1,0.016
10/1/2020,9:43:33 PM,1,0.11
10/1/2020,9:56:45 PM,1,0.047
10/1/2020,10:50:53 PM,1,0.335
10/1/2020,11:47:27 PM,1,0.006
10/2/2020,3:10:06 AM,1,0.004
10/2/2020,3:15:06 AM,1,0.005
10/2/2020,3:21:56 AM,1,0.003
10/2/2020,3:35:56 AM,1,0.202
10/2/2020,4:13:04 AM,1,0.006
10/2/2020,4:20:18 AM,1,0.004
10/2/2020,4:33:24 AM,1,0.002
10/2/2020,4:40:36 AM,1,0.008
10/2/2020,8:05:24 AM,1,0.036
10/2/2020,2:41:41 PM,1,0.075
10/2/2020,4:34:59 PM,1,0.358
10/2/2020,7:40:09 PM,1,0.023
10/2/2020,8:00:29 PM,1,0.003
10/2/2020,8:37:35 PM,1,0.321
10/2/2020,9:28:30 PM,1,0.244
10/2/2020,10:20:28 PM,1,0.114
10/2/2020,10:28:33 PM,1,0.257
10/2/2020,11:00:28 PM,1,0.003
10/2/2020,11:05:47 PM,1,0.31
10/3/2020,8:36:15 AM,1,0.004
10/3/2020,2:00:45 PM,1,0.136
10/3/2020,4:18:52 PM,1,0.112
10/3/2020,5:03:23 PM,1,0.17
10/3/2020,5:37:08 PM,1,0.077
10/3/2020,6:00:35 PM,1,0.136
10/3/2020,6:12:05 PM,1,0.003
10/3/2020,6:30:50 PM,1,0.017
10/3/2020,6:35:53 PM,1,0.031
10/3/2020,6:55:29 PM,1,0.252
10/3/2020,7:32:43 PM,1,0.26
10/3/2020,8:06:29 PM,1,0.308
10/3/2020,8:56:27 PM,1,0.33
10/3/2020,10:05:23 PM,1,0.31
10/4/2020,12:02:45 AM,1,0.279
10/4/2020,12:35:25 AM,1,0.357
10/4/2020,1:06:47 AM,1,0.002
10/4/2020,1:34:41 AM,1,0.638
10/4/2020,2:34:54 AM,1,0.044
10/4/2020,2:56:08 AM,1,0.159
10/4/2020,3:32:22 AM,1,0.003
10/4/2020,3:41:04 AM,1,0.22
10/4/2020,4:10:41 AM,1,0.001
10/4/2020,4:17:43 AM,1,0.013
10/4/2020,7:17:47 AM,1,0.002
10/4/2020,4:33:59 PM,1,0.087
10/4/2020,5:39:19 PM,1,0.007
10/4/2020,7:00:57 PM,1,0.006
10/4/2020,7:08:16 PM,1,0.006
10/4/2020,7:25:02 PM,1,0.012
10/4/2020,8:26:58 PM,1,0.011
10/4/2020,8:42:38 PM,1,0.005
10/4/2020,8:48:59 PM,1,0.005
10/4/2020,9:16:54 PM,1,0.034
10/4/2020,9:47:05 PM,1,0.007
10/4/2020,10:12:57 PM,1,0.003
10/5/2020,1:18:44 AM,1,0.015
10/5/2020,1:35:54 AM,1,0.059
10/5/2020,1:43:25 AM,1,0.004
10/5/2020,3:01:53 AM,1,0.006
10/5/2020,5:39:51 AM,1,0.017
10/5/2020,7:00:47 AM,1,0.532
10/5/2020,7:22:09 AM,1,0.491
10/5/2020,7:53:28 AM,1,0.012
10/5/2020,10:17:23 AM,1,0.65
10/5/2020,1:17:10 PM,1,0.332
10/5/2020,1:32:54 PM,1,0.199
10/5/2020,1:49:06 PM,1,0.146
10/5/2020,4:14:27 PM,1,0.297
10/5/2020,4:33:47 PM,1,0.607
10/5/2020,5:36:34 PM,1,0.006
10/5/2020,6:24:59 PM,1,0.252
10/5/2020,7:00:29 PM,1,0.003
10/5/2020,7:08:23 PM,1,0.211
10/5/2020,8:22:21 PM,1,0.001
10/5/2020,9:18:40 PM,1,0.216
10/5/2020,9:50:02 PM,1,0.155
10/5/2020,11:59:49 PM,1,0.011
10/6/2020,12:07:45 AM,1,0.365
10/6/2020,12:33:26 AM,1,0.012
10/6/2020,1:03:41 AM,1,0.247
10/6/2020,1:44:44 AM,1,0.011
10/6/2020,1:59:44 AM,1,0.01
10/6/2020,2:08:32 AM,1,0.004
10/6/2020,2:20:28 AM,1,0.244
