Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,wheelmeters_1,wheelmeters_2,wheelmeters_3,wheelmeters_4,wheelmeters_5,wheelmeters_6,wheelmeters_7,wheelmeters_8,wheelmeters_9,wheelmeters_10,wheelmeters_11,wheelmeters_12,wheelmeters_13,wheelmeters_14,wheelmeters_15,wheelmeters_16
10/10/2021 7:47,1.573228,1.30645,1.266694,1.650936,1.33776,1.472195,0.9074332,1.727866,1.135293,1.265492,0.8474668,0.8213251,1.231006,1.453147,1.603239,0.9800807,1.352439,1.239741,1.201907,1.522445,1.065879,1.298859,0.8853136,1.547834,1.330943,1.558209,1.194614,1.004943,1.516423,1.664451,1.78859,1.27704,-0.003312192,0.03910882,0.04250048,0.02475214,0.002171956,0.09278826,0.04523004,0.1372884,0.110963,0.09106265,0.0993252,0.1086111,0.1278234,0.1143075,0.1156461,0.05677902,0.4617532,0.3911925,0.379281,0.4914097,0.3870585,0.4343076,0.2733211,0.5112854,0.3567728,0.402641,0.2796666,0.2608985,0.3917136,0.454064,0.4977927,0.3164943,0.8902258,1.00815,0.9730973,0.9327376,0.7866822,0.9116924,0.8770514,0.9085975,0.154571,4.496472,0.3747525,-0.4134769,1.751074,3.104807,2.094697,0.2087978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08554786,0.05926436,0,0,0,0.01360616,0.03498029,0.02223843,0,0,0.000301514,0.02905598,0,0,16.3292,18.0318,17.46078,18.27759,15.25286,17.4942,15.35924,17.62093,17.64951,15.44762,17.59244,16.75233,17.43254,16.57681,16.77756,15.53945,191,344,518,381,209,606,612,232,559,401,3,23,441,799,129,13,203,522,459,466,204,729,593,438,594,436,20,19,444,914,162,15,2.210261,3.924344,2.988386,3.976356,3.087263,4.583843,6.079361,3.727601,3.915262,3.925205,0.9521607,0.06353906,4.158593,7.741908,1.8628,0.0979334,2.584852,4.517506,3.732813,4.507522,3.47647,5.667737,7.032237,4.330646,4.756597,4.615499,0.9923336,0.1956664,4.779758,8.749281,1.973322,0.1027115,90.66,17.85652,1.280755,114.0348,94.98206,8.606794,2.52539,85.63179,1.271424,43.94118,1.0836,1.0836,22.21621,6.830593,179.0983,1.0836
10/10/2021 8:07,1.673523,1.937079,1.636746,1.853218,1.510493,1.742915,1.418495,1.922082,1.443027,1.546831,1.513906,1.482236,1.841002,1.718451,1.71682,1.720315,1.382801,1.690392,1.516833,1.64192,1.135364,1.456825,1.283108,1.656886,1.271125,1.451832,1.390285,1.215417,1.671035,1.595921,1.492856,1.589586,0.2051911,0.2622856,0.2690425,0.2576709,0.2403958,0.3041858,0.238102,0.3631907,0.2712718,0.2759735,0.2810091,0.2955611,0.3286164,0.3189324,0.3213837,0.2563282,0.4874839,0.5702162,0.487682,0.5471696,0.4325139,0.5088046,0.4205644,0.5644464,0.42557,0.4621073,0.4502376,0.4311446,0.5462132,0.5122502,0.5050253,0.5122706,0.826557,0.8722047,0.9268986,0.8860852,0.7512044,0.8361526,0.9043394,0.862213,0.8829666,0.9231445,0.9287335,0.8545316,0.9046093,0.9283893,0.8705415,0.9241647,0,0.06120613,0.00117897,0,0,0,0,0,0,0,0.000492147,0,0,0,0.02096043,0.0035981,0,0,0.1242425,0.1305875,0.01890849,0.06357351,0,0.169763,0.09329229,0.1077404,0,0,0.06777038,0.1461777,0.02164301,0,16.21483,18.12043,17.21656,18.27759,15.15324,17.77261,15.42459,17.62093,17.64994,15.44762,17.55623,17.32852,17.38183,16.68357,16.77756,16.26789,582,136,396,226,351,367,242,336,543,212,196,283,163,201,431,267,729,206,396,464,437,514,221,532,527,273,234,393,230,203,493,325,8.332973,8.231346,9.281118,10.83856,9.000599,11.86112,12.16635,10.40059,12.72978,10.16755,3.568301,2.852211,9.22444,16.48015,9.799475,4.155276,9.663931,9.434067,11.49732,12.13392,10.43563,14.39224,14.31009,11.86084,15.43641,11.68567,3.756972,3.538107,10.38585,18.86395,10.51188,4.533181,225.6868,227.1286,54.76665,274.9449,239.7862,45.70565,66.9421,290.0337,3.997581,122.1199,31.82593,21.04351,256.2245,86.59138,392.8312,27.63451
10/10/2021 8:27,1.620483,1.797168,1.808026,1.761171,1.787326,1.9198,1.76282,2.17706,1.551509,1.755143,1.598556,1.934242,1.753,1.758872,1.815458,1.657203,1.349401,1.588644,1.654716,1.603146,1.425612,1.651729,1.592371,1.882593,1.314365,1.626547,1.530633,1.599162,1.627209,1.606115,1.613289,1.542098,0.2089522,0.2646642,0.2695818,0.2575094,0.2372431,0.3131948,0.2470642,0.3569194,0.2808541,0.2806025,0.2882469,0.3148419,0.3299313,0.3240965,0.3265924,0.2674904,0.4727256,0.5303807,0.5373328,0.5228311,0.5172348,0.5635647,0.5225062,0.6397164,0.454091,0.5229589,0.4795674,0.5634912,0.5224959,0.5224847,0.536341,0.4941959,0.8325558,0.8841769,0.9160904,0.9102108,0.7980221,0.8612795,0.9032609,0.8650426,0.8486872,0.9266927,0.9575277,0.8266193,0.9279218,0.9138475,0.8894029,0.9309587,0.01601467,0.2808757,0.06299286,0.1659815,0.003368283,0,0.1030329,0,0,0.0366904,0.1328384,0.0433846,0,0,0.13454,0.1542478,0.07443812,0.1469683,0.1942889,0.1805079,0.07366943,0.0822449,0,0.2953189,0.09329229,0.1192578,0.008930585,0.07533966,0.2055353,0.3358114,0.08901981,0.03081588,17.28202,18.24743,17.00931,18.37481,15.07312,17.78947,15.69722,17.62093,17.65234,15.44762,17.47683,18.01124,17.29233,16.84931,16.77756,16.22291,484,168,246,202,232,181,157,252,382,177,204,238,235,534,219,309,556,220,273,365,220,252,169,425,374,267,199,309,293,568,284,388,16.39082,11.64178,13.67873,16.31581,15.92248,16.27139,15.65307,20.77086,16.07081,14.70546,8.473287,7.13088,14.25814,24.00625,14.79404,11.93474,19.43679,13.39476,16.58516,18.57925,18.12815,19.5876,18.14483,23.03572,20.42171,16.61827,9.169328,8.637596,15.95437,27.35958,16.35321,12.98119,227.289,388.6693,201.4665,328.0349,397.8076,166.9785,298.1101,468.421,20.05503,279.8581,115.28,169.8131,403.6154,233.9176,519.9868,115.2159
10/10/2021 8:47,1.555896,1.670917,1.740544,1.794257,1.476555,1.92282,1.941825,2.177532,1.610679,1.755116,1.73019,1.581799,1.917089,1.66609,1.830429,1.521936,1.274136,1.503513,1.525932,1.616911,1.179579,1.602704,1.700735,1.84813,1.354687,1.57785,1.618639,1.421597,1.729716,1.536432,1.599573,1.395127,0.2215614,0.2944739,0.2947702,0.294295,0.2663373,0.3655168,0.3164446,0.4125503,0.2952903,0.3037589,0.3036458,0.3258226,0.3585053,0.3410423,0.3479133,0.2941124,0.4524588,0.4948781,0.5128298,0.5315683,0.4274232,0.5610253,0.5720247,0.6375412,0.4707583,0.5197209,0.5165337,0.4683693,0.5680989,0.4959213,0.5389708,0.4524576,0.8172474,0.899434,0.8761247,0.9015914,0.8015128,0.833317,0.8756741,0.8489973,0.8399705,0.8974598,0.935515,0.8985013,0.902236,0.9229457,0.8735898,0.9168664,0.03153576,0.7862209,0.07207979,0.6303107,0.1717997,0,0.1175839,0,0.08400373,0.06655845,0.1565246,0.3744322,0,0.506954,0.192905,0.1802651,0.1209412,0.4421955,0.2495325,0.310547,0.08867592,0.0822449,0,0.3253805,0.1768896,0.1216521,0.1751753,0.2121683,0.3176168,0.3857018,0.1015035,0.0515747,17.41972,18.47308,16.81082,18.64572,15.34056,17.80632,15.98517,17.62093,17.65498,15.43937,16.60946,18.22718,17.30277,17.00451,16.7876,16.26383,690,465,130,484,251,155,44,192,567,107,279,260,126,276,226,327,870,530,165,612,359,271,67,291,620,126,400,383,154,310,226,370,23.8943,16.11988,18.20371,25.00001,26.31338,21.10328,19.27609,30.75476,22.40773,19.46348,18.53507,11.81194,17.8842,31.87908,19.96758,18.51665,29.00766,18.67298,21.49107,28.41928,29.28596,25.01285,21.95277,33.63121,28.01534,21.77527,19.70115,14.32418,19.86066,36.13398,22.03713,20.14653,227.9172,421.5466,413.853,352.096,516.1548,339.2249,620.7972,734.4683,73.31066,343.8624,216.5569,252.6546,692.9363,340.2074,763.6957,269.6545
10/10/2021 9:07,1.389973,1.671029,1.568309,1.880321,1.376729,1.808616,1.8175,2.132134,1.240459,1.368404,1.406999,1.524546,1.553936,1.55,1.803486,1.315995,1.088381,1.478404,1.386453,1.660539,1.183721,1.485381,1.49837,1.714853,1.020917,1.163963,1.290975,1.361416,1.375415,1.435943,1.604756,1.232686,0.216455,0.3123026,0.3067373,0.3131454,0.2845962,0.413317,0.3458417,0.4501642,0.3161299,0.3111968,0.3149945,0.3498397,0.3709479,0.3603441,0.3663037,0.2976837,0.400898,0.4932384,0.4628474,0.5548141,0.4040931,0.5262353,0.5291979,0.6179622,0.3610671,0.4008133,0.4183681,0.4508378,0.4587161,0.4618021,0.5329438,0.3929811,0.7825143,0.8840447,0.8842342,0.8828187,0.8607354,0.8202252,0.824753,0.803742,0.8214933,0.8501647,0.9172847,0.8936511,0.8868548,0.9263744,0.889923,0.9367383,0.09018365,0.9030756,0.08432096,0.8233691,0.3147289,0,0.1175839,0,0.10495,0.06655845,0.1565246,1.114774,0,0.7234799,0.3214861,0.1917104,0.1209412,0.5831934,0.3395124,0.3965586,0.3140304,0.0822449,0,0.3417058,0.2229005,0.1226195,0.2505512,0.3759694,0.4250968,0.4364927,0.202649,0.1038656,17.38717,18.67499,17.53319,18.67715,15.68064,17.82318,16.27221,17.62093,17.65763,15.40495,15.8863,18.0868,17.05323,16.93123,16.9849,16.47682,486,410,602,352,529,208,61,89,62,0,392,543,702,318,334,431,665,500,580,520,525,309,52,161,95,0,517,581,732,385,366,370,29.06985,21.97806,23.75021,29.63814,32.23709,24.07733,20.32616,34.2398,26.08285,20.18273,24.37527,18.1109,24.82162,36.11764,24.51818,26.19224,36.52461,25.76502,27.90034,33.88447,36.56466,28.60917,23.13979,37.40555,33.18443,22.53661,26.76646,21.8702,27.58107,41.24504,27.48637,29.04112,227.9172,466.0449,503.5074,535.3065,553.0974,502.7645,992.0888,1133.849,75.4908,343.8624,240.5285,326.9823,868.3055,380.0303,954.7115,281.3748
10/10/2021 9:27,1.247334,1.465428,1.34383,1.52251,1.27942,1.50499,1.710478,1.692034,1.148412,1.298729,1.479679,1.435056,1.456225,1.501531,1.586608,1.324707,0.9544116,1.299622,1.15727,1.36742,1.084346,1.272168,1.381885,1.395994,0.8769831,1.075893,1.339818,1.269986,1.290787,1.355914,1.412609,1.161059,0.2367187,0.3196334,0.2965713,0.3146079,0.2667697,0.4208857,0.3340671,0.4342362,0.3134884,0.2927467,0.30327,0.3398436,0.3689871,0.3579453,0.3488346,0.2905016,0.3582793,0.4327581,0.3945585,0.4507546,0.3744888,0.4402911,0.4961614,0.4927366,0.3297502,0.3784938,0.4387952,0.4236095,0.4299955,0.4450305,0.46891,0.3902881,0.7640389,0.887008,0.8610292,0.898212,0.84777,0.8471058,0.8077009,0.8255637,0.7628224,0.828582,0.905515,0.8856548,0.8878426,0.9032792,0.8899596,0.875599,0.0902405,0.9030756,0.08432096,1.000308,0.3295487,0,0.1175839,0,0.10495,0.06655845,0.1565246,1.222364,0,0.7263777,0.3904782,0.1917104,0.1209412,0.7047239,0.3509221,0.4648133,0.3725892,0.0822449,0,0.4193721,0.2229005,0.1226195,0.3274381,0.4383556,0.4938052,0.5035214,0.3285424,0.1209107,17.3546,18.57692,17.71494,18.62265,15.78651,17.87823,16.36852,17.61212,17.66027,15.36861,17.11762,17.81794,17.23887,16.99031,17.2226,16.59632,84,703,0,550,410,468,48,197,31,0,566,504,247,179,403,0,45,813,0,579,620,681,53,431,55,0,623,686,256,194,464,0,30.87432,29.31028,27.11134,39.00289,39.83127,31.29581,21.37735,37.79441,26.10233,20.18273,31.98552,27.09994,33.42287,40.56081,31.73248,27.69668,39.77663,34.76627,32.1237,44.61933,45.81974,36.96674,24.29395,41.65355,33.52098,22.53661,36.17559,32.7695,37.4514,46.3925,35.71285,30.78052,227.9172,481.3213,506.4024,556.1038,589.8396,572.3482,1341.187,1307.609,75.4908,343.8624,269.0431,328.692,876.2712,504.296,1049.995,281.3748
10/10/2021 9:47,1.174044,1.553014,1.216046,1.453699,1.112306,1.426171,1.495054,1.581786,0.9308365,1.295733,1.233588,1.269875,1.345655,1.212289,1.474948,1.190652,0.8442554,1.362049,1.023376,1.272758,0.9427072,1.166737,1.199144,1.305867,0.6877851,1.066783,1.121027,1.048331,1.100397,1.026876,1.253967,0.9962123,0.1867714,0.279135,0.2494981,0.2668067,0.2198678,0.3696241,0.2782844,0.3921169,0.2654615,0.2465096,0.2746756,0.2890162,0.3201992,0.3194547,0.3020729,0.2338876,0.3336392,0.4576113,0.3554575,0.4282019,0.3255738,0.414657,0.4330956,0.4606864,0.265747,0.3771808,0.3660857,0.3698419,0.391216,0.3548014,0.4319794,0.3476502,0.7194314,0.8782277,0.8416026,0.8750529,0.8473676,0.8184839,0.8024079,0.8260128,0.7387677,0.8233079,0.9087906,0.8257308,0.8168098,0.8459704,0.8506449,0.8368677,0.0902405,0.9030756,0.08432096,1.082431,0.3742063,0,0.1175839,0,0.10495,0.06655845,0.1653254,1.222364,0,0.7263777,0.3918378,0.1917104,0.1209412,0.7352911,0.3509221,0.4648133,0.3725892,0.0822449,0.01642067,0.5116278,0.2229005,0.1226195,0.3583679,0.4383556,0.4938052,0.5081174,0.356659,0.1209107,17.32202,18.42267,17.67969,18.79274,15.78417,17.9009,16.32088,17.58664,17.66291,15.33147,17.35255,17.72155,17.27682,16.90851,17.23013,16.55816,23,455,0,0,240,529,71,506,25,36,609,2,0,0,18,0,14,519,0,0,109,784,80,777,32,36,929,59,0,0,44,0,30.87462,36.26123,27.11134,42.34522,41.6502,41.48035,22.79315,42.15091,26.12458,20.25582,41.58052,29.60766,33.7999,41.14921,35.58259,27.69668,39.91451,43.75012,32.1237,48.49868,48.89569,48.83306,25.89932,47.42342,33.79084,22.61459,47.45501,35.90977,37.88047,47.08004,39.95204,30.78052,227.9172,482.9244,506.4024,557.3316,589.8396,593.4516,1704.56,1313.457,75.4908,343.8624,296.4979,328.692,876.2712,508.5696,1063.373,281.3748
10/10/2021 10:07,1.188136,1.604638,1.231139,1.374314,1.026335,1.544059,1.530668,1.566722,1.103815,1.271872,1.329916,1.212492,1.311146,1.211487,1.312688,1.187507,0.8467648,1.311263,1.008184,1.168082,0.7980453,1.197297,1.267777,1.252587,0.8450111,1.049537,1.208717,0.9766465,1.036866,1.01162,1.04703,0.9631851,0.1502233,0.2470612,0.2039303,0.2177962,0.1698405,0.3256358,0.2187918,0.3391075,0.2359832,0.2092292,0.2332536,0.2468458,0.2711706,0.2700163,0.2452044,0.1807778,0.3371381,0.4664482,0.3580183,0.4024841,0.2956456,0.4445608,0.4460714,0.4535887,0.3170831,0.3703941,0.3946824,0.3515161,0.3788399,0.3535994,0.379879,0.3447149,0.7125828,0.8161291,0.8181336,0.8501332,0.7782102,0.774299,0.8284196,0.7994626,0.764753,0.824798,0.9092154,0.8065745,0.791388,0.8347855,0.7974836,0.8106815,0.0902405,0.9030756,0.08432096,1.082431,0.3742063,0,0.1175839,0,0.10495,0.06655845,0.1828613,1.222364,0,0.7263777,0.3918378,0.1917104,0.1209412,0.7352911,0.3509221,0.4648133,0.3725892,0.0822449,0.05099105,0.5228278,0.2229005,0.1226195,0.3583679,0.4383556,0.4938052,0.5081174,0.356659,0.1209107,17.28944,18.34571,17.64444,18.59142,15.7665,17.87967,16.27323,17.58445,17.66555,15.29811,16.61623,17.62524,17.24719,16.85355,17.19851,16.51999,49,64,2,1,35,0,111,379,19,0,355,7,0,0,1,6,20,28,2,0,69,3,107,395,89,0,477,15,3,3,0,9,30.87462,37.91466,27.13731,42.34787,41.74335,44.91877,24.2195,50.45454,26.13414,20.72235,51.50008,29.61327,33.828,41.16859,35.6079,27.72671,40.03707,46.02114,32.15224,48.50133,49.5859,52.75623,27.50088,57.66753,34.04755,23.11161,58.74593,36.01582,37.91121,47.1011,39.97854,30.81664,227.9172,482.9244,506.4024,557.3316,589.8396,593.4516,2042.061,1314.407,75.4908,343.8624,296.7887,328.692,876.2712,508.5696,1063.373,281.3748
10/10/2021 10:27,1.345589,1.333691,1.274329,1.395049,1.017552,1.385979,1.436591,1.300295,1.264259,1.285688,1.358471,1.212899,1.31424,1.304295,1.311004,1.150751,1.053906,1.076662,1.033856,1.178789,0.7932005,1.035777,1.235573,0.9809072,0.9854248,1.051801,1.203619,0.9567149,1.014559,1.088266,1.051051,0.9169181,0.1423053,0.2194674,0.1864135,0.1975857,0.1507278,0.3081551,0.2137094,0.3082888,0.2142853,0.1930318,0.2142412,0.2302585,0.249568,0.2536137,0.2203799,0.1684028,0.3881151,0.386812,0.3699346,0.4080978,0.2932472,0.3964627,0.4216888,0.3725607,0.3643396,0.3738113,0.4010962,0.3502897,0.3780912,0.380631,0.3797477,0.3329532,0.7833564,0.8078257,0.81094,0.8444907,0.7799181,0.7472426,0.8597813,0.7540019,0.7772982,0.8179138,0.8863081,0.7830956,0.7717457,0.8336301,0.8020815,0.7964259,0.0902405,0.9030756,0.08432096,1.082431,0.3742063,0,0.1175839,0,0.10495,0.06655845,0.1828613,1.222364,0,0.7263777,0.3918378,0.1917104,0.1209412,0.7352911,0.3509221,0.4648133,0.3725892,0.0822449,0.1860449,0.5228278,0.2229005,0.1226195,0.3583679,0.4383556,0.4938052,0.50832,0.356659,0.1209107,17.25734,18.3594,17.60918,18.39009,15.74883,17.85844,16.2975,17.58323,17.66819,15.27735,16.19516,17.52893,17.21757,16.80919,17.16688,16.48182,328,47,0,1,40,0,130,7,230,0,0,12,0,155,0,0,288,7,0,1,68,1,128,45,332,0,2,18,0,173,0,0,32.08302,37.91562,27.20634,42.41002,41.79979,44.988,27.41642,51.84864,26.26952,20.72235,54.36326,29.61327,33.9099,41.52262,35.65283,27.83042,42.20911,46.51408,32.2337,48.56744,50.05842,52.83856,31.00761,59.77925,35.33991,23.11161,61.99009,36.16427,38.00547,47.5654,40.02347,30.93967,227.9172,482.9244,506.4024,557.3316,589.8396,593.4516,2227.353,1314.407,75.4908,343.8624,296.9064,328.692,876.2712,509.2863,1063.373,281.3748
10/10/2021 10:47,1.113763,1.373045,1.241766,1.390029,1.001118,1.332563,1.559304,1.265077,1.059306,1.326224,1.181899,1.056904,1.272587,1.295559,1.24616,1.241824,0.8413078,1.072516,0.9945759,1.165503,0.7944416,0.9712598,1.318746,0.9787814,0.816609,1.083087,1.033079,0.8194778,0.9960909,1.073655,1.001994,0.6702478,0.1456209,0.2241689,0.1922325,0.2012498,0.1529488,0.3154591,0.2312989,0.2985656,0.220655,0.1968071,0.209151,0.2278098,0.2489451,0.2614502,0.2189284,0.1785769,0.3191896,0.3958423,0.3596282,0.4060291,0.2894436,0.3795507,0.456225,0.3640921,0.3046736,0.3854726,0.348027,0.3042961,0.3670166,0.3775955,0.3611592,0.3381194,0.7563507,0.7809649,0.8013259,0.8382723,0.7939629,0.7287057,0.8456808,0.7692168,0.7719393,0.8160565,0.8740867,0.7760292,0.7827442,0.8290018,0.8040676,0.6106557,0.0902405,0.9030756,0.08432096,1.082431,0.3742063,0,0.1175839,0,0.10495,0.06655845,0.1828613,1.222364,0,0.7263777,0.3918378,0.1917104,0.1209412,0.7352911,0.3509221,0.4648133,0.3725892,0.0822449,0.2519019,0.5228278,0.2229005,0.1226195,0.3583679,0.4383556,0.4938052,0.51358,0.356659,0.1209107,17.22675,18.3731,17.57393,18.18877,15.73116,17.83721,16.39326,17.582,17.67083,15.25659,16.46493,17.43263,17.18794,16.81857,17.13526,16.44366,36,0,0,0,15,0,62,4,14,0,0,0,0,0,0,0,18,0,0,0,6,0,76,10,42,0,0,11,0,0,0,0,32.52054,37.91562,27.20634,42.41522,41.80142,44.988,29.48866,51.85856,26.37871,20.72235,54.36326,29.61327,33.9099,42.99674,35.65283,27.83042,43.18908,46.54473,32.2337,48.57368,50.20158,52.8391,33.36415,59.8437,36.41336,23.11161,61.99017,36.23232,38.00547,49.51125,40.02347,30.93967,227.9172,482.9244,506.4024,557.3316,589.8396,593.4516,2471.304,1314.407,75.4908,343.8624,296.9064,328.692,876.2712,516.516,1063.373,281.3748
