Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,wheelmeters_1,wheelmeters_2,wheelmeters_3,wheelmeters_4,wheelmeters_5,wheelmeters_6,wheelmeters_7,wheelmeters_8,wheelmeters_9,wheelmeters_10,wheelmeters_11,wheelmeters_12,wheelmeters_13,wheelmeters_14,wheelmeters_15,wheelmeters_16
10/17/2021 10:17:00,0,0,0,0,0,0.9392409,1.205398,1.215399,1.588055,1.364782,1.495815,1.129349,1.543483,1.364936,1.139392,1.206058,1.28211,1.351619,1.418381,1.489378,1.310531,0.8399773,1.061539,1.135127,1.222505,1.226072,1.403847,1.064214,1.469898,0.9488614,1.080322,1.073523,1.25212,1.288958,1.202837,1.471091,1.271197,0.1162055,0.1201044,0.1329007,0.1803577,0.2055239,0.1883216,0.1022228,0.1212123,0.128001,0.149425,0.1453368,0.1615861,0.1435923,0.1570444,0.1867999,0.1182186,0.2778338,0.3554722,0.3627202,0.456637,0.4040784,0.4468598,0.3376672,0.4625144,0.3857192,0.3411109,0.3564234,0.3862585,0.4051391,0.4152106,0.4498,0.3942447,0.8948256,0.8808851,0.9343222,0.7701805,0.8994174,0.9396638,0.9434147,0.9549184,0.6956841,0.9499738,0.8883963,0.9767087,0.9542638,0.8472788,0.9899207,0.9700431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007650771,0.0191748,0.0795277,0,0.00203991,0,0.1055702,0.005082067,0.004083329,0,0.008002982,16.90222,18.88689,17.46301,19.14716,16.75422,18.66634,17.00508,18.26274,18.21121,15.5831,18.49226,19.70384,17.05472,18.41484,17.73951,16.31821,56,0,80,59,366,445,285,472,425,241,29,350,258,54,140,282,100,2,101,84,388,488,328,625,516,341,32,468,262,61,167,364,2.114794,0.06108333,0.8396582,1.238433,3.135507,3.550505,3.517922,4.440352,3.675879,11.61896,1.366665,3.442382,3.549223,0.9679341,1.737622,2.151195,2.420612,0.06108333,1.222563,1.414514,3.883287,4.360827,4.000786,5.271719,4.526731,12.1735,1.453352,4.160734,4.00757,1.07779,1.987401,2.569378,1.0836,1.0836,2.336663,3.411534,31.75279,2.983512,19.74771,6.536215,2.788464,1.0836,1.0836,5.976957,64.36283,5.557664,10.69905,15.95721
10/17/2021 10:37:00,0,0,0,0,0,0.8624148,1.104723,1.056601,1.53002,1.476312,1.254198,0.8791903,1.428838,1.272349,0.7783142,1.022703,1.053961,1.319597,1.331617,1.567227,1.014851,0.7470722,0.9162347,0.96524,1.088332,1.295974,1.165599,0.7994836,1.354786,0.8856401,0.76322,0.8313901,1.021323,1.237391,1.033758,1.492559,0.9926959,0.089616,0.08745609,0.09966224,0.1682722,0.1905183,0.189831,0.1008309,0.120856,0.1275288,0.1111531,0.1046989,0.1618463,0.1496844,0.1397572,0.1806111,0.1109558,0.2535023,0.322024,0.3138971,0.4340101,0.4350895,0.3739169,0.2609471,0.4277667,0.3596308,0.2346874,0.2969995,0.3169946,0.3941451,0.3834743,0.4696326,0.305847,0.866076,0.82912,0.9137211,0.7104993,0.8780236,0.9293227,0.9081625,0.9489631,0.6973938,0.9797607,0.812904,0.9700062,0.9377633,0.776104,0.9540716,0.9849522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01541138,0.03320312,0.1517792,0.02238434,0.002288819,0,0.1363526,0.04037871,0.004211426,0,0.059141,16.90222,18.88689,17.46301,18.83723,16.75827,18.66634,16.88313,18.06515,18.1703,15.33514,18.49226,19.70384,17.05472,18.3857,17.6998,16.27127,16,0,0,0,169,59,1,309,315,47,0,2,286,0,148,96,9,0,0,0,202,66,0,570,553,52,0,2,241,0,174,116,2.298264,0.07,0.8909079,1.379325,6.457972,8.003215,5.39485,11.28333,8.091296,14.29746,1.407098,5.798028,7.200811,1.016952,4.459118,6.074806,2.712919,0.07,1.297677,1.575987,7.900244,9.822788,6.165314,13.61301,10.72814,15.26813,1.49624,7.032876,8.556132,1.134022,5.187843,7.27617,1.0836,1.0836,2.5284,3.612,180.9886,12.57939,23.1168,31.9066,4.100824,1.0836,1.0836,6.1404,222.5943,5.7792,77.50389,24.49026
10/17/2021 10:57:00,0,0,0,0,0,0.9493683,1.077242,1.033892,1.387734,1.046497,1.092741,0.8665033,1.421736,1.228432,0.7088804,1.123816,0.9836419,1.319959,1.226452,1.43722,0.5914106,0.837196,0.8701238,0.9386874,0.9697726,0.8782834,0.9461235,0.7602475,1.304056,0.8489034,0.6770741,0.9225102,0.9666035,1.234639,0.9609144,1.344895,0.6127161,0.09940231,0.09065532,0.1062586,0.1611011,0.1899204,0.1937933,0.1207743,0.1505822,0.147346,0.1143586,0.1053297,0.1720222,0.1824343,0.147803,0.2059868,0.1113737,0.280044,0.3124662,0.3067653,0.3924977,0.3057377,0.3211742,0.2553434,0.4227209,0.3468083,0.2125525,0.3269552,0.2967358,0.3940482,0.3537732,0.4290922,0.1805048,0.8820372,0.8087221,0.9078308,0.698662,0.8367039,0.8664275,0.8779755,0.9255335,0.6902894,0.9619828,0.8210662,0.9829246,0.9425134,0.783383,0.9361966,1.038657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01335235,0.01541138,0.03320312,0.1858967,0.0300293,0.002288819,0.0009592438,0.1363526,0.06228207,0.004211426,0,0.06352241,16.90222,18.88689,17.46301,18.52507,16.76295,18.66634,16.84831,17.80287,18.12718,15.17637,18.48264,19.70384,17.05472,18.35636,17.70363,16.23733,74,0,15,0,347,0,0,280,144,0,70,0,213,0,96,0,111,0,22,0,282,0,0,376,163,0,106,0,175,0,120,0,2.477912,0.07,1.242056,1.379325,9.799563,8.058556,5.39485,15.74038,10.3033,14.54867,1.955259,5.798028,9.271692,1.016952,6.51213,6.200108,3.148273,0.07,1.657934,1.575987,12.3785,9.884968,6.165314,19.42443,14.37351,15.57601,2.135545,7.032876,11.54776,1.134022,7.595338,7.421161,1.0836,1.0836,2.5284,3.612,284.9236,12.642,23.1168,117.8123,6.5016,1.0836,1.0836,6.1404,442.9453,5.7792,350.603,25.284
10/17/2021 11:17:00,0,0,0,0,0,0.8317849,1.155199,1.015231,1.34652,0.8065821,1.05719,0.9759465,0.8779353,1.095721,0.8834831,0.9537465,0.9997346,1.258167,1.353864,0.8589952,0.5859371,0.7466838,0.9391221,0.9374933,0.9592935,0.6516719,0.9148592,0.8716598,0.8125992,0.7332752,0.8031671,0.7975156,0.952552,1.137969,1.076109,0.8296593,0.5445703,0.1171334,0.1012546,0.1192115,0.1669683,0.1938093,0.1968698,0.1433162,0.1694617,0.1530613,0.1123772,0.1084059,0.1804391,0.2112742,0.1524888,0.2094855,0.1385632,0.2462338,0.3354784,0.3022735,0.3820567,0.2339693,0.3106932,0.2886156,0.2615207,0.3077543,0.2622066,0.278446,0.2996086,0.3730218,0.3915452,0.2581742,0.1746884,0.9009581,0.8128095,0.9233983,0.712466,0.8082128,0.8657559,0.8932177,0.9279566,0.6691134,0.9144105,0.8370143,0.9533635,0.9058076,0.8070719,0.9729027,0.9281868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01574707,0.01541138,0.03320312,0.2312315,0.0300293,0.002388184,0.00201416,0.1363526,0.06652833,0.004211426,0,0.06352241,16.90222,18.81951,17.46301,18.21291,16.76763,18.66634,16.64664,17.71358,18.08406,15.15056,18.37511,19.70384,17.05472,18.27581,17.71165,16.16467,9,46,0,0,12,0,80,0,0,74,0,0,281,182,0,27,32,58,0,0,5,0,78,0,23,82,0,0,230,206,0,32,2.551841,0.2237123,1.400483,1.379325,10.89197,8.058556,5.832334,17.61792,10.44082,14.644,2.704955,5.798028,11.92091,1.462984,7.453816,6.666334,3.591993,0.2642208,1.820342,1.575987,13.99233,9.884968,6.656806,21.89804,14.77645,15.68689,3.002616,7.032876,15.0214,1.690743,8.681287,7.932537,1.0836,1.0836,2.5284,3.612,284.9868,12.642,23.98789,126.7812,6.5016,1.0836,1.0836,6.1404,666.144,5.7792,386.8452,25.284
10/17/2021 11:37:00,0,0,0,0,0,0.8346075,1.362025,1.016952,1.283049,0.9276348,1.024737,0.7322814,0.9033793,1.127579,1.144353,1.113792,1.017058,0.9475435,1.293193,0.8925599,0.5166773,0.7214606,1.16036,0.947888,0.906159,0.7306426,0.8972853,0.6498024,0.7688063,0.7860041,1.026244,0.8977849,0.9556777,0.8041683,1.002734,0.8217323,0.4636538,0.1075284,0.1125848,0.1232475,0.1594223,0.1743125,0.1837889,0.1244458,0.1459425,0.1288894,0.1135381,0.1002622,0.1802742,0.2133026,0.1677618,0.197294,0.1252247,0.2452274,0.3990659,0.3033703,0.3635225,0.2678339,0.3018531,0.2162761,0.2646311,0.3187865,0.3386951,0.3229442,0.3039122,0.2774208,0.3723297,0.2655849,0.1529416,0.8649054,0.8515734,0.9320098,0.7060139,0.7874804,0.8754976,0.8859636,0.8516684,0.7003011,0.9031522,0.8067055,0.9418257,0.8552894,0.7779859,0.932501,0.9059681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01574707,0.01541138,0.03320312,0.2312315,0.0300293,0.01919792,0.00201416,0.1363526,0.06652833,0.0321631,0,0.06352241,16.90222,18.56281,17.46301,17.90075,16.77231,18.66634,16.45062,17.71397,18.04094,15.14331,18.24205,19.70384,17.05472,17.94541,17.71968,16.05019,16,242,0,0,136,0,0,0,121,186,0,26,111,104,0,0,38,370,0,0,28,0,0,0,183,186,0,26,111,118,0,0,2.551841,2.621045,1.400483,1.379325,11.30802,8.058556,6.742798,17.61792,10.96977,17.42032,2.704955,6.261771,14.03452,5.12612,7.453816,6.676122,3.722216,3.159843,1.820342,1.575987,14.81672,9.884968,7.684568,21.89804,15.63679,19.00723,3.002616,7.521392,17.86339,6.106521,8.681287,7.942864,1.0836,5.485725,2.5284,3.612,284.9868,12.642,26.7288,126.7812,6.5016,1.737372,1.0836,6.1404,809.5663,5.7792,386.8452,25.284
10/17/2021 11:57:00,0,0,0,0,0,0.8516515,1.090537,0.9919875,1.270685,0.9421713,0.9922854,0.7705101,1.010386,1.124042,0.5576523,0.9538682,1.02782,0.5245721,1.157238,0.7825217,0.604643,0.7128304,0.8856831,0.889851,0.8951477,0.733144,0.8378516,0.6547773,0.8634841,0.7619647,0.5191774,0.7423844,0.9734384,0.4488838,0.8303546,0.7125446,0.5242227,0.09049958,0.1044809,0.1124304,0.1376447,0.1515014,0.1642794,0.09498938,0.1362459,0.1010013,0.08628441,0.08071488,0.1651423,0.1899014,0.1494333,0.1726354,0.1071205,0.2486849,0.3166424,0.2936159,0.3598682,0.2714373,0.2902356,0.2256458,0.2962168,0.316355,0.1663151,0.2748163,0.3076357,0.1538282,0.3287429,0.2323195,0.1777613,0.8371418,0.8109284,0.8963639,0.7045628,0.777808,0.8443254,0.8506722,0.8546647,0.6754751,0.9315041,0.7780309,0.9474729,0.8576305,0.7169555,0.9086946,0.8696671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01574707,0.01541138,0.03320312,0.2312315,0.0300293,0.02413941,0.00201416,0.1363526,0.06652833,0.04339601,0,0.06352241,16.90222,18.51633,17.46301,17.58859,16.77699,18.66634,16.42601,17.71435,17.99783,15.12547,18.10899,19.70384,17.05472,17.9343,17.72771,15.94677,9,0,20,0,88,13,0,38,2,2,6,0,28,0,12,46,30,0,24,0,57,16,0,62,24,6,10,0,1,0,13,51,2.551841,5.152137,1.775783,1.379325,11.94841,8.197484,6.742798,17.97865,11.60591,18.44241,2.705575,6.378916,14.20336,5.563107,7.50498,7.056363,3.829831,6.110486,2.213223,1.575987,15.89697,10.05104,7.684568,22.31244,16.67077,20.26252,3.003267,7.6448,18.1468,6.600903,8.736799,8.369085,1.0836,33.5916,2.5284,3.612,284.9868,12.642,26.7288,126.7812,6.5016,2.5284,1.0836,6.1404,818.4792,5.7792,386.8452,25.284
10/17/2021 12:17:00,0,0,0,0,0,0.888678,1.031266,1.044143,1.393,0.9943926,0.951433,0.8239998,0.8931318,1.06969,0.5649611,0.9834477,0.8769669,0.4362548,1.10371,0.9140176,0.6435234,0.7372535,0.7690493,0.9193129,0.9865782,0.8029225,0.8028808,0.6881351,0.7543781,0.7373175,0.5000892,0.7476717,0.830318,0.3765401,0.7805128,0.803963,0.530726,0.09436717,0.1051582,0.1210607,0.1405801,0.1520169,0.1681593,0.1009728,0.15189,0.09604097,0.0840155,0.08274896,0.1661856,0.1823756,0.142438,0.1649537,0.1173181,0.2590609,0.2948873,0.3079037,0.3948581,0.288416,0.278255,0.2405076,0.2612505,0.3018672,0.1667766,0.2821615,0.2624675,0.128144,0.3127781,0.2694796,0.1873865,0.830446,0.7509751,0.8799919,0.7081651,0.8052882,0.8440109,0.8352892,0.8451012,0.6900457,0.9055667,0.7601075,0.9471479,0.8651658,0.7075138,0.8802548,0.8263605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01574707,0.01541138,0.03320312,0.2312315,0.0300293,0.02413941,0.00201416,0.1363526,0.06652833,0.04339601,0,0.06352241,16.90222,18.49176,17.46301,17.27643,16.78167,18.66634,16.4014,17.71474,17.95471,15.09441,18.06297,19.70384,17.05472,17.91689,17.73573,15.88746,12,0,24,0,216,0,0,0,38,0,5,0,22,0,60,0,39,0,26,0,192,0,0,0,58,0,3,0,18,0,49,0,2.551841,5.152137,2.347417,1.379325,12.76977,8.224827,6.742798,18.31808,11.80728,18.50536,2.981558,6.378916,14.20531,5.563107,7.795172,7.512094,3.92819,6.110486,2.836338,1.575987,17.17304,10.08375,7.684568,22.70282,17.0363,20.32745,3.29481,7.6448,18.23293,6.600903,9.058956,8.877631,1.0836,33.5916,2.5284,3.612,285.1313,12.642,26.7288,126.7812,6.5016,2.5284,1.0836,6.1404,818.4792,5.7792,386.8452,25.284
10/17/2021 12:37:00,0,0,0,0,0,1.3015,0.9979941,0.9854605,1.50375,0.8655512,1.114259,0.7897598,0.8890791,1.01285,0.5827865,1.30085,0.9652917,0.5329481,1.090142,0.843426,0.6778623,1.092487,0.7839492,0.8447618,1.159408,0.700231,0.926594,0.6617781,0.7580543,0.6918859,0.507075,1.021948,0.9028599,0.4326703,0.7796305,0.7408558,0.3581011,0.1067112,0.1048565,0.1242599,0.1713113,0.1606597,0.1749621,0.104506,0.1485288,0.09469668,0.0806101,0.0993375,0.1744227,0.1810572,0.1384293,0.1722735,0.1443094,0.3802502,0.2880085,0.2890804,0.432515,0.2511356,0.3249664,0.2306622,0.2605361,0.2854122,0.1714552,0.3754153,0.2881667,0.1547329,0.3095113,0.2485997,0.1840509,0.8399264,0.7858504,0.8574413,0.7711034,0.8092569,0.8311751,0.8384424,0.8633704,0.6845943,0.8807073,0.785693,0.9351062,0.8146797,0.7156969,0.88037,0.6188766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02309876,0.01574707,0.01541138,0.03320312,0.2312315,0.0300293,0.02413941,0.00201416,0.1363526,0.06652833,0.04339601,0,0.06352241,16.90222,18.46719,17.46301,17.43258,16.78635,18.66634,16.37679,17.71512,17.91159,15.06388,17.8838,19.70384,17.05472,17.89948,17.74376,15.83176,283,0,0,294,18,52,0,0,3,80,121,40,7,0,36,0,460,0,0,443,31,50,0,0,16,82,160,55,0,0,38,0,4.245892,5.152137,2.364297,3.290118,13.98903,8.255361,6.742798,18.31808,11.92539,18.6129,3.321493,6.464454,14.2706,5.563107,9.237101,7.512094,6.333425,6.110486,2.854572,4.011433,18.98106,10.12229,7.684568,22.70282,17.2673,20.47203,3.740879,7.74417,18.45902,6.600903,10.70648,8.877631,2.633449,33.5916,2.5284,3.612,285.348,12.642,26.7288,126.7812,6.5016,2.5284,1.352393,6.1404,818.4792,5.7792,386.8452,25.284
10/17/2021 12:57:00,0,0,0,0,0,1.020672,0.9878553,1.173806,1.472709,0.9350935,1.314046,0.7951182,1.128028,0.987581,0.7261152,1.288771,0.91092,0.7706612,1.111329,0.7646452,0.774694,0.8637604,0.7372847,1.0051,1.157239,0.744633,1.108682,0.6510561,0.9262463,0.6806177,0.6086386,0.9877695,0.8520617,0.602969,0.7886258,0.6617102,0.6039244,0.1127117,0.1000069,0.1272281,0.2011845,0.1593103,0.1819945,0.09733457,0.1563848,0.08690897,0.08329079,0.1139234,0.169942,0.1725913,0.1259569,0.1623567,0.1257502,0.2986672,0.2825145,0.3442566,0.4250311,0.2705261,0.3842916,0.2312177,0.3281992,0.2786892,0.2120865,0.3702911,0.271939,0.2222436,0.3151182,0.2247191,0.2232606,0.843076,0.7465732,0.855072,0.7866969,0.7958098,0.8414716,0.8192527,0.8249353,0.6900502,0.841864,0.7662796,0.9362903,0.7799236,0.7100427,0.8666926,0.7794116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007507951,0,0,0.05387937,0.01574707,0.01541138,0.03320312,0.2312315,0.0300293,0.02413941,0.003350831,0.1363526,0.06652833,0.04339601,0,0.06352241,16.90222,18.44262,17.30425,18.87772,16.79103,18.66634,16.35218,17.71551,17.86847,15.05471,17.55799,19.70384,17.05472,17.88208,17.75179,15.77607,161,0,130,294,14,281,0,162,18,18,338,0,13,0,0,6,235,0,132,603,26,400,0,280,36,22,418,0,5,0,0,16,7.778276,5.152137,3.055192,10.30387,14.1809,11.53487,6.742798,19.00878,11.95026,19.61488,8.445889,7.027907,14.2706,5.563107,9.295752,7.538771,11.0434,6.110486,3.813752,12.53757,19.32884,14.22877,7.684568,23.62366,17.45663,21.79757,9.904311,8.393719,18.5033,6.600903,10.77071,8.905416,21.69939,33.5916,2.5284,3.612,285.348,18.84109,26.7288,126.7812,6.5016,2.5284,22.8468,6.1404,818.4792,5.7792,386.8452,25.284
10/17/2021 13:17:00,0,0,0,0,0,0.6608403,1.02917,1.289502,1.42487,0.9033517,0.8529971,0.7394111,1.115223,1.145434,0.6758714,1.009494,0.8817962,0.848627,1.16588,1.194705,0.8526437,0.5280913,0.7519591,1.105093,1.1121,0.7260157,0.6998147,0.6058558,0.903222,0.8368698,0.5727415,0.7538007,0.8069652,0.6416776,0.8586022,1.011119,0.6768565,0.09993313,0.09372345,0.1521792,0.2050109,0.149914,0.1697681,0.1014822,0.1907995,0.08480177,0.07815833,0.1164391,0.1607225,0.1674931,0.1276651,0.1697118,0.1296615,0.1913064,0.2932575,0.3782497,0.4107238,0.2617849,0.2481394,0.2150458,0.3236434,0.3263841,0.1978237,0.2887272,0.2620597,0.2432481,0.3326608,0.3495979,0.2465323,0.8007081,0.730475,0.855626,0.7817497,0.8040618,0.8206092,0.8195737,0.8095679,0.7277086,0.8493729,0.7452476,0.9174144,0.7563636,0.7356024,0.8469017,0.7994401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01068114,0,0,0.05593869,0.01574707,0.01541138,0.03320312,0.2333687,0.03054733,0.02413941,0.004760745,0.1363526,0.06652833,0.04339601,0.00355391,0.06352241,16.90222,18.41804,17.11135,17.31213,16.79571,18.66634,16.32757,17.71589,17.82528,15.05661,17.81691,19.70384,17.05472,17.86467,17.75982,15.72038,0,0,137,36,2,0,0,102,173,0,301,0,3,14,208,0,1,0,170,77,14,0,0,170,303,0,293,0,0,22,226,0,8.325969,5.152137,5.298082,14.11744,14.18328,13.40182,6.742798,22.2088,12.63087,20.03092,14.25686,7.027907,14.2706,5.639809,10.62374,7.830536,11.85846,6.110486,6.596776,17.10277,19.39685,16.4988,7.684568,27.63134,18.49273,22.24748,16.66217,8.393719,18.53911,6.681887,12.46502,9.20961,24.5616,33.5916,9.960692,3.612,285.348,26.0064,26.7288,127.4356,6.656314,2.5284,35.3976,6.1404,818.4792,5.7792,394.3392,25.284
