Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
08/04/2021 11:53:09,0,0,0,0,0,0.9986981,1.413197,2.24449,1.700032,1.879917,1.473531,1.451007,1.299832,1.834612,1.572502,1.581713,1.792823,1.822827,1.767829,1.788941,2.059475,0.8773118,1.169383,1.953773,1.444957,1.668484,1.125838,1.298547,1.073636,1.616683,1.279534,1.294492,1.424597,1.530882,1.365125,1.482176,1.646319,0.1525686,0.1986806,0.3314409,0.2278575,0.2197799,0.1901387,0.1327508,0.1666886,0.2350298,0.1848509,0.1638279,0.1852801,0.2179848,0.181058,0.2037609,0.1879919,0.2943706,0.4117648,0.6603844,0.4978769,0.5552458,0.4231418,0.4292768,0.3786047,0.5410956,0.4567437,0.4599144,0.5184672,0.532615,0.5086105,0.5213702,0.5962331,0.8850728,0.8278136,0.8651245,0.8506451,0.8883818,0.7639121,0.8977898,0.8278901,0.8865461,0.8152231,0.8186156,0.795316,0.839986,0.7737781,0.8286474,0.8002707,0.04121087,0.0130709,0.02475406,0.05195193,0.07972213,0,0.005789075,0,0.001400759,0.05301986,0.001805681,0.02574627,0.005179896,0,0.04826128,0.03182486,0.0415518,0.06063048,0,0.04128773,0.006273039,0,0,0.02630207,0.02120066,0.00921614,0.006410913,0.03335108,0.007849486,0.0262399,0,0.02969109,23.98993,23.68791,27.32666,25.19996,22.81438,24.41318,25.71213,21.0994,26.34409,22.63353,20.51874,23.82915,26.45514,22.14722,26.12805,25.86562,410,468,71,150,60,122,214,123,414,72,179,123,170,327,357,212,548,512,361,435,250,346,581,297,496,86,292,515,358,652,720,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.161084,3.732435,1.472706,1.86494,1.59766,1.020475,2.398987,1.888482,2.742533,0.6291426,2.623849,3.177899,1.429185,5.854689,6.297295,3.06727,4.770576,4.313686,2.084924,2.401943,1.912016,1.656797,3.196164,2.124695,3.540095,0.818836,2.947139,3.659906,2.045857,6.435933,6.945,3.670078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 12:08:09,0,0,0,0,0,1.092075,1.385031,1.729362,1.537649,1.769361,1.32059,1.517077,1.143694,1.387891,1.339103,1.258082,1.740565,1.651137,1.560412,1.682279,1.653888,0.9341357,1.137601,1.402039,1.312439,1.58756,0.9926484,1.35978,0.8932856,1.198247,1.07035,1.033963,1.383599,1.444366,1.202501,1.341506,1.33828,0.1806138,0.2039225,0.3148278,0.2310283,0.2123946,0.2101851,0.1613978,0.188868,0.2571217,0.1915994,0.1745598,0.2047914,0.250498,0.2038324,0.2524898,0.2093375,0.3202213,0.4029957,0.5019643,0.4506859,0.5237337,0.3781389,0.4489631,0.3297164,0.4076964,0.3876726,0.3660998,0.5033897,0.4862759,0.448773,0.486814,0.4798865,0.8622396,0.8212735,0.8110843,0.8534091,0.897594,0.7493925,0.8954421,0.7804835,0.8749242,0.7974356,0.8219695,0.794904,0.8754654,0.7713917,0.7977904,0.8097696,0.06489797,0.0255599,0.02770316,0.1071177,0.2596384,0,0.1290567,0,0.0020752,0.05776982,0.004003002,0.05342807,0.0284107,0,0.1007011,0.08418626,0.0821227,0.1739325,0.04011381,0.05651853,0.009399408,0,0.01228343,0.06243901,0.02435302,0.01446534,0.006744385,0.08215137,0.01281263,0.03798399,0.00492491,0.04843581,23.535,23.74097,27.32666,24.69787,22.81438,24.41318,25.70723,20.89648,26.34409,22.63353,20.7057,23.80953,26.45067,22.12173,26.12805,25.86562,78,405,83,191,0,56,242,5,69,0,69,169,100,265,373,224,108,451,374,270,145,105,481,16,98,0,119,423,326,411,648,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17849,9.990973,4.124268,5.222109,3.196786,1.693777,7.273989,4.968252,4.476091,1.031179,5.739996,9.72269,4.150277,14.91411,15.15543,6.873734,11.43109,11.96483,5.822062,7.083271,3.961483,3.38022,9.294052,5.534723,6.50712,1.266943,6.521426,11.22213,5.92787,16.45197,17.25002,8.692009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 12:23:09,0,0,0,0,0,0.8531023,1.059684,1.233546,1.415283,1.710579,1.243391,1.536718,0.9365594,1.116394,1.290033,1.233139,1.452162,1.526446,1.199767,1.480204,1.52201,0.6943796,0.8179057,0.966225,1.117333,1.548278,0.9266462,1.354753,0.7001374,0.9187534,0.9798998,0.9693359,1.128438,1.364697,0.9080308,1.192974,1.189898,0.180411,0.1886422,0.2865274,0.2144532,0.2039235,0.2011447,0.1804526,0.174812,0.2367759,0.172375,0.1623971,0.1980892,0.2573939,0.2075139,0.2776872,0.2136341,0.2478036,0.3048492,0.3558029,0.4088041,0.5072272,0.3555044,0.4532737,0.26792,0.3249511,0.3700673,0.3559131,0.4182614,0.4515046,0.3439539,0.4291749,0.438856,0.8176264,0.7710592,0.7839975,0.7883303,0.9051769,0.743197,0.8817779,0.7480357,0.828984,0.7594911,0.786762,0.7778901,0.8937691,0.7563288,0.805507,0.7822012,0.0669558,0.02786246,0.02938841,0.1244426,0.4196427,0,0.1644594,0,0.0020752,0.05776982,0.01644726,0.06308165,0.0829185,0,0.1261033,0.133554,0.0821227,0.189652,0.08639525,0.05651853,0.01922655,0,0.02819825,0.06243901,0.02435302,0.01446534,0.006744385,0.09939585,0.01947387,0.03891019,0.02211587,0.06606969,23.58385,23.79512,27.32666,24.80085,22.81438,24.41318,25.68963,20.88171,26.34409,22.63353,20.74133,23.70912,26.39944,21.91764,26.12805,25.86562,0,64,6,44,4,9,158,1,7,0,35,123,100,38,174,271,0,40,34,169,258,12,496,1,16,0,71,422,355,64,362,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98546,11.31724,4.882882,6.83314,3.600188,1.750557,11.6537,5.004019,4.479183,1.031179,7.052773,15.47665,6.533353,18.66544,21.62021,12.10647,12.2569,14.01044,7.114929,9.246633,4.878642,3.572905,15.09087,5.573623,6.691163,1.266943,8.31133,18.04381,9.115635,20.72954,24.91062,15.19191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 12:38:09,0,0,0,0,0,0.8535192,1.164187,1.212843,1.385425,1.756188,1.204724,1.207926,0.9181114,1.110325,1.191655,0.9706206,1.121551,1.495311,0.7958685,1.532507,1.359109,0.6942302,0.9124156,0.8889753,1.127322,1.599499,0.9121903,1.056186,0.6731049,0.9483871,0.9474711,0.7655815,0.8910539,1.420326,0.6035759,1.222102,1.070292,0.1860637,0.1953388,0.2691298,0.2165979,0.2146029,0.2172946,0.2056937,0.1708109,0.2424241,0.1752214,0.1602193,0.2053631,0.2638296,0.2082378,0.2969379,0.2200843,0.2478923,0.3358315,0.3457812,0.4024068,0.5214109,0.3454019,0.3557146,0.2617639,0.3254824,0.3446529,0.2803169,0.3243323,0.4478341,0.2282443,0.4434754,0.3923995,0.8145704,0.7829956,0.7336169,0.8143132,0.9107786,0.7569386,0.872773,0.7334983,0.8550207,0.7965157,0.7890208,0.7939003,0.9510165,0.7604181,0.7987844,0.7881021,0.0669558,0.02786246,0.02938841,0.2059356,0.4445879,0,0.1644594,0,0.0020752,0.05776982,0.01748658,0.06308165,0.183772,0,0.1273261,0.1362286,0.0821227,0.1925659,0.08639525,0.0883923,0.04039912,0,0.02819825,0.06243901,0.02435302,0.01446534,0.006744385,0.09939585,0.02426148,0.03891019,0.02707976,0.06695546,23.75109,23.84927,27.32666,24.90383,22.81438,24.41318,25.67138,20.86695,26.34409,22.63353,20.7214,23.59996,26.40755,21.89933,26.12805,25.86562,0,1,0,57,0,11,80,0,16,0,0,0,169,0,224,185,0,4,4,50,287,16,117,0,19,0,0,39,493,0,451,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98546,11.4647,4.882882,8.821972,4.141069,1.962893,12.95684,5.004019,4.479183,1.031179,7.133388,17.89982,9.837763,18.88555,26.21485,14.8574,12.2569,14.32762,7.19442,11.76953,6.095405,3.84904,17.15902,5.582007,6.802372,1.266943,8.415439,21.0278,13.66117,20.97505,30.68556,19.26018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 12:53:09,0,0,0,0,0,0.9652026,0.9961014,1.2593,1.277217,1.714428,1.197138,1.240207,0.9707255,1.064509,1.176278,1.025246,0.9098969,1.424277,0.8975248,1.21364,1.036606,0.8011147,0.7850305,0.912422,1.109297,1.537105,0.8866158,0.9861647,0.7148976,0.9040082,0.9162046,0.7971346,0.6955892,1.333307,0.6588637,0.9684842,0.761613,0.2010179,0.2093786,0.266311,0.2378453,0.2366021,0.2380191,0.2276682,0.1817543,0.2564122,0.1840101,0.1637896,0.2089014,0.2743517,0.2048781,0.3056457,0.227272,0.2813938,0.2876328,0.3583224,0.3756236,0.5073959,0.3419111,0.3587013,0.2769784,0.3117039,0.3389421,0.2953276,0.2613135,0.4252629,0.2559509,0.3512459,0.2956565,0.8292265,0.7879414,0.7227387,0.8683336,0.8958997,0.7408981,0.7945778,0.7357969,0.849885,0.7792319,0.7757434,0.765215,0.9360543,0.7350014,0.7961871,0.735011,0.0740696,0.02786246,0.02938841,0.2091056,0.4445879,0,0.1644594,0,0.0020752,0.05776982,0.01748658,0.06308165,0.2033196,0,0.1281721,0.1362286,0.0821227,0.1925659,0.08639525,0.08917236,0.1074782,0,0.02819825,0.06243901,0.02435302,0.01446534,0.006892853,0.09939585,0.05374636,0.03891019,0.02716061,0.06695546,23.91553,23.90342,27.32666,25.00682,22.81438,24.41318,25.65313,20.85223,26.34409,22.63353,20.68014,23.49079,26.4162,21.92336,26.12805,25.86562,82,0,0,63,39,12,71,18,17,0,13,0,67,0,17,7,120,0,2,104,237,15,47,64,32,0,31,3,186,0,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24154,11.4647,4.882882,9.266967,5.441115,1.963404,12.99526,5.185378,4.479183,1.031179,7.241708,17.89982,12.36782,18.88555,28.38972,15.08874,12.57271,14.34143,7.20519,12.60126,7.989467,3.921525,17.84083,5.772022,6.983489,1.266943,8.540588,21.08226,17.3259,20.97505,33.86332,20.09549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 13:08:09,0,0,0,0,0,0.9869708,1.017282,1.323449,1.104033,1.522556,1.073301,1.206772,0.9226943,1.076418,1.11803,1.098732,0.9609951,1.191643,0.9364094,1.046794,1.157806,0.9309009,0.8475875,0.9997429,0.8996457,1.363968,0.8143146,0.942,0.7250823,0.9136589,0.8861455,0.8641135,0.7304065,1.054448,0.6830902,0.7911538,0.8441611,0.210279,0.215843,0.2557915,0.2370501,0.2412552,0.2356361,0.2223708,0.1861054,0.2604029,0.1874599,0.1754258,0.2146259,0.2702034,0.2042069,0.3007156,0.2279387,0.2951537,0.2967924,0.3792856,0.3207601,0.4505366,0.3078306,0.3478644,0.2662968,0.3151602,0.323174,0.3171487,0.2757067,0.3517491,0.2667533,0.3000259,0.3297933,0.9467819,0.8343918,0.7539501,0.8165932,0.8954247,0.7592771,0.7803337,0.7804266,0.8495321,0.792587,0.7828641,0.7596496,0.8845239,0.7299255,0.7562189,0.72936,0.1176325,0.02786246,0.02938841,0.2102981,0.4445879,0,0.1644594,0,0.0020752,0.05776982,0.01953556,0.06308165,0.203898,0,0.1281721,0.1362286,0.0821227,0.1925659,0.08639525,0.08917236,0.134059,0,0.02819825,0.06243901,0.02435302,0.01446534,0.007385254,0.09939585,0.05499268,0.03891019,0.02716061,0.06695546,23.35185,23.95757,27.32666,25.1098,22.81438,24.41318,25.63488,20.84122,26.34409,22.63353,20.66362,23.38162,26.42484,21.94739,26.12805,25.86562,116,32,6,12,25,8,5,0,3,0,50,0,10,0,9,15,151,30,52,15,143,16,4,0,8,0,87,13,55,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83334,11.48509,4.885715,9.511936,7.829561,1.972893,13.00236,6.229663,4.479183,1.031179,8.402278,17.89982,12.50246,18.88555,28.43012,15.12763,16.52298,14.49569,7.23687,13.13427,10.98874,4.062366,17.97243,6.868831,7.096662,1.266943,9.977725,21.11379,17.70071,20.97505,34.13618,20.29963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 13:23:09,0,0,0,0,0,0.8963372,1.01142,1.934553,1.083943,1.229186,1.139993,1.068681,0.8743728,1.117337,1.140773,0.8602679,0.9464763,1.44879,0.8329682,1.056804,1.03807,0.8381172,0.7892555,1.507702,0.9065413,1.02403,0.8564926,0.841447,0.6424785,0.9386185,0.8930985,0.67443,0.7194725,1.310969,0.6302689,0.8066468,0.7743518,0.1956896,0.1960772,0.273746,0.2253311,0.218494,0.2091964,0.1917595,0.1600756,0.249047,0.1746505,0.1585848,0.2028898,0.2513041,0.1932577,0.2878669,0.2078267,0.2675653,0.2915355,0.5574955,0.3164673,0.358608,0.3263997,0.3085388,0.2493891,0.3264923,0.3290132,0.2481741,0.271548,0.4295768,0.2387883,0.3034208,0.2968481,0.9334249,0.7819501,0.7796845,0.8388537,0.8329737,0.7518348,0.7879266,0.7357399,0.840206,0.7830019,0.784045,0.7600052,0.9049889,0.7584856,0.7635404,0.7471308,0.1487056,0.02786246,0.02938841,0.2102981,0.4445879,0,0.1644594,0,0.0020752,0.05776982,0.01995854,0.06308165,0.2215216,0,0.1281721,0.1362286,0.0821227,0.1925659,0.08639525,0.08917236,0.1349182,0,0.02819825,0.06243901,0.02435302,0.01446534,0.007385254,0.09939585,0.05499268,0.03891019,0.02716061,0.06695546,23.95906,24.01171,27.32666,25.21278,22.81438,24.41318,25.61662,20.83246,26.34409,22.63353,20.67046,23.27245,26.43348,21.97142,26.12805,25.86562,60,4,132,15,0,3,15,0,8,0,0,0,58,0,17,16,95,4,482,9,10,5,14,0,29,0,0,12,306,0,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7893,11.50588,6.664442,9.53472,7.915123,1.972893,13.01422,6.229663,4.487528,1.031179,8.551626,17.89982,13.4298,18.88555,28.44878,15.13774,18.67354,14.61618,9.79774,13.23384,11.21315,4.130903,18.0451,6.868831,7.199157,1.266943,10.16462,21.15889,19.24704,20.97505,34.26408,20.41682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 13:38:09,0,0,0,0,0,0.7366765,1.015129,1.597443,1.232971,1.163521,1.092561,1.179168,0.8910329,1.345034,1.72176,0.8981075,0.9448299,1.232037,1.052253,1.008575,1.045745,0.6628402,0.8286197,1.262576,1.020112,1.033415,0.8349038,0.9550539,0.6786988,1.153183,1.410287,0.6823285,0.7166646,1.056258,0.8026246,0.773788,0.7953192,0.1559037,0.1644987,0.300727,0.1994405,0.1860441,0.1802327,0.1570856,0.130903,0.2329916,0.1625557,0.1312168,0.1777254,0.2229092,0.1730275,0.2550342,0.1829845,0.2181806,0.2950247,0.461516,0.359243,0.3437035,0.3137511,0.3422033,0.2557321,0.394572,0.5007141,0.2576458,0.2709723,0.3614208,0.3020779,0.2898361,0.3000542,0.9003323,0.8141075,0.7916161,0.827215,0.8860637,0.7639318,0.8098667,0.761569,0.8566929,0.8185371,0.7595269,0.7587445,0.8571002,0.7599608,0.7680184,0.7604609,0.1531081,0.02786246,0.02938841,0.2102981,0.4445879,0,0.1644594,0,0.0020752,0.09979655,0.01995854,0.06308165,0.2215264,0,0.1281721,0.1362286,0.0821227,0.1925659,0.08639525,0.08917236,0.1349182,0,0.02819825,0.06243901,0.02435302,0.01970199,0.007385254,0.09939585,0.05499268,0.04069067,0.02716061,0.06695546,23.9441,24.06586,27.32666,25.31577,22.81438,24.41318,25.59837,20.8237,26.34409,22.66014,20.65569,23.16328,26.44212,21.9855,26.12805,25.86562,0,41,42,5,5,3,11,0,129,185,0,0,3,52,1,4,0,51,271,5,30,8,6,0,160,250,0,0,20,82,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95942,11.50588,9.292473,9.540513,7.925045,1.974482,13.01776,6.229663,4.791059,1.890518,8.551626,17.89982,14.07999,19.14052,28.46799,15.15961,18.86307,14.69553,13.54982,13.33762,11.35797,4.148504,18.1087,6.868831,7.89918,2.448149,10.16462,21.18006,20.35151,21.27171,34.49477,20.56184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 13:53:09,0,0,0,0,0,0.7646598,1.348971,0.99928,1.111888,1.228771,1.208099,1.422921,0.9079679,1.58133,1.640392,0.9696423,1.019943,1.220008,1.420247,0.9715475,1.019202,0.6415523,1.123983,0.7557853,0.8695406,1.070559,0.9166842,1.213194,0.6881217,1.32215,1.436934,0.7379465,0.7789639,1.010522,1.109528,0.7212382,0.7439616,0.1284521,0.1580322,0.2738448,0.1729921,0.1585678,0.1596967,0.1441252,0.109849,0.2166873,0.1597906,0.1130928,0.1587875,0.1929251,0.1726314,0.2294097,0.1634252,0.2233849,0.3935653,0.2864437,0.3206198,0.3615975,0.3464983,0.4169714,0.2603619,0.461659,0.4832421,0.2782517,0.2928677,0.3555414,0.40946,0.2775935,0.2903699,0.839843,0.8332639,0.7565622,0.7829705,0.8728791,0.7590123,0.8501815,0.758068,0.8370298,0.8754738,0.76156,0.7642244,0.833111,0.7811757,0.7423121,0.7305638,0.1531081,0.02786246,0.02938841,0.2102981,0.4445879,0,0.354047,0,0.0142306,0.2057642,0.01995854,0.06308165,0.2215264,0,0.1281721,0.1362286,0.0821227,0.1925659,0.08639525,0.08917236,0.1349182,0,0.02819825,0.06243901,0.03439277,0.1014603,0.007385254,0.09939585,0.05499268,0.04840381,0.02716061,0.06695546,23.9272,24.12001,27.32666,25.41875,22.81438,24.41318,25.58012,20.81494,26.34409,22.74766,20.64092,23.05412,26.45076,21.95449,26.12805,25.86562,14,201,6,6,0,23,61,0,397,279,0,0,1,118,4,4,18,245,4,3,9,31,158,0,408,368,0,5,7,178,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4563,12.65763,9.614508,9.565028,7.925123,1.98376,13.40118,6.229663,7.043352,5.553077,8.551626,17.89982,14.07999,22.09018,28.46799,15.15961,19.35996,16.56128,14.23834,13.42797,11.39759,4.203925,18.78661,6.868831,11.30835,7.085966,10.16462,21.18633,20.38176,24.60122,34.57788,20.63221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/04/2021 14:08:09,0,0,0,0,0,0.7369215,1.150245,1.094627,1.56652,1.336546,1.655816,1.318797,0.9690971,1.322526,1.32751,1.027141,1.2116,1.2174,0.9947839,1.074053,1.19562,0.6220283,0.9074221,0.7923326,1.343318,1.198359,1.312992,1.211855,0.75141,1.099809,1.196368,0.7633367,1.008663,0.9929271,0.7673537,0.8168448,0.918394,0.1146603,0.147637,0.2375405,0.1674136,0.1481748,0.1630287,0.1399466,0.1046955,0.2122,0.1595273,0.1043592,0.1509752,0.1840021,0.1694165,0.2166005,0.1582307,0.2155303,0.3322034,0.3114147,0.4595619,0.3955626,0.4786645,0.3922614,0.2790163,0.3857079,0.3932939,0.2935327,0.3534297,0.3537571,0.2861482,0.3081763,0.343661,0.8454903,0.7864147,0.7248653,0.8541892,0.8928162,0.7930804,0.9164462,0.7735044,0.8311846,0.9003329,0.7424371,0.828948,0.8151279,0.7664664,0.7608268,0.7688479,0.1531081,0.03026075,0.02938841,0.277352,0.4445879,0.003502401,0.4954567,0,0.01919547,0.2497912,0.01995854,0.06308165,0.2215264,0,0.1281721,0.1362286,0.0821227,0.1976538,0.08639525,0.0901667,0.1349182,0.001258596,0.04322985,0.06243901,0.0422365,0.11615,0.007385254,0.09939585,0.05499268,0.0581392,0.02716061,0.06703282,23.91031,24.17416,27.32666,25.50786,22.81438,24.41318,25.56187,20.80618,26.34409,22.7518,20.62606,22.94495,26.45941,21.9198,26.12805,25.86562,0,114,5,163,32,151,170,2,54,0,20,26,2,16,3,25,0,116,8,465,233,297,304,26,124,0,47,159,20,22,8,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.50529,13.45059,9.614508,11.2843,8.267469,3.176735,15.32852,6.46998,8.969378,7.721387,8.567831,18.26983,14.07999,23.90948,28.46799,15.17483,19.40895,18.25126,14.273,15.61831,11.96847,6.117311,21.54187,7.125563,14.07093,9.676017,10.18392,21.69835,20.42714,26.58237,34.64479,20.76733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
