Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
08/10/2021 16:23:37,0,0,0,0,0,1.062242,0.8849342,1.684302,1.613537,1.301579,1.127007,1.20333,0.868411,1.272901,1.273398,0.8945443,0.8989537,1.107067,1.272921,1.0702,0.9724673,1.011436,0.843073,1.448918,1.311723,1.219539,0.8360789,0.9942527,0.7268929,1.135211,1.063606,0.8811273,0.8413301,1.038297,1.257698,0.9932876,0.9809517,0.06472863,0.05990823,0.1312656,0.09348238,0.09138353,0.07052474,0.0519998,0.08589619,0.117377,0.08801904,0.06617076,0.09276588,0.1037393,0.1015278,0.09200347,0.104075,0.3182966,0.2651979,0.4944201,0.4685828,0.3886999,0.3219744,0.350518,0.2535811,0.3763227,0.3716886,0.2699956,0.2683972,0.3306786,0.3844558,0.3189741,0.2950456,0.9518352,0.9545715,0.8603581,0.8110844,0.9374606,0.7418647,0.8254991,0.8388075,0.8923924,0.8352994,0.9863145,0.9362728,0.9381652,0.9888755,0.9297452,1.019064,0.001437725,0.001053132,0.0007023687,0.004784907,0,0.0008558896,0,0,0.001568934,0,0,0.001800919,0,0.004048269,0.0009782491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03749532,0,0,24.33525,17.09441,28.74889,26.03624,22.86565,24.01817,26.42703,22.01048,21.82384,23.7906,20.92526,23.8076,27.43388,24.60683,26.24092,26.73936,148,18,20,128,0,9,30,4,78,0,3,3,5,41,10,4,158,26,167,185,35,21,112,14,87,0,22,25,18,158,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2139736,0.004485673,0.2309948,0.1151922,0,0.01408876,0.001655556,0.009374185,0.2836325,0,0.01201297,0.0141,0.07387788,0.1193141,0.07726556,0.0004333333,0.5163516,0.03611428,0.4370739,0.5423568,0.05064444,0.01953848,0.1088078,0.01064249,0.6103202,0,0.01384074,0.03170913,0.1151832,0.2475907,0.1334065,0.005208708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 16:38:37,0,0,0,0,0,1.327819,1.607807,1.941233,1.379439,1.746226,1.577295,1.388402,1.53455,1.51936,1.213123,1.406577,1.427664,1.071704,1.589511,1.642544,1.203197,1.217736,1.562339,1.733103,1.147557,1.633705,1.290016,1.175598,1.329739,1.365642,0.9690552,1.385723,1.388692,1.035978,1.56207,1.578482,1.307819,0.07621618,0.0715338,0.1515078,0.09963653,0.1060621,0.07851793,0.06147563,0.09157105,0.125656,0.07876268,0.07841961,0.1007316,0.100773,0.1136224,0.1001323,0.1103719,0.394785,0.4838589,0.5740325,0.4023341,0.5213253,0.4585727,0.4063143,0.4511012,0.4498919,0.3511615,0.4245559,0.4297391,0.3221626,0.4795148,0.493144,0.3712947,0.9173304,0.9685115,0.8898934,0.8346546,0.9363756,0.8189374,0.8468211,0.8716095,0.9011904,0.7988201,0.9848307,0.9722822,0.9660932,0.9828082,0.9598057,1.092216,0.04773469,0.2263479,0.1878654,0.05987485,0.06889702,0.1332529,0.04212985,0.001772744,0.1855463,0,0.02325701,0.2576442,0,0.2814988,0.2267878,0,0.04792287,0.00846827,0.0612686,0.0101332,0,0,0,0,0.04478625,0,0.002094761,0.03049635,0,0.0901517,0,0,24.33525,17.09441,28.74889,26.03624,22.7327,24.01817,26.42703,22.03236,21.82384,23.7906,20.93654,23.8076,27.43388,24.60683,26.24092,26.73936,221,79,74,87,52,174,50,18,179,0,35,17,0,70,116,1,244,130,418,131,196,143,208,91,129,0,130,142,3,206,180,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13727,0.3224269,2.085733,1.480678,1.137173,0.8137742,0.3283454,0.4195628,0.9795055,0,0.7929087,0.3414128,0.1528092,2.108564,0.8726871,0.01,6.105819,0.6618635,3.047065,2.79613,1.484814,1.183414,1.101783,0.6143741,1.786389,0,1.045392,0.6627471,0.2408566,2.808526,1.299676,0.1048562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 16:53:37,0,0,0,0,0,0.934569,1.449995,1.873416,1.092539,1.857836,1.32112,1.091388,1.409297,1.194156,1.200603,1.285842,1.350933,1.109442,1.333757,1.699414,1.161237,0.8194318,1.427659,1.789859,0.8697448,1.719734,1.207675,0.9429223,1.374345,1.163052,0.9597865,1.297237,1.354805,1.077291,1.360592,1.700235,1.185822,0.07271335,0.08242923,0.1849861,0.08811988,0.118281,0.08380493,0.0607869,0.1015546,0.1253299,0.07582638,0.08439101,0.1071652,0.09779112,0.1129332,0.1119824,0.1078248,0.2753657,0.4376051,0.5617631,0.316058,0.5534256,0.3925332,0.3206419,0.424444,0.3595503,0.3475861,0.3901348,0.4093466,0.3338278,0.4056689,0.514671,0.3532771,0.8791758,0.9859802,0.9555314,0.7976288,0.9267645,0.9136428,0.864487,0.9751991,0.976009,0.7997086,1.010053,1.002658,0.9708304,1.02145,1.000473,1.021692,0.05761613,0.3658791,0.4988931,0.06347666,0.1234574,0.1547156,0.1024779,0.1439498,0.2086786,0,0.1575214,0.3530234,0,0.4971317,0.3748566,0,0.06985462,0.05855153,0.2154232,0.01513673,0.07820799,0.0001917753,0,0.03435918,0.06201173,0,0.05615377,0.1154975,0,0.1083374,0.06093552,0,24.33525,17.09441,28.74889,26.03624,22.65968,24.01817,26.42703,22.18413,21.82384,23.7906,21.00156,23.8076,27.43388,24.60683,26.24092,26.73936,19,69,30,3,66,46,14,19,24,0,32,16,0,19,168,10,22,113,283,6,223,71,40,86,21,0,100,118,0,73,299,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.206664,0.8321966,5.634203,1.838216,4.953788,1.403502,1.134306,1.861964,1.148522,0,2.424095,1.314862,0.1750731,3.341715,3.360388,0.01,7.632347,1.81397,7.732572,3.30547,5.794,2.331746,2.435333,2.296554,2.536033,0,2.949416,2.16695,0.2694927,4.483657,4.639144,0.1798351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 17:08:37,0,0,0,0,0,1.416103,1.016829,1.621699,1.194826,1.592166,1.313624,1.131441,1.068531,1.377525,1.222615,1.083687,0.9579852,1.154168,1.130805,1.474034,1.093678,1.307959,1.05322,1.547683,0.9408957,1.458687,1.226898,0.9765484,1.083243,1.310002,1.010628,1.121251,0.972349,1.141775,1.182396,1.470082,1.131152,0.09470932,0.09145364,0.2072964,0.09547547,0.1416365,0.1103595,0.08225127,0.1162591,0.1299537,0.08473983,0.09123798,0.1054804,0.1002205,0.1112162,0.1308613,0.1110937,0.4216479,0.3103312,0.4861713,0.3449664,0.4732821,0.3920366,0.3323443,0.3245489,0.4126613,0.3561648,0.3306548,0.2910503,0.3486827,0.345854,0.4461047,0.3336743,0.9291871,1.037905,0.9546025,0.7875947,0.9152644,0.9365192,0.8632892,1.014307,0.952646,0.8240509,1.037347,1.016249,0.9903386,1.047257,1.000467,1.034724,0.1417185,0.3985226,0.5671072,0.06347666,0.1836573,0.183425,0.1024779,0.177765,0.2558637,0,0.258189,0.3717041,0,0.5793763,0.4552867,0,0.0981882,0.148489,0.2154232,0.01513673,0.2081478,0.03611219,0,0.04605103,0.06201173,0,0.1756975,0.1427308,0,0.1283457,0.1023866,0,24.33525,17.09441,28.74889,26.03624,22.89036,24.01817,26.42703,22.42511,21.82384,23.7906,21.19609,23.8076,27.43388,24.60683,26.24092,26.73936,215,22,38,42,40,67,50,12,85,0,25,32,40,13,30,20,252,46,163,12,152,80,76,0,94,0,28,53,19,9,116,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.970988,1.179252,7.328091,1.851116,7.514176,2.028831,1.221003,2.254744,1.363462,0,3.03021,1.579429,0.5145829,3.746256,5.954324,0.0151,10.82386,2.393452,10.19699,3.382437,8.881587,3.359766,2.677894,2.78535,2.928077,0,3.864975,2.606945,0.6547265,5.043638,7.838297,0.3111576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 17:23:37,0,0,0,0,0,1.42062,1.387918,1.170449,1.405668,1.301048,1.36173,1.053665,1.025658,1.441888,1.540442,0.8391422,0.9629968,1.126724,1.364279,1.034571,1.237605,1.352944,1.443945,1.14221,1.072925,1.208397,1.319502,0.910384,1.059475,1.434369,1.313222,0.8919186,1.007851,1.144085,1.462427,1.10799,1.256146,0.1241684,0.1083087,0.2172675,0.1131196,0.1571913,0.1330637,0.09848245,0.127297,0.1530285,0.1119683,0.09640916,0.1168946,0.1097453,0.1264798,0.1407409,0.1239797,0.4257012,0.4240073,0.3525614,0.4035836,0.3878351,0.409557,0.3095626,0.3128339,0.4361335,0.4513984,0.2576113,0.2945912,0.3423467,0.4196441,0.318161,0.3760019,0.9592167,1.043218,0.9767206,0.7653392,0.9270896,0.9684554,0.8643196,1.033372,0.9967313,0.8537129,1.065976,1.047371,1.017645,1.073656,1.06846,1.016289,0.1873184,0.534713,0.5671072,0.06347666,0.2699442,0.288455,0.1024779,0.177765,0.3546114,0.0647063,0.2601937,0.3717041,0,0.6646811,0.4552867,0,0.125413,0.272613,0.2154232,0.01513673,0.2357788,0.03616333,0,0.04605103,0.06201173,0.008269792,0.181549,0.1427308,0.02103627,0.2603775,0.1023866,0,24.33525,17.09441,28.74889,26.03624,22.87522,24.01817,26.42703,22.42451,21.82384,23.79472,21.19167,23.8076,27.43388,24.60683,26.24092,26.73936,291,35,2,4,4,73,0,0,99,86,0,1,6,100,0,54,300,89,16,4,71,102,4,0,107,139,0,14,31,172,3,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5916,1.865961,7.554243,1.885716,8.073492,2.587492,1.377938,2.254744,1.96419,0.2358104,3.072543,1.584452,1.524401,4.098885,7.169807,0.04950847,17.2718,3.453292,10.60774,3.551804,9.710711,4.498946,3.009531,2.815003,4.260038,0.3899556,3.964244,2.73849,1.932057,5.717107,9.190091,0.6460385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 17:38:37,0,0,0,0,0,1.144613,1.366418,1.136077,0.9863951,1.395868,1.265792,0.9678821,1.100911,1.373455,1.220061,0.8677193,0.9778329,1.094677,1.432604,1.296003,1.266697,1.073047,1.435418,1.102617,0.7690726,1.330116,1.254567,0.8175637,1.12462,1.407683,1.083374,0.926267,0.9728458,1.125844,1.513702,1.358017,1.275547,0.1324037,0.1148413,0.2112547,0.1150366,0.1544739,0.1240548,0.09093111,0.1295832,0.1568793,0.1137642,0.1006095,0.1180847,0.115118,0.1363916,0.1427212,0.146683,0.3418626,0.4183575,0.3418064,0.2842786,0.4183334,0.3825621,0.2831189,0.3349511,0.4181811,0.3603883,0.266648,0.2957764,0.3335583,0.4392027,0.3965709,0.3841686,0.9390358,1.054749,0.9708291,0.77996,0.9521707,0.9907696,0.8438945,1.023807,1.026168,0.8879843,1.06749,0.9970528,1.028426,1.057223,1.050864,1.007345,0.2122523,0.6337168,0.5671072,0.06347666,0.4715054,0.3719426,0.1024779,0.1814779,0.4269714,0.1494163,0.2601937,0.3717041,0,0.7958403,0.5896383,0,0.1264953,0.3166488,0.2154232,0.01513673,0.2573173,0.03616333,0,0.09369753,0.107818,0.07556155,0.181549,0.1427308,0.03731105,0.3366439,0.1023866,0,24.33525,17.09441,28.74889,26.03624,22.85799,24.01817,26.42703,22.4362,21.82384,23.72359,21.18202,23.8076,27.43388,24.2594,26.24092,26.73936,131,68,0,8,1,76,6,2,70,9,0,1,6,15,11,60,114,78,4,8,66,130,24,30,68,8,0,7,9,46,76,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09266,1.955021,7.591738,1.885716,8.378762,3.146174,1.423324,2.362228,2.670139,1.023895,3.072543,1.589429,1.579145,4.978198,7.201334,0.08511863,21.58613,3.793745,10.68618,3.617514,10.21726,5.458385,3.123836,2.931779,5.315878,1.471215,3.964244,2.798356,2.022368,7.163223,9.399874,1.470517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 17:53:37,0,0,0,0,0,1.047068,1.437803,1.219858,1.02239,1.211655,1.623586,1.027919,1.439121,1.434984,1.224277,0.901206,1.002353,1.222824,1.307348,1.08218,1.142691,1.017663,1.500191,1.213146,0.8026107,1.148231,1.600405,0.873106,1.467974,1.490903,1.181165,0.9706903,0.9877232,1.248011,1.385328,1.174826,1.137145,0.1142874,0.1077888,0.1906507,0.1015955,0.1302957,0.1120199,0.06953463,0.1310907,0.1582549,0.1013248,0.09034125,0.1090244,0.1078915,0.1291721,0.1314082,0.1347394,0.3151219,0.4395355,0.368952,0.2950156,0.3627045,0.4901161,0.3010011,0.4377093,0.4382527,0.3678747,0.2775142,0.3025616,0.371967,0.4010658,0.3338538,0.3456617,0.9718337,1.047817,0.994449,0.7854313,0.9485021,0.9859228,0.8491411,1.019958,1.039072,1.073327,1.077752,0.9858642,1.020169,1.066286,1.090301,0.9954429,0.2185074,0.6930566,0.5671072,0.06347666,0.5453445,0.4170581,0.1024779,0.3774938,0.4719519,0.2130141,0.2601937,0.3972248,0,1.365704,0.653348,0,0.1264953,0.3849374,0.2154232,0.01513673,0.3160824,0.05100502,0,0.1861878,0.1539307,0.07556155,0.181549,0.1427308,0.04613537,0.4406199,0.1023866,0,24.33525,17.09441,28.74889,26.03624,22.84076,24.01817,26.42703,22.50531,21.82384,23.79859,21.17237,23.8076,27.43388,24.69378,26.24092,26.73936,23,133,2,8,1,190,6,21,152,10,0,0,16,31,3,25,6,89,16,31,3,165,21,72,145,18,0,15,36,99,10,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25902,2.380967,7.609477,1.887035,8.409212,4.779489,1.478939,2.944103,3.326614,1.306486,3.072543,1.589429,1.715798,5.527416,7.223429,0.08994394,21.97455,4.968602,10.74234,3.666718,10.32904,7.746571,3.266719,3.650936,6.643948,1.823869,3.964244,2.818642,2.225806,7.934603,9.577899,1.765918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 18:08:37,0,0,0,0,0,1.083158,1.35389,1.324971,1.466941,1.395516,1.608511,1.202904,1.103441,1.626956,1.581197,0.963374,1.106703,1.817431,1.42407,1.316203,1.276196,1.052304,1.401594,1.293875,1.229663,1.333481,1.554843,1.013207,1.133238,1.613948,1.510772,1.03972,1.063856,1.820219,1.476614,1.402305,1.263129,0.09704072,0.09540617,0.1711344,0.09954542,0.1203581,0.1072737,0.06174697,0.1224218,0.1556911,0.1048325,0.08746582,0.09779211,0.1243514,0.1215687,0.1259066,0.1287155,0.3259545,0.4131505,0.3991641,0.4284734,0.4184735,0.4835279,0.3516752,0.3361212,0.4918116,0.4741445,0.2967952,0.3322885,0.5505394,0.4347237,0.4042864,0.3855906,0.9709895,1.037626,0.9771191,0.837285,0.9558715,0.9665031,0.8395931,1.02714,1.089625,0.9533591,1.079433,0.9632449,1.002637,1.042547,1.066187,0.9897979,0.3259748,0.7840923,0.5671072,0.06347666,0.5453445,0.4882515,0.1109812,0.4520588,0.4719519,0.2215155,0.2639247,0.7855533,0.00147434,1.494688,0.7235308,0,0.1264953,0.3951114,0.2154232,0.01513673,0.3464048,0.08068841,0,0.1934626,0.1539307,0.07556155,0.181549,0.1427308,0.1822009,0.5844433,0.1023866,0,24.33525,17.09441,28.74889,26.03624,22.82353,24.01817,26.42703,22.33746,21.82384,23.55841,21.12516,23.8076,27.43016,24.90528,26.24092,26.73936,48,114,5,39,7,151,31,4,196,45,24,4,143,23,32,38,65,119,25,93,118,171,165,13,208,56,57,13,200,81,93,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.673,2.787837,7.674135,1.898216,8.654877,6.202147,1.622317,3.518712,4.608714,1.649349,3.52432,1.589429,3.20442,6.456633,7.244326,0.1495336,22.61418,5.713188,10.90694,4.099756,10.76301,9.916274,3.731673,4.322816,8.673788,2.191961,4.518835,2.880967,4.210557,9.086655,9.740274,2.12363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 18:23:37,0,0,0,0,0,1.206357,1.484973,1.178937,1.353769,1.346451,1.588083,1.24442,1.297584,1.29022,1.67441,0.9148011,1.409721,1.643901,1.628895,1.280787,1.684833,1.172617,1.555927,1.147583,1.051761,1.304784,1.575204,1.059703,1.331914,1.35268,1.534079,0.9533911,1.374132,1.590686,1.705827,1.385046,1.612481,0.09164436,0.09900071,0.1568142,0.09216896,0.1183728,0.1072506,0.06123988,0.117111,0.1510603,0.1093582,0.07902963,0.105185,0.1347159,0.1262226,0.1279573,0.1382034,0.3630702,0.454388,0.354925,0.389907,0.4049672,0.4800487,0.3645774,0.3952124,0.3948492,0.4977324,0.2795809,0.42453,0.4942747,0.4983671,0.3947665,0.5053997,0.9718364,1.052156,0.9734797,0.7765871,0.9702408,0.9909539,0.8560387,1.028576,1.105435,0.9184734,1.042843,0.9738705,0.9670015,1.047269,1.083039,0.9569768,0.341797,0.8866714,0.5671072,0.1077535,0.5453445,0.5681843,0.1714351,0.5707888,0.4743765,0.3654487,0.2649839,0.7855533,0.003158484,1.523839,0.7931306,0.01523283,0.1360694,0.443996,0.2154232,0.01513673,0.3644704,0.08068841,0,0.2804862,0.174987,0.1544216,0.181549,0.1450312,0.2667192,0.6215948,0.1023866,0.03572909,24.33525,17.09441,28.74889,26.03624,22.8063,24.01817,26.42703,22.32691,21.82384,23.51015,21.10662,23.8076,27.46874,24.83259,26.24092,26.61451,154,88,0,54,30,182,21,8,150,131,0,50,118,140,11,278,162,101,3,75,179,205,74,44,158,144,0,237,51,145,52,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.26206,3.344697,7.705952,2.039952,9.65574,8.83038,2.249411,3.95296,6.460834,3.790813,3.656814,2.793472,5.093132,8.479883,7.278819,2.689418,23.51233,6.987877,10.99064,4.588994,12.12877,13.19932,5.027694,4.846804,11.2295,4.666899,4.681744,4.495751,6.814757,11.47399,10.18971,5.363737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/10/2021 18:38:37,0,0,0,0,0,1.5612,1.536338,2.118601,1.324422,1.700296,1.783688,1.043763,1.396727,1.756938,1.208409,1.388371,1.46482,1.431506,1.56428,1.417886,1.507355,1.50471,1.614636,2.01505,1.154359,1.639724,1.769578,0.9190865,1.444127,1.764721,1.166683,1.450791,1.367615,1.417664,1.647765,1.501107,1.414239,0.08756047,0.09129436,0.1526248,0.08555499,0.1270295,0.1096638,0.0530405,0.1255722,0.1638913,0.1047538,0.08606581,0.1104348,0.1210073,0.1249409,0.1237768,0.1413539,0.4690139,0.4704297,0.6346831,0.3897761,0.5108641,0.5392,0.3077988,0.4261024,0.5325524,0.3631615,0.4245686,0.4371261,0.4325701,0.4792355,0.4348868,0.4502781,0.9724119,1.050708,0.9573882,0.8699712,0.965066,0.9924129,0.8805789,1.034358,1.039068,0.9649342,1.045476,0.934227,0.9896626,1.052879,1.061806,0.9401574,0.341797,1.462145,0.5675122,0.1862785,0.547758,0.6664529,0.1715706,0.7361732,0.4772025,0.450894,0.3521025,0.7855533,0.004119867,1.57488,0.9229262,0.02729233,0.2508554,0.5802064,0.2154232,0.01513673,0.3880402,0.1440241,0,0.3120728,0.2062424,0.1926097,0.1938186,0.1491643,0.3583106,0.7305385,0.1023866,0.07638706,24.33525,17.09441,28.74557,26.03624,22.39096,24.01817,26.42703,22.1491,21.82377,23.84687,21.10455,23.77516,27.58314,24.93667,26.24092,26.50234,230,196,36,13,49,218,0,23,279,53,58,62,70,91,28,267,399,228,223,32,200,220,10,90,330,33,108,209,60,170,94,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34482,5.071721,8.10188,2.276515,11.74652,12.20886,2.268577,4.983773,9.866817,4.890431,3.987908,4.164373,5.922364,11.18238,7.876713,6.207979,29.27101,9.189529,11.5559,5.232192,14.71852,17.25579,5.080832,6.03501,15.42693,6.072912,5.09658,6.604986,7.995537,14.57324,11.12321,10.15712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
