Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
08/15/2021 16:32:44,0,0,0,0,0,1.404186,1.412413,1.5944,1.101195,1.707494,1.432187,1.33583,1.330626,1.474542,1.078496,1.280656,1.381736,0.982917,1.287975,1.346082,0.9614493,1.247972,1.088332,1.257603,0.8682646,1.572859,1.103486,1.244515,1.014056,1.151828,0.8342397,0.9519095,1.074424,0.811906,1.05908,1.057405,0.7706107,0.1052292,0.08452284,0.1490343,0.07227495,0.09882026,0.1022543,0.08572757,0.1022192,0.1126217,0.09941024,0.06454517,0.08578683,0.09524176,0.1560355,0.08825362,0.07145273,0.4148494,0.406201,0.4604663,0.3180066,0.5081288,0.4118824,0.3984563,0.3819327,0.4251056,0.3103814,0.3659926,0.3980241,0.2862986,0.3748351,0.3884639,0.278482,0.8894713,0.7647941,0.7803731,0.7888665,0.9204418,0.7612389,0.9318824,0.7576358,0.7746317,0.7741483,0.7357821,0.7650046,0.8300198,0.8164269,0.7813652,0.7976094,0,0.1070092,0.1406516,0,0.04803083,0.07679603,0.004582215,0,0.1050132,0,0,0.09607794,0,0,0.07539856,0.1357913,0,0,0,0,0.02694003,0,0,0,0.0002252875,0,0.006563822,0,0.02817061,0,0.0006527709,0,26.05196,24.63863,29.1991,26.59232,22.79485,23.97263,26.85643,21.45942,26.94263,23.45776,20.16283,24.13185,28.07892,23.11259,25.93954,25.89357,10,12,14,0,63,87,41,29,47,0,18,55,0,13,59,19,57,38,219,4,207,174,141,80,193,0,142,146,41,47,141,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005966667,0.02395745,0.2704398,0.009611111,0.6827215,0.2113275,0.7391085,0.2877326,0.5172904,0,0.2580791,0.1242006,0,0.04930557,0.1891856,0.05046054,0.04126222,0.1178607,0.4574125,0.02094444,0.9157622,0.4070077,1.077558,0.3953885,0.6351778,0,0.365781,0.2425651,0.03400833,0.1494068,0.3593456,0.2355911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 16:47:44,0,0,0,0,0,1.551251,1.590509,1.784133,1.537018,1.619862,1.640589,1.110495,1.511973,1.374743,1.072351,1.278324,1.591244,1.539686,1.529269,1.582106,1.273385,1.466934,1.48598,1.675072,1.237343,1.5034,1.473711,0.990911,1.401826,1.288203,0.8549821,1.168216,1.456279,1.364832,1.508362,1.469469,1.16606,0.09887876,0.09703994,0.1603363,0.0797106,0.1053231,0.1080079,0.0779786,0.1227221,0.1233635,0.1024365,0.08130644,0.09684271,0.1040905,0.1598996,0.1024902,0.07978205,0.4641546,0.4747013,0.5330339,0.4455533,0.4827982,0.4857292,0.3283446,0.4505463,0.4105569,0.3103046,0.3797953,0.4729041,0.4546443,0.4617059,0.4716187,0.3784844,0.9455869,0.9355316,0.9424782,0.803073,0.9285272,0.9012961,0.892714,0.9278808,0.9418268,0.7957943,0.9211479,0.9150925,0.8823597,0.9865037,0.9612336,0.9148338,0.004887065,0.5137141,0.3832846,0.0006809446,0.1007717,0.3031662,0.005767823,0.06482428,0.250032,0,8.967084e-05,0.301893,0.2033622,0,0.3314142,0.4518457,0.001789857,0.1297209,0,0,0.07343144,0,0,0.004278971,0.001342773,0,0.06637573,0.1009699,0.08609015,0.2233791,0.05481874,0.1423674,26.05196,24.63863,29.1991,26.59232,22.85503,23.97263,26.85643,21.44771,26.94263,23.45776,20.40782,24.1611,28.07892,23.11259,25.93954,25.91956,59,67,69,7,55,109,5,55,0,0,38,103,108,49,221,148,167,273,414,143,219,94,8,145,99,0,92,293,149,110,381,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7622506,0.7419423,3.749024,0.2383354,3.123338,1.965447,0.9376717,1.842755,2.11033,0,2.013089,2.15364,0.587774,0.3637283,3.566743,3.009084,1.214984,1.271861,4.858877,0.347133,3.981749,2.809754,1.493491,2.252441,2.85209,0,2.494472,2.937082,1.187979,0.7383243,4.796516,4.072021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 17:02:44,0,0,0,0,0,1.973528,1.455185,1.35428,1.798184,1.477521,1.248494,1.183441,1.257128,1.287469,1.512932,0.9041567,1.343592,1.213362,1.554335,1.186125,1.02354,1.82235,1.374048,1.267737,1.442832,1.334791,1.182332,1.033786,1.188351,1.25105,1.261647,0.9053357,1.309973,1.181133,1.574492,1.080743,1.009549,0.0949498,0.09308847,0.1540067,0.08916645,0.1070477,0.09726915,0.06932433,0.123508,0.1197813,0.1035,0.06790706,0.09279426,0.09781542,0.1505669,0.1025768,0.07895469,0.5875915,0.4352749,0.4043601,0.520945,0.4379514,0.3736784,0.3484386,0.3761195,0.3874545,0.4414708,0.273875,0.4046356,0.3652914,0.4720214,0.3521893,0.30902,0.9238726,0.9455687,0.9384485,0.8035858,0.9009633,0.9482075,0.8733932,0.9448453,0.9739773,0.8338431,1.015655,0.9789337,0.9835013,1.014602,0.937856,0.994349,0.1353674,0.6647143,0.3857103,0.05341433,0.1099414,0.3639026,0.005767823,0.07778912,0.2762538,0.04519317,0.001312256,0.3851891,0.3117988,0.04115279,0.3577236,0.4541635,0.0656856,0.2273983,0,0.02229675,0.09937145,0,0,0.05834961,0.001342773,0,0.06637573,0.251114,0.08609015,0.4653933,0.06948855,0.1791689,26.05196,24.63863,29.1991,26.59719,22.67225,23.97263,26.85643,21.52024,26.94263,23.46407,20.65347,24.15789,28.07892,23.11259,25.93954,25.98825,317,4,1,42,40,36,4,1,7,48,1,60,0,132,7,0,323,148,31,356,143,44,10,12,85,130,0,444,58,182,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.234415,1.604555,4.491981,3.084214,5.451511,2.278048,0.9411494,3.094292,2.282469,0.3039642,2.562165,3.938606,1.05591,0.9126905,4.409114,4.510052,5.400836,2.866535,6.207409,3.956443,6.873589,3.420071,1.537668,3.657405,3.187665,0.4020934,3.149727,5.962384,1.976516,1.720741,6.324848,6.076281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 17:17:44,0,0,0,0,0,2.081635,1.171877,1.626738,1.372336,1.404387,1.638949,1.131305,1.020393,1.577717,1.206995,0.9345201,1.387422,1.197016,1.527197,1.046748,1.007012,1.962692,1.166432,1.540817,1.147056,1.272751,1.546012,0.9675971,0.9967667,1.556518,1.016865,0.9099197,1.334152,1.173133,1.537493,1.011228,0.9569908,0.1003129,0.08487603,0.1395106,0.08412028,0.1014219,0.09320142,0.06252123,0.1121552,0.1287279,0.09981751,0.06430829,0.100086,0.08976459,0.1514252,0.09044563,0.07055321,0.6224676,0.3545064,0.486907,0.4006211,0.4165412,0.4901392,0.3317182,0.3074275,0.4763576,0.3528851,0.2813589,0.4166042,0.3608955,0.463149,0.3146191,0.301624,0.9438536,0.9964167,0.950693,0.8356119,0.9066747,0.945443,0.8575216,0.9769498,0.9878898,0.8424934,0.9737062,0.9611418,0.9801461,1.006827,0.9714584,0.9507928,0.292686,0.6653514,0.5251574,0.07382223,0.3087033,0.4620483,0.005767823,0.07783143,0.3307451,0.1037598,0.001312256,0.439757,0.3117988,0.2837932,0.3577236,0.4541635,0.1969838,0.2965392,0,0.04449463,0.1375117,0,0,0.05834961,0.001342773,0,0.06637573,0.2901002,0.08609015,0.6859077,0.06948855,0.1791689,26.0588,24.63863,29.1991,26.61791,22.74011,23.97263,26.85643,21.53125,26.94263,23.43878,20.63927,24.08976,28.07892,23.11259,25.93954,26.05755,422,39,40,59,28,127,19,16,23,18,10,28,9,105,34,19,375,4,147,28,75,148,1,14,264,0,1,50,62,136,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41094,1.644401,4.813855,4.429796,6.135101,2.488328,0.9627272,3.113166,2.917615,1.12729,2.570196,4.802909,1.080646,2.664707,4.429964,4.51041,12.65403,3.070415,6.856657,5.724713,7.946898,4.061631,1.601383,3.70151,4.53461,1.441038,3.16385,7.514854,2.08261,4.062748,6.449233,6.125668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 17:32:44,0,0,0,0,0,1.915187,1.480605,1.262692,1.209802,1.194122,1.498239,1.081719,1.479943,1.288866,1.247061,0.9111922,1.019385,1.408702,1.5177,1.147216,0.9010258,1.806252,1.446548,1.19764,0.9526066,1.111992,1.452831,0.9434007,1.436692,1.2949,1.064944,0.9184323,0.9797301,1.381886,1.584469,1.185266,0.9135697,0.1044787,0.07953448,0.1280308,0.07757432,0.09080881,0.09336527,0.05562548,0.1095101,0.1196694,0.08978222,0.05598379,0.09101743,0.08673596,0.1455002,0.08518095,0.06941265,0.5727281,0.4460967,0.3780515,0.3492848,0.3561539,0.4506836,0.3183873,0.4452861,0.3906947,0.3655497,0.2764077,0.3060586,0.4248036,0.4640206,0.349925,0.273681,0.9434534,0.9761534,0.9506204,0.7874269,0.93247,0.9697348,0.8725171,0.9711224,1.010526,0.8587521,1.010856,0.9703165,0.9847273,1.050581,1.031996,1.029057,0.3733914,0.7625553,0.5964615,0.07382223,0.3311173,0.5810594,0.005767823,0.2065971,0.4021381,0.1037598,0.001312256,0.439757,0.3117988,0.8478017,0.4320796,0.4541635,0.3115567,0.2965392,0,0.04449463,0.152527,0,0,0.06136257,0.001342773,0,0.06637573,0.2901002,0.08609509,0.9314629,0.06948855,0.1791689,26.18205,24.63863,29.1991,26.63985,22.82149,23.97263,26.85643,21.26197,26.94263,23.37623,20.62506,24.05604,28.07892,23.14798,25.93954,26.12685,260,39,18,31,15,117,1,12,12,6,5,2,27,200,12,11,323,122,11,17,22,125,8,86,49,0,0,48,101,231,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.04667,2.06411,5.187515,5.206637,6.496389,3.627766,1.214897,3.439846,3.822514,1.230462,2.619665,5.434985,1.934046,4.622888,4.862127,4.540052,20.42292,3.901648,7.569267,6.822313,8.475474,5.866246,1.929922,4.271512,6.021771,1.602168,3.266702,8.450463,3.130867,6.803806,7.028458,6.306845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 17:47:44,0,0,0,0,0,1.824982,1.396393,1.468122,1.283737,1.434927,1.586661,1.179582,1.516465,1.418811,1.3299,1.210666,0.9647557,1.553578,1.757172,1.294297,1.006839,1.742222,1.430338,1.450931,1.002304,1.370154,1.541303,1.028448,1.496815,1.397941,1.214065,1.180203,0.9126541,1.486115,1.751753,1.289251,0.96246,0.1140373,0.08986408,0.1241986,0.0773026,0.09979283,0.09942463,0.06074652,0.127625,0.1210699,0.09528175,0.06121723,0.08505086,0.1052905,0.1556586,0.08969828,0.06841769,0.5471491,0.4251082,0.4434358,0.3700653,0.4302262,0.4774626,0.3471717,0.457912,0.4282593,0.3950336,0.3645925,0.2886899,0.4659776,0.5317472,0.3916042,0.301946,0.9562328,1.035694,0.9890381,0.7803817,0.9546618,0.9723732,0.8686443,0.9874656,0.9869174,0.9164169,0.9732358,0.9473904,0.9575529,0.9968533,0.9963146,0.9551095,0.5045263,0.8733979,0.6113484,0.07382223,0.4331861,0.6976206,0.005767823,0.2305012,0.6176332,0.1050213,0.07942116,0.439757,0.3117988,1.165201,0.6176063,0.4541635,0.3348984,0.3629763,0,0.04449463,0.1745641,9.640929e-05,0,0.1347504,0.001342773,0,0.06637573,0.2901002,0.09428959,1.023539,0.06948855,0.1791689,26.36398,24.63863,29.1991,26.6618,22.90288,23.97263,26.85643,21.45846,26.94263,23.31456,20.6566,24.02232,28.07892,23.2986,25.93954,26.19616,222,34,6,0,29,162,34,24,5,19,11,1,6,352,26,0,355,61,119,2,102,153,105,72,101,50,70,3,48,385,87,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15805,2.231651,5.23811,5.234485,7.200414,5.246499,1.238215,4.198741,4.39789,1.317693,2.856036,5.458731,2.449274,9.009139,4.998086,4.540052,24.45176,4.373168,7.814884,6.862102,9.496291,8.073725,2.108625,5.174887,6.776643,1.699382,3.611173,8.516001,3.8046,11.96731,7.526385,6.379014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 18:02:44,0,0,0,0,0,1.767321,1.592335,1.549165,1.477248,1.228101,1.629869,1.211462,1.298108,1.58594,1.463024,1.490311,1.048481,1.647802,1.720961,1.372065,1.224824,1.693895,1.596209,1.542173,1.153814,1.185406,1.585893,1.013039,1.310199,1.592283,1.284148,1.498539,0.9615443,1.541647,1.741374,1.376693,1.205698,0.1254634,0.09242421,0.1252382,0.07539304,0.09696688,0.1030376,0.06022589,0.1226821,0.1271467,0.103655,0.07681608,0.08402245,0.1085315,0.1634858,0.09151492,0.07564333,0.5303075,0.482448,0.4686541,0.4258772,0.3690602,0.4906386,0.3536876,0.3938953,0.4806752,0.4311627,0.451842,0.3117318,0.491943,0.522496,0.4157959,0.3696319,0.9595925,1.002585,0.9955865,0.7812178,0.9645164,0.9747934,0.8385489,1.009487,1.003533,0.8778943,1.005481,0.9174002,0.9360313,1.012215,1.01436,0.9841924,0.5683086,1.020342,0.7662721,0.07419976,0.4492183,0.8012728,0.005767823,0.2344439,1.026887,0.1506572,0.2404489,0.439757,0.340269,1.165201,0.6892356,0.4549475,0.3381644,0.3781127,0.03393526,0.04449463,0.1813966,0.03545045,0,0.195587,0.07336994,0,0.1006792,0.2901002,0.1275167,1.078186,0.06948855,0.1857192,26.40724,24.63863,29.17517,26.68375,22.98426,23.9685,26.85643,21.75133,26.94263,23.36327,20.82332,23.9886,28.10197,23.45712,25.93954,26.26546,186,38,26,2,1,166,3,16,92,21,68,3,48,186,18,44,364,155,99,29,44,165,7,67,348,109,237,22,132,197,99,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.99883,2.664318,6.473683,5.254415,7.446646,7.055879,1.26416,5.207043,6.604695,3.247021,4.332608,5.516197,3.480149,13.07227,5.015847,5.334104,28.2102,5.266203,9.520294,6.905515,9.940966,10.6194,2.412893,6.347047,9.585144,3.849653,5.576438,8.610091,5.125135,17.08307,7.825798,7.739595,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 18:17:44,0,0,0,0,0,1.411643,1.577251,1.866922,1.392931,1.479372,1.665072,1.101149,1.259501,1.41121,1.386052,1.42718,1.102241,1.631504,1.795657,1.26919,1.173005,1.343437,1.566411,1.892552,1.172446,1.417665,1.645013,0.8925336,1.271815,1.444344,1.269395,1.435874,0.9866971,1.513487,1.798947,1.258968,1.129233,0.1267792,0.09511852,0.1292588,0.08134293,0.09919807,0.104231,0.05709141,0.1217856,0.1245574,0.1045723,0.08316936,0.07669258,0.1063628,0.1699471,0.09957081,0.07606744,0.4229475,0.4769039,0.5670422,0.4071761,0.4438886,0.5028859,0.3196062,0.3822193,0.4295415,0.411983,0.4327557,0.3261132,0.4862204,0.5439791,0.3836577,0.3523046,0.9526879,0.9932251,1.015086,0.8452405,0.9558541,0.9886239,0.814108,1.009991,1.026844,0.9160284,1.006657,0.8954479,0.9281245,1.001857,14.86077,0.9632887,0.5683086,1.57491,0.7692554,0.1832645,0.4492183,0.9343944,0.005767823,0.2369688,1.026887,0.2903762,0.5086144,0.439757,0.3757661,1.165201,0.7431494,0.4555089,0.3404203,0.4093158,0.0370457,0.04449463,0.1813966,0.05709038,0,0.195587,0.09066761,0.0585726,0.1145022,0.2901002,0.1707367,1.081474,0.06948855,0.1910405,26.38068,24.63863,29.10182,26.70569,23.06565,23.90669,26.85643,21.76993,26.94263,23.38504,21.12742,23.95488,28.16859,23.54737,25.93954,26.33476,3,15,68,12,49,287,0,12,48,26,35,0,97,303,2,4,22,128,283,61,144,253,0,56,142,110,118,8,144,314,8,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96601,3.021999,6.884971,5.561791,8.179367,10.23893,1.26416,6.188494,8.336554,3.878122,5.746026,5.543672,4.232891,17.41207,5.025919,6.121085,30.86562,6.108288,10.33441,7.528224,11.01884,14.45419,2.425423,7.467919,11.87756,4.78835,7.5047,8.681435,6.209434,22.02226,8.069629,9.050268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 18:32:44,0,0,0,0,0,1.424884,1.761663,1.628164,1.431753,1.320044,1.683807,1.478806,1.347965,1.312875,1.309832,1.049354,1.568101,1.955127,1.762162,1.493441,0.9715969,1.356171,1.757194,1.635495,1.24833,1.244917,1.666244,1.294343,1.385172,1.348064,1.236544,0.9885747,1.340319,1.855607,1.731827,1.479283,0.8656128,0.127428,0.1047268,0.1653132,0.08089685,0.1021543,0.114396,0.07583487,0.1312142,0.1286033,0.1120441,0.08376097,0.09068207,0.1223561,0.1804557,0.1002995,0.07058012,0.4269236,0.5331702,0.4935271,0.4213915,0.3947502,0.5087249,0.435571,0.4106597,0.3999,0.3917799,0.3137322,0.4597368,0.5854474,0.5316049,0.4513043,0.2871859,0.9537566,0.9976313,1.00525,0.8743748,0.9425373,0.9899166,0.8714687,1.026794,1.026412,0.9456405,0.9570709,0.8629279,0.9494186,0.9832976,2.788295,0.8905149,0.573787,1.898071,0.7692554,0.1956187,0.4568869,1.091455,0.09952843,0.2369688,1.026887,0.3680105,0.5516323,0.439757,0.532118,1.165201,0.83391,0.4555089,0.3404203,0.4721087,0.1148855,0.04449463,0.1813966,0.1139223,0,0.195587,0.09753431,0.1389161,0.1145022,0.29011,0.2774755,1.176674,0.06948855,0.1910405,26.35412,25.32976,29.02695,26.72764,23.14703,24.15468,26.85643,22.18361,26.94263,23.54016,21.18849,23.92116,28.12315,23.59588,25.93954,26.40406,24,131,47,0,23,120,43,2,18,12,0,18,134,234,57,0,40,284,286,4,84,165,147,26,92,39,0,221,207,325,155,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98626,5.559266,10.54366,5.618959,8.811631,14.3692,1.620215,6.734953,8.886287,4.666821,6.467005,5.554624,8.614198,21.44532,5.288915,6.312525,30.97692,9.217327,14.99791,7.624542,11.9543,19.15252,2.989458,8.097207,12.7752,5.827425,8.348232,9.021686,11.52709,26.92374,8.622264,9.441852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/15/2021 18:47:44,0,0,0,0,0,1.42054,1.633467,1.582339,1.319065,1.756209,1.613521,1.436719,1.683551,1.11085,1.227934,0.9195801,1.656871,1.817785,1.692477,1.535824,1.018492,1.392185,1.654538,1.588743,1.199851,1.680682,1.62928,1.344217,1.728011,1.249085,1.193017,0.962149,1.449485,1.807943,1.736711,1.557249,0.919021,0.1424291,0.1256475,0.1755355,0.09141132,0.1329813,0.1417148,0.1044664,0.1527114,0.1293906,0.1132278,0.0822274,0.1087416,0.1369,0.185118,0.1174838,0.07498975,0.4282863,0.4960448,0.4795887,0.3915282,0.5268032,0.4896522,0.4289288,0.5127634,0.3455609,0.3695258,0.2812921,0.4879716,0.5498085,0.5154513,0.4665,0.3018189,0.9796552,1.015622,1.005208,0.9082851,0.9575576,1.010644,0.9364256,1.026673,1.159052,0.9725848,1.046669,0.8755463,0.9949242,1.026679,1.014418,0.9021299,0.6614307,1.961091,0.7692554,0.1956187,0.5924848,1.201191,0.155121,0.2369688,1.026887,0.3908981,0.5516323,0.4402324,0.661902,1.165201,0.8923041,0.4555089,0.3404203,0.4829109,0.1168517,0.04449463,0.1822743,0.1139321,0,0.2530357,0.1540526,0.1603129,0.1145022,0.2908233,0.3655315,1.290399,0.06948855,0.1910407,26.32757,25.83591,28.95209,26.74958,23.14928,24.37258,26.85643,22.12079,26.94263,23.73845,21.18676,23.87778,28.16256,23.65168,25.93954,26.47337,16,1,25,0,105,93,45,103,4,12,0,99,132,154,90,1,64,77,275,62,151,119,101,261,16,51,0,210,194,200,191,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.08102,7.6031,11.45642,5.703009,9.895439,16.62223,2.059879,8.996729,9.62296,5.007541,6.467005,7.942286,10.2504,25.6776,5.889601,6.39797,31.36576,11.87888,16.52698,7.747903,13.44659,21.91264,3.995172,10.67369,13.7407,6.257106,8.348232,12.14167,13.83459,31.96483,9.847949,9.718529,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
