Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
08/26/2021 16:19:56,0,0,0,0,0,1.226573,1.32957,1.588628,1.835111,0.6425053,1.079021,1.220091,1.243663,1.480008,1.488844,1.323315,1.454889,1.677366,1.405241,1.499251,1.534938,1.172171,1.034907,1.269916,1.573327,0.4859449,0.8327551,1.091787,0.9489145,1.147694,1.288918,0.9875258,1.098831,1.469384,1.018358,1.140463,1.22945,0.07329717,0.1152651,0.1627362,0.1256454,0.07859195,0.096779,0.1134292,0.09262212,0.1166867,0.1442814,0.09619708,0.09352767,0.1377269,0.07628155,0.08783808,0.09580141,0.3678208,0.3830666,0.4599187,0.5383362,0.1841741,0.310407,0.3609537,0.3570466,0.4261237,0.4375846,0.3784433,0.4169414,0.4941384,0.3998616,0.430194,0.4445377,0.9541673,0.7788345,0.7999677,0.8592719,0.7578143,0.7715858,0.8956791,0.7630525,0.7769433,0.8664976,0.7463573,0.7567686,0.8765352,0.7248581,0.7614893,0.8020352,0,0,0,0.04585104,0,0,0,0,0,0.121488,0,0.01219574,0.02626146,0,0.01407102,0.02419357,0,0.004007567,0,0,0,0,0,0,0,0.001212836,0.001904602,0.007975032,0,0,0,0,27.78185,25.22563,28.69711,28.99207,23.62224,23.7124,27.15356,21.02341,25.86737,24.63567,20.11746,24.55282,28.20786,24.34279,24.68192,26.60545,136,89,38,183,10,0,163,66,80,145,128,114,166,28,188,181,149,214,283,451,118,0,500,138,181,569,134,226,396,221,575,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007082853,1.650985,0.5579678,2.663688,0.8475139,0.02916667,2.391086,1.289422,1.148165,3.027782,2.072088,1.596157,2.110939,0.4815266,2.879385,1.071256,0.6412669,2.072798,1.031558,3.298442,1.093281,0.02916667,3.132587,1.556978,1.525886,3.596315,2.271541,1.903914,2.745184,0.8843745,3.665867,1.727365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 16:34:56,0,0,0,0,0,1.226015,1.524052,1.666551,1.79495,0.8731761,1.404625,1.435786,1.467253,1.465962,1.480753,1.367784,1.522423,1.54603,1.542769,1.637389,1.641513,1.083905,1.249519,1.402328,1.642393,0.6943358,1.163521,1.310124,1.175025,1.142832,1.374783,1.067948,1.202166,1.439524,1.155298,1.314297,1.343668,0.08059219,0.1283612,0.1682456,0.150365,0.08171337,0.1027307,0.1515687,0.1126402,0.1378548,0.1435648,0.1054714,0.1135022,0.1832133,0.09193952,0.09662617,0.1170294,0.3618315,0.4432955,0.4871311,0.533423,0.2525474,0.409349,0.4264457,0.4249213,0.4224796,0.4413695,0.3942952,0.439768,0.461101,0.4414687,0.4743938,0.477318,0.8879068,0.8215311,0.8415109,0.9164107,0.7949011,0.8268452,0.9139073,0.8001447,0.7797213,0.9290303,0.7799938,0.7907605,0.9307736,0.7495656,0.7988342,0.8209667,0,0.1122937,0.07454653,0.1266877,0.1071853,0.06650958,0.06216649,0,0.04767174,0.2482753,0.002878507,0.01409912,0.1513462,0.113438,0.205854,0.1298766,0,0.01466659,0.06282634,0.07878172,0,0,0,0,0,0.07306134,0.002410889,0.008499146,0,0.04257618,0.0001213,0,27.78185,25.22563,28.70082,29.01844,23.62224,23.70745,27.15356,21.34102,26.10077,24.63567,20.23021,24.5824,28.20786,24.34279,24.68192,26.60545,11,27,50,170,24,76,157,56,28,157,95,17,171,54,74,141,12,167,295,508,127,106,473,130,90,480,184,58,354,217,349,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106066,2.863814,1.565243,5.978362,1.147091,0.6265074,6.859131,1.792458,2.027746,7.227176,3.61313,2.997613,5.598333,1.483725,6.743387,4.028399,1.021017,3.634855,2.815939,7.734629,1.655796,0.7220743,8.719588,2.331626,2.621952,9.107115,4.143096,3.683982,7.296672,2.486026,8.695233,5.856472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 16:49:56,0,0,0,0,0,1.395583,1.570512,1.656888,1.834687,0.8606239,1.293845,1.463745,1.476176,1.369772,1.798,1.176902,1.223886,1.644504,1.580046,1.604394,1.471468,1.281823,1.552627,1.624117,1.70855,0.7677858,1.219822,1.354722,1.422886,1.194067,1.645824,1.10544,1.049235,1.549434,1.435589,1.51591,1.412605,0.07694118,0.1313948,0.1782861,0.1573941,0.08922221,0.1061272,0.161582,0.12004,0.1369163,0.1389106,0.1061816,0.1175798,0.2053809,0.1037966,0.1052106,0.1303928,0.4150614,0.4743957,0.4995641,0.5472093,0.2544534,0.3868899,0.4360165,0.4434793,0.4031347,0.534372,0.3516472,0.3590274,0.4916797,0.4688833,0.4799708,0.4416838,0.9184173,0.9886016,0.9831368,0.9324371,0.8896545,0.9414667,0.9268429,0.9651408,0.8742825,0.9168729,0.9409844,0.8551024,0.9423512,0.907568,0.9454694,0.961869,0.02153438,0.444349,0.2319783,0.1447756,0.2020012,0.09285693,0.08239403,0.06283251,0.1170657,0.2875912,0.03883147,0.01409912,0.1825544,0.2491289,0.4537663,0.3205212,0.001787923,0.1672196,0.1495056,0.08563231,0,0,0.02110664,0.03464972,0,0.1238097,0.06545532,0.008499146,0.0002983602,0.1203848,0.08633628,0.1212367,27.78185,25.22563,28.8276,29.00524,23.62224,23.68784,27.15356,21.57216,26.25255,24.63567,20.43659,24.43474,28.25787,24.34313,24.68229,26.60545,244,76,29,240,36,20,290,104,14,423,38,19,104,53,108,238,309,430,370,877,141,41,899,184,47,1208,64,43,246,202,404,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221274,5.298206,4.707863,11.08838,1.961587,1.546973,11.80892,3.504879,2.874845,16.3564,6.093346,3.180551,7.914207,3.266612,10.39485,8.135344,2.528054,6.720363,7.034207,14.71384,3.079464,1.782731,15.2852,4.610156,3.628206,19.68723,6.971669,3.910809,10.49234,4.963924,13.22527,11.23315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 17:04:56,0,0,0,0,0,1.275669,1.323773,1.561238,1.742429,0.8264366,1.432994,1.511428,1.123195,1.241554,1.555619,1.049834,1.175135,1.331338,1.450004,1.447642,1.496396,1.225471,1.352404,1.542987,1.564307,0.7757258,1.366202,1.368764,1.153068,1.12867,1.413366,0.986003,0.9272901,1.205696,1.364088,1.398385,1.478047,0.07269827,0.1305803,0.1806462,0.1522504,0.07903291,0.1148333,0.1483145,0.126472,0.1217728,0.1323157,0.0964423,0.1000001,0.2133746,0.1041133,0.1185342,0.1406845,0.3829669,0.4027649,0.471563,0.5158222,0.2468964,0.4295069,0.4482236,0.3421084,0.3684764,0.4616326,0.3136748,0.3394073,0.3948182,0.4333887,0.4351062,0.451921,0.9634232,1.021226,0.9930153,0.8979235,0.9408202,0.9538751,0.9079432,1.02894,0.909023,0.9093453,0.9392707,0.7871342,0.9068151,0.9358768,0.967321,0.9886143,0.05474836,0.599974,0.3407003,0.1576918,0.2726455,0.159117,0.1613639,0.08740219,0.1246561,0.3420686,0.05418821,0.01409912,0.2271874,0.3273399,0.6329858,0.4277374,0.004760742,0.1704101,0.1495056,0.08563231,0.01132009,0.0007408481,0.02886063,0.05558779,0.005656687,0.1361869,0.08187866,0.008499146,0.001281738,0.1407524,0.0887756,0.1820067,27.78185,25.22563,29.01415,28.98607,23.62224,23.65742,27.15356,21.62161,26.27214,24.64451,20.46594,24.6077,28.31202,24.30341,24.76538,26.60545,84,21,10,196,20,76,189,0,8,221,63,22,23,27,46,112,45,215,168,763,109,110,706,0,98,716,120,33,90,82,217,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846846,8.095113,5.514332,16.35141,2.792422,2.705944,18.07481,4.297632,3.457588,29.0589,7.127502,4.222774,9.158801,4.848815,12.56548,10.59923,6.033157,10.36468,8.656388,21.84689,4.316673,3.141084,22.98451,5.566343,4.275453,33.82266,8.101128,5.093762,12.44504,6.831409,16.32166,14.87273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 17:19:56,0,0,0,0,0,1.374789,1.021839,1.613267,1.612938,0.8545319,1.444793,1.303951,1.024898,1.623571,1.51383,0.8887987,1.059,1.796388,1.76021,1.202876,1.630928,1.248843,1.168233,1.629253,1.471468,0.8187584,1.406259,1.268763,1.067901,1.556206,1.289129,0.9015484,0.8251331,1.704684,1.640457,0.771203,1.588316,0.06915277,0.1276087,0.1648021,0.1570978,0.08895563,0.1150334,0.1492081,0.1131592,0.1333372,0.1369617,0.09508649,0.08823613,0.2131294,0.1149277,0.1266279,0.1460852,0.4079557,0.319148,0.4895903,0.479042,0.2563954,0.434955,0.3925273,0.3132133,0.4871795,0.4435069,0.2699921,0.3051671,0.5378968,0.52508,0.3356091,0.4910498,0.9096953,1.223675,1.012747,0.9125065,0.9590027,0.9745777,1.016298,1.04584,0.9595801,0.8779632,1.035162,0.7801023,0.9485586,0.9333707,0.8383264,0.9748768,0.05497392,0.599974,0.4392197,0.2159906,0.3713862,0.2710616,0.1857099,0.09391813,0.1737315,0.3591673,0.08688387,0.01409912,0.4366583,0.4481339,0.6382654,0.4954048,0.004760742,0.1704101,0.1517442,0.08563231,0.0615593,0.00112915,0.08240524,0.05558779,0.05851745,0.1909788,0.08187866,0.008499146,0.04656696,0.2065244,0.0887756,0.1820067,27.78185,25.22563,29.2007,28.9669,23.62224,23.78915,27.15356,21.61399,26.27942,24.35938,20.51767,24.64415,28.30602,24.48778,24.90402,26.60545,112,3,39,97,15,99,137,27,38,229,0,0,119,124,1,104,83,20,276,570,107,143,472,42,120,584,0,0,265,227,13,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.870996,8.151792,6.175741,20.41936,3.698901,4.565305,22.88187,4.337103,4.775203,37.1502,8.450372,4.34275,10.20642,8.034138,12.69115,11.96019,6.309769,10.62127,9.76854,27.13144,5.574197,5.295491,29.21715,5.641372,5.848948,43.17851,9.600783,5.229926,14.06681,10.384,16.76464,17.34319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 17:34:56,0,0,0,0,0,1.772312,1.37437,1.85922,1.584733,0.8986798,1.454374,1.437601,1.42177,1.59823,1.411121,1.360805,1.408183,1.93834,1.719971,1.366071,1.31347,1.631732,1.442203,1.90136,1.485649,0.8731058,1.487169,1.331802,1.465683,1.535881,1.241398,1.325405,1.165443,1.904994,1.653192,1.370583,1.295497,0.09752446,0.1301806,0.1780998,0.1715356,0.09917971,0.1325683,0.1602825,0.1375746,0.1654997,0.1466049,0.1097877,0.1020449,0.2275929,0.1394079,0.1140782,0.1460735,0.5273627,0.4206881,0.5658055,0.4733135,0.2704411,0.4425899,0.4283135,0.4334545,0.4798385,0.4160529,0.4097298,0.4103177,0.5847553,0.5164101,0.4139729,0.3965524,0.9234052,1.051257,1.024137,0.9376169,0.9707605,1.02301,0.9262111,1.031361,0.9623349,0.8766196,0.9758853,0.825477,0.990843,0.9615023,1.004075,0.9834616,0.1578402,0.9341065,0.5069876,0.2491511,0.6787463,0.3314305,0.191967,0.1960972,0.2368347,0.3591673,0.1273183,0.01409912,0.5862785,0.5521181,0.7271723,0.5716557,0.05506983,0.1704101,0.2856161,0.08563231,0.1252128,0.07168797,0.10083,0.05558779,0.1624542,0.1909788,0.08187866,0.008499146,0.1569002,0.2327796,0.0887756,0.1820067,27.78185,25.22587,29.37712,28.94774,23.62224,23.71084,27.15356,21.51578,26.26352,24.16859,20.47845,24.61625,28.4609,24.25888,25.04267,26.60545,290,23,81,136,36,179,98,42,105,52,132,27,108,277,27,15,361,168,333,515,172,227,468,88,298,111,201,50,258,424,107,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.335265,8.290218,8.940854,24.05684,4.922787,6.985309,26.26054,5.016297,7.551754,39.36461,9.754062,4.508243,12.24162,13.04505,13.01191,12.44964,10.54957,10.888,13.41528,32.15209,7.286402,8.069667,33.78826,6.689573,9.385208,46.22996,11.04174,5.440803,16.97148,16.11756,17.28713,18.19106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 17:49:56,0,0,0,0,0,1.271478,1.388383,2.044671,1.63958,1.027922,1.769753,1.257308,1.21595,1.459608,1.341736,1.482097,1.021393,1.733338,1.828643,1.440238,1.503239,1.167392,1.352301,1.952491,1.404754,0.8821673,1.631605,1.021473,1.142594,1.156999,0.8865006,1.220281,0.5593809,1.458361,1.469158,1.172109,1.185186,0.104503,0.1371936,0.1935452,0.1944309,0.1068009,0.1441521,0.1722725,0.1457826,0.1622981,0.1375316,0.1330432,0.09900405,0.2261741,0.1593264,0.112812,0.1339868,0.3781219,0.4180357,0.6130503,0.4809146,0.301603,0.5267492,0.3650881,0.3633462,0.4219174,0.3760951,0.4314345,0.2786392,0.5066419,0.5298943,0.4183398,0.4341048,0.925521,0.9713544,0.9596251,0.860448,0.8598589,0.9214712,0.8059716,0.931236,0.841329,0.6824567,0.8224918,0.6130065,0.8695421,0.8105444,0.8312881,0.8839865,0.2242756,1.231747,0.5837176,0.2891626,1.111728,0.4732364,0.1933283,0.2387047,0.3216328,0.3591673,0.2254562,0.01409912,0.7169201,0.7870698,1.366193,0.6499566,0.09640452,0.1704101,0.389725,0.08563231,0.1964979,0.1085409,0.10083,0.05558779,0.1800229,0.1909788,0.08480754,0.008499146,0.2138976,0.2833126,0.0887756,0.1820067,27.78185,25.28663,29.36077,28.92857,23.56507,23.42232,27.15356,21.93849,26.27399,24.20432,20.41203,24.50533,28.44173,24.48195,25.18131,26.60545,70,1,52,158,3,318,34,9,15,7,170,0,130,163,40,43,88,77,336,471,126,309,112,26,70,25,237,0,319,338,141,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.834084,9.218233,12.52159,26.75563,6.607549,11.01542,27.25433,5.450232,8.355355,39.59655,13.76382,4.961076,13.36583,19.57048,13.74449,12.58179,13.74929,12.22604,17.84478,36.23956,9.451176,12.66638,35.60865,7.312108,10.57392,46.63135,15.5369,5.983373,18.85676,23.59783,18.53043,18.53037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 18:04:56,0,0,0,0,0,1.357751,1.210743,1.744266,1.572008,0.8664657,1.536486,1.126669,1.224119,1.382512,1.178606,1.289761,1.091977,1.648725,1.608817,1.417096,1.450128,1.274009,1.207201,1.68605,1.357814,0.7383626,1.480919,0.8461081,1.210851,1.159328,0.7869006,1.077719,0.6381265,1.454204,1.401616,1.267792,1.262651,0.1093408,0.1417386,0.2199487,0.2031771,0.1140734,0.1714399,0.1575871,0.1440358,0.1596232,0.1372996,0.1537494,0.0994032,0.246137,0.1910673,0.1269725,0.1595438,0.4055971,0.3664021,0.5243354,0.4618216,0.2538822,0.4615913,0.3225599,0.3698072,0.4038418,0.3309118,0.3764943,0.3005549,0.4863585,0.473432,0.4192173,0.4266867,0.940982,0.9964546,0.9737683,0.862833,0.8594453,0.975614,0.7526377,0.9896297,0.8989716,0.7313052,0.8588348,0.642669,0.9028069,0.8844246,0.8984575,0.9302573,0.2264942,1.231747,0.5944549,0.3381342,1.116751,0.6298624,0.1933283,0.2999174,0.4519343,0.3621268,0.3707682,0.01409912,0.7836811,0.8676309,1.373221,0.787163,0.1726991,0.1704101,0.4199666,0.08563231,0.2260393,0.1121629,0.10083,0.05624014,0.1800229,0.1909788,0.08547975,0.008499146,0.2138976,0.3218073,0.0887756,0.1820067,27.78185,25.39439,29.27555,28.90941,23.72024,24.10792,27.15356,22.01091,26.28447,24.24006,20.62811,24.41062,28.32818,24.6183,25.31996,26.60545,87,6,56,168,8,87,0,52,29,34,42,0,178,104,15,128,107,66,231,222,212,143,0,132,136,77,106,0,400,218,69,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31332,9.223219,16.12774,28.84154,9.287825,14.81042,27.25433,5.57748,9.20505,39.62859,16.49154,4.961076,16.4685,23.40282,14.16565,13.66612,14.56361,12.38188,22.24939,39.6874,12.52349,17.13622,35.70745,7.546306,11.86383,46.7354,18.63753,5.983373,23.29826,28.20702,19.22623,20.58891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 18:19:56,0,0,0,0,0,2.00003,1.304844,1.219039,1.652575,0.6753581,1.289315,1.329729,1.317524,1.254852,1.344166,0.9024191,1.087444,1.603653,1.465214,1.496319,1.256826,1.938539,1.400125,1.241897,1.423147,0.6709793,1.356957,1.115645,1.41267,1.278264,1.175633,0.9430747,0.8338299,1.597449,1.425159,1.518238,1.267925,0.1471929,0.1539187,0.2241355,0.2093896,0.1083646,0.1578145,0.1386532,0.1551047,0.1691925,0.1413717,0.1563363,0.1031011,0.2496752,0.2074814,0.1466638,0.1645664,0.6015686,0.4014558,0.3706663,0.4852079,0.2042213,0.3949191,0.3884619,0.4052865,0.3815479,0.3958564,0.2759685,0.31247,0.4852065,0.441038,0.4545698,0.3813286,0.9801979,1.074093,1.021067,0.8614095,0.9901156,1.053619,0.8341223,1.076936,1.027345,0.8734981,1.046433,0.7674027,0.9958208,0.9744806,1.014808,1.009915,0.3952275,1.231747,0.5983335,0.3381342,1.117392,0.7895515,0.2566082,0.4841632,0.4519343,0.4295157,0.4023787,0.01409912,0.9477235,0.9271657,1.394557,0.787163,0.1935332,0.1704101,0.4314866,0.08563231,0.252676,0.1503534,0.10083,0.1246948,0.2299433,0.1909788,0.08547975,0.008499146,0.2517723,0.3218073,0.0887756,0.1820067,27.78185,25.50215,29.19033,28.89024,23.62828,24.4346,27.15356,22.23761,26.29495,24.2758,20.62422,24.3159,28.66781,24.78017,25.49444,26.60545,191,4,16,54,0,40,68,27,19,16,0,0,76,108,57,49,288,48,111,90,79,49,284,40,34,69,0,0,220,215,154,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86095,9.336708,16.93744,29.14063,11.44781,16.0937,27.52595,7.06456,9.814678,40.17401,16.98046,4.961076,18.8987,26.32395,15.10619,14.06829,17.92225,12.74362,23.56991,40.60006,14.89853,18.60773,36.19126,9.37,12.62838,47.68445,19.18765,5.983373,26.56699,31.95183,20.65486,21.46656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/26/2021 18:34:56,0,0,0,0,0,1.380192,1.447616,0.9921234,1.41036,0.8020809,1.658179,1.314417,1.129565,1.382033,1.369148,0.9365938,1.558428,1.541238,1.277134,1.446078,1.451759,1.412174,1.516018,1.006341,1.200618,0.7855294,1.716337,1.232023,1.244481,1.380981,1.193443,0.9488586,1.024309,1.516196,1.265649,1.463062,1.487635,0.1324199,0.1456854,0.188096,0.2003403,0.1018225,0.1485541,0.1250073,0.1313409,0.1545168,0.1286498,0.1347335,0.1143261,0.2354422,0.1907228,0.1322431,0.1549004,0.420072,0.4429062,0.3013783,0.4131668,0.2417878,0.5059893,0.3925642,0.3496808,0.4184374,0.4029457,0.2844332,0.436479,0.4650559,0.3859795,0.4390284,0.4420024,1.02183,1.048096,1.016742,0.8874401,0.9791038,1.037879,0.9369974,1.108894,1.002012,0.8806655,1.018022,0.669681,0.9856601,0.992167,1.013692,1.026452,0.523049,1.23314,0.5983335,0.3381342,1.117392,0.8741445,0.3485106,0.5123536,0.4528277,0.4298444,0.4023787,0.01409912,1.056296,0.9271657,1.448208,0.787163,0.226746,0.1704101,0.4314866,0.08563231,0.3957956,0.2267131,0.10083,0.1250001,0.2578884,0.1909788,0.08547975,0.008499146,0.333221,0.3245195,0.0887756,0.1820067,27.78185,25.6099,29.10511,28.87107,23.73827,24.20454,27.15356,22.22979,26.30542,24.31153,20.60539,24.22119,28.80283,24.96617,25.73948,26.60545,112,20,4,2,4,413,104,19,40,14,0,77,120,22,28,155,98,231,35,8,199,409,342,42,120,141,0,243,249,65,155,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29744,9.771589,17.14475,29.58791,13.09851,19.6929,30.39421,7.394686,10.2854,40.25367,16.98046,6.159629,20.75414,26.67441,15.69297,14.44625,21.15482,13.53768,23.95136,41.31712,16.89099,22.67307,40.35609,9.726372,13.39945,47.95643,19.18765,7.592825,29.25212,32.56971,21.55975,22.50263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
