Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
08/29/2021 08:48:53,0,0,0,0,0,1.191948,1.554032,1.551252,1.17281,0.6744183,0.8598157,1.322932,1.318083,1.016936,1.769449,1.581945,0.9821243,1.630335,1.059549,1.363056,1.15544,1.16167,1.3442,1.487364,1.131398,0.6646405,0.849075,1.247226,1.360857,0.9671294,1.626358,1.216207,0.8045849,1.378952,0.8477662,1.086108,1.155525,0.1281191,0.1154291,0.1937357,0.1339275,0.06027962,0.09602448,0.1133423,0.1770258,0.1288753,0.2087732,0.119541,0.1123246,0.1382125,0.1472003,0.140342,0.1728337,0.3589364,0.4566675,0.4655105,0.3524021,0.2035785,0.2596566,0.3955864,0.4019804,0.3046433,0.526329,0.4547743,0.2856254,0.4770163,0.3067988,0.3943824,0.349896,0.9772946,0.8638319,0.9611019,0.9651943,0.985181,0.9897534,0.9451112,1.032994,0.9520828,0.9203891,0.7702181,0.8178179,0.8484549,0.8013688,0.798911,1.005972,0,0.003039876,0,0,0,0,0,0.001288859,0,0.07572912,0.1086233,0,0.1491819,0,0,0,0,0.00127978,0.02272949,0,0,0,0.002047526,0.002262846,0,0.03476384,0.0009943651,0,0,0,0,0,28.7592,25.40761,28.59783,29.2776,23.46408,23.92128,27.74522,22.91652,27.0701,25.31821,20.56217,25.17783,29.06601,25.25769,25.5174,27.38315,90,106,82,40,18,22,238,166,21,201,246,13,147,10,66,69,43,420,680,22,191,18,463,338,43,363,301,11,310,14,127,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2363727,0.8591444,2.103519,0.06630615,0.7746376,0,1.513068,1.304942,0.3861786,3.03288,2.099735,0.1619045,0.9211166,0,0.6966949,0.7821478,0.5031493,1.356121,2.774908,0.2539736,1.112863,0.1110313,2.107597,1.571501,0.5235562,3.624861,2.704377,0.2256339,1.249782,0.06335545,1.037453,1.083663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 09:03:53,0,0,0,0,0,0.9788558,1.391083,1.452305,1.192541,0.4728607,0.9321822,0.8642364,1.310151,1.069091,1.523681,0.9016642,1.023358,1.488632,1.056635,0.9352947,1.090442,0.9722902,1.122236,1.390053,1.158621,0.466268,0.8814139,0.8170232,1.313025,0.9584363,1.44387,0.713414,0.7806439,1.408971,0.8430662,0.7184364,1.090505,0.1201514,0.1251749,0.1932227,0.1275974,0.05393703,0.09240037,0.1041391,0.1749241,0.1212469,0.2132539,0.1211152,0.1083019,0.1550186,0.1365179,0.1318508,0.1630448,0.2959814,0.403407,0.435656,0.3588743,0.1427542,0.2789144,0.258575,0.3969307,0.316399,0.4561048,0.2605497,0.2937869,0.4455013,0.3057979,0.2688352,0.330212,0.9977332,0.8070418,0.9580634,0.9715394,0.9874425,0.9460065,0.9459558,1.002893,0.8971716,0.9487375,0.7900906,0.7659851,0.9478828,0.7982957,0.7678837,1.001238,0,0.011277,0,0,0,0,0,0.002136231,0,0.1454771,0.1945488,0,0.1980291,0,0,0,0,0.02410785,0.05682373,0,0,0,0.003112793,0.003723146,0,0.143634,0.002593996,0,0.001622408,0,0,0,28.7592,25.52973,29.49559,29.2776,23.46408,23.92128,27.74522,22.87471,27.0701,25.31821,20.58361,25.16219,29.06601,25.25769,25.5174,27.38315,5,83,73,38,0,15,46,127,1,153,0,0,78,0,2,2,0,306,669,32,57,1,35,264,7,401,0,0,148,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2412101,4.562514,6.766228,0.1372669,0.8920417,0,3.586843,5.48973,0.4028846,6.382881,3.799848,0.1661803,2.873547,0,0.9176334,0.8507666,0.6033419,6.123243,9.095049,0.5580854,1.516425,0.1641773,5.230995,6.732103,0.5869381,8.000684,4.764949,0.2338416,4.271857,0.08851229,1.54209,1.255773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 09:18:53,0,0,0,0,0,0.8949818,0.8401856,1.494727,1.232459,0.6332433,0.7935894,0.8541901,0.9508767,1.054591,1.251395,0.6972176,1.091647,1.009315,1.037154,1.18798,1.114355,0.910963,0.6864889,1.404116,1.214608,0.6403984,0.7901791,0.7835546,0.9778287,0.9245683,1.178214,0.5210693,0.8120504,0.9496189,0.8134654,0.8929983,1.070375,0.1179876,0.1209095,0.1947231,0.1228791,0.05907086,0.09320467,0.09786034,0.1739315,0.1175058,0.2040955,0.1128479,0.1068881,0.1504363,0.129602,0.1252915,0.1558407,0.2720789,0.2442257,0.4466202,0.3720287,0.1922335,0.2400884,0.2539785,0.289733,0.3107229,0.3740913,0.1994422,0.3120185,0.3016793,0.2992271,0.3401692,0.3345306,1.020089,0.8222424,0.9419622,0.9856926,1.02417,0.9967473,0.9186993,1.032465,0.8773119,0.9430985,0.7493327,0.7455772,0.944666,0.7846876,0.7511516,0.9640028,0,0.0168152,0,0,0,0,0,0.002136231,0,0.1454771,0.1945488,0,0.1980291,0,0,0,0,0.0370636,0.05682373,0,0,0,0.003112793,0.003723146,0,0.1664734,0.002593996,0,0.002029419,0,0,0,28.7592,25.5629,29.62521,29.2776,23.46408,23.92128,27.74522,22.7922,27.0701,25.31821,20.53331,25.14651,29.06601,25.25769,25.5174,27.38315,3,0,105,6,0,3,2,0,1,9,0,0,0,0,6,2,3,8,536,1,116,0,5,0,11,23,0,0,0,2,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2412101,5.343616,11.18327,0.1597573,1.487781,0,3.589713,6.076076,0.4028846,7.375847,3.799848,0.1661803,2.886325,0,0.9176334,0.8507666,0.6311808,7.1926,15.1146,0.6889959,2.528811,0.2152452,5.302918,7.46279,0.6260738,9.435594,4.764949,0.2338416,4.413805,0.09055396,1.581352,1.324375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 09:33:53,0,0,0,0,0,0.8554458,0.9385856,1.359717,1.248759,0.5048317,0.9542505,0.9147967,0.926347,1.142563,1.253066,0.816533,0.7716062,1.277722,1.048062,0.9707244,1.056085,0.8452132,0.7364087,1.23899,1.196247,0.4819624,0.8939177,0.8059729,0.9183053,1.056975,1.137684,0.6138167,0.5910748,1.183051,0.8385125,0.7617297,1.001555,0.118446,0.1202148,0.198324,0.1202152,0.05334762,0.09501827,0.09452453,0.1613612,0.1230933,0.1975064,0.1102805,0.1067337,0.1480591,0.1263296,0.1254885,0.1489593,0.2583671,0.270806,0.403738,0.3746644,0.1513555,0.2849624,0.2697972,0.2799827,0.3403113,0.3717967,0.2338103,0.2216777,0.3806374,0.3034686,0.2800859,0.3161851,0.9893118,0.7849866,0.9119774,0.9590681,0.9608093,0.9363318,0.8823257,0.992157,0.9249142,0.9082074,0.7520264,0.7677842,0.9254035,0.8004009,0.7865774,0.9503461,0,0.0168152,0,0,0,0,0,0.002136231,0,0.1454771,0.1945488,0,0.1980291,0,0,0,0,0.0370636,0.05682373,0,0,0,0.003112793,0.003723146,0,0.1664734,0.002593996,0,0.002029419,0,0,0,28.7592,25.59613,29.58598,29.2776,23.46408,23.92128,27.74522,22.74463,27.0701,25.31821,20.48301,25.13084,29.06601,25.25769,25.5174,27.38315,6,0,115,1,0,64,1,0,17,1,0,2,0,1,10,0,3,6,545,1,0,14,20,0,65,5,0,0,2,10,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2412101,5.343616,13.24749,0.1597573,1.619492,0,3.592502,6.076076,0.4028846,7.375847,3.799848,0.1661803,2.886325,0.004811111,0.9217453,0.8507666,0.6477336,7.218158,18.4817,0.7116404,2.768716,0.2811123,5.37057,7.46279,0.8039036,9.464451,4.764949,0.2347805,4.418539,0.1328206,1.650706,1.434597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 09:48:53,0,0,0,0,0,0.9909692,0.8987701,1.200035,1.650167,0.5609697,1.055799,0.9424673,1.050185,1.039684,1.358611,0.8122554,1.568664,1.161626,1.286625,1.026872,1.173714,0.9209948,0.7152813,1.010016,1.63037,0.5401565,1.006908,0.799702,0.982127,0.8998087,1.161152,0.5842839,1.198512,1.032034,1.022377,0.7765132,1.087627,0.1204638,0.1231206,0.1972523,0.1248825,0.05819323,0.1010607,0.09548946,0.1515887,0.1162486,0.1865096,0.1026066,0.1084756,0.1392211,0.1303437,0.1168939,0.1443114,0.2954418,0.2599892,0.350785,0.4983898,0.1684917,0.3164726,0.275924,0.3135008,0.3055549,0.3983112,0.230839,0.4504597,0.3431638,0.3720804,0.2943436,0.3497114,0.9322297,0.7964752,0.841292,0.9867109,0.9586678,0.9552647,0.8498296,0.9360864,0.8667961,0.8595477,0.7202123,0.7633417,0.8873304,0.7948064,0.7580073,0.9278137,0,0.0168152,0,0,0,0,0,0.002136231,0,0.1454771,0.1945488,0.008081592,0.1980291,0,0,0,0,0.0370636,0.05682373,0.02273226,0,0,0.003112793,0.003723146,0,0.1664734,0.002593996,0.001086901,0.002029419,0,0,0,28.7592,25.62937,29.54675,29.36996,23.46408,23.92128,27.74522,22.69706,27.0701,25.31821,20.43271,25.00676,29.06601,25.25769,25.5174,27.38315,5,0,13,144,0,111,2,0,0,2,0,103,2,30,4,24,8,2,201,188,26,103,23,0,3,16,0,172,6,134,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2412101,5.343616,15.30378,0.4100435,1.664519,0.6275789,3.614157,6.076076,0.4028846,7.375847,3.799848,0.8865774,2.886325,0.4208032,0.936075,0.861177,0.6904437,7.221453,21.86193,1.29677,2.875386,1.532641,5.474743,7.46279,0.9109337,9.502867,4.764949,1.152973,4.434602,0.7187218,1.739603,1.554254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 10:03:53,0,0,0,0,0,1.297095,0.9033284,1.048472,1.313014,0.6253679,0.9028555,1.097095,1.010326,1.075929,1.104457,0.8244507,1.580476,1.255667,1.373562,1.022932,0.9437892,1.142141,0.7366887,0.8442269,1.248413,0.5867434,0.8585458,0.944552,0.9497586,0.9021389,0.9889621,0.6182061,1.23049,1.128992,1.117413,0.7615596,0.8575155,0.1200664,0.1264489,0.1850319,0.1353909,0.06707994,0.1010845,0.1003859,0.1472912,0.1179771,0.1858376,0.1040161,0.1254242,0.1377585,0.1489294,0.1173636,0.144876,0.3825036,0.2624877,0.3039445,0.39332,0.1868108,0.2704623,0.3220996,0.3019277,0.3142802,0.3267874,0.2359738,0.4553746,0.3718349,0.3989441,0.2924196,0.2800731,0.8813571,0.8160009,0.8056058,0.9486718,0.9397193,0.9511412,0.8577572,0.9411142,0.8392724,0.8978327,0.7499757,0.7789801,0.8993073,0.8111244,0.7448261,0.9105136,0,0.0168152,0,0,0,0,0.0009393141,0.002136231,0,0.1454771,0.1945488,0.1316277,0.1980291,0.001722412,0,0,0,0.0370636,0.05682373,0.1169128,0,0,0.003112793,0.003723146,0,0.1664734,0.002593996,0.03279017,0.002029419,0.003503333,0,0,28.7592,25.6626,29.50753,29.72452,23.46408,23.92128,27.74522,22.64949,27.0701,25.31821,20.38241,24.90466,29.06601,25.25769,25.5174,27.38315,17,0,0,13,0,12,27,0,4,0,0,117,1,112,2,2,15,10,20,10,108,8,121,0,4,4,0,239,3,248,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2412101,5.343616,15.36108,1.146966,1.741794,0.8193805,3.65037,6.076076,0.4201179,7.375847,3.799848,2.910618,2.886325,1.972099,0.9391215,0.8835744,0.7954122,7.232714,22.09463,2.677324,3.260489,1.879512,5.727056,7.46279,0.9394971,9.552826,4.764949,3.805125,4.455155,3.02994,1.788295,1.758469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 10:18:53,0,0,0,0,0,1.205086,0.9016222,1.120822,1.08736,0.5070099,0.9237741,1.233815,1.029633,1.073875,1.071037,0.9360606,1.522784,1.043241,0.9132203,1.127219,1.08275,1.101718,0.7245752,0.8932613,1.05502,0.4704076,0.8780715,1.112417,0.9690703,0.8817369,0.9255347,0.6689401,1.159387,0.8988125,0.7016293,0.8204598,0.9823102,0.1104047,0.1137265,0.1640002,0.1205105,0.05572671,0.09186812,0.09722119,0.1325707,0.1088501,0.1695526,0.09373953,0.1231952,0.1265474,0.1355224,0.109039,0.1339781,0.3580645,0.2612804,0.3243065,0.3271283,0.1511038,0.2767045,0.3655678,0.3077746,0.3124406,0.314676,0.2657318,0.4370143,0.30633,0.2625002,0.320988,0.3212132,0.9150573,0.8051575,0.7958673,0.9695166,0.9373779,0.950801,0.9044485,0.9416163,0.8236119,0.8653601,0.7148035,0.7611929,0.8612217,0.7690611,0.7284482,0.9078211,0,0.0168152,0,0,0,0,0.1172281,0.002136231,0,0.1521735,0.1945488,0.4296343,0.1980291,0.002197266,0,0,0,0.0370636,0.05682373,0.1169128,0,0,0.003112793,0.003723146,0,0.1664734,0.002593996,0.09782285,0.002029419,0.00440979,0,0,28.7592,25.69583,29.4683,29.69706,23.46408,23.92128,27.74522,22.60192,27.0701,25.31821,20.33211,24.89303,29.06601,25.25769,25.5174,27.38315,57,0,0,8,0,13,33,6,12,6,0,158,0,2,0,8,61,13,39,5,9,3,83,14,22,92,0,358,6,10,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2412101,5.343616,15.36543,1.146966,1.782947,0.8231196,4.123369,6.093904,0.4228846,7.410819,3.799848,5.033529,2.886325,2.546946,0.9391215,0.9545704,0.8964512,7.257894,22.19885,2.696004,3.480286,1.924152,6.753246,7.491446,0.9904044,9.650814,4.764949,6.993049,4.468807,3.867093,1.806441,1.944358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 10:33:53,0,0,0,0,0,1.763961,0.9294059,1.158442,1.178759,0.6902291,0.833861,0.7325259,0.7977689,1.679428,1.244331,0.8726486,1.295922,1.105666,1.054452,1.073323,1.099531,1.706107,0.7877232,0.9457698,1.23062,0.6702587,0.8427086,0.7545131,0.7861054,1.509259,1.150255,0.6710936,1.034243,0.9581133,0.8490125,0.8256655,1.013902,0.1222855,0.1116187,0.1500504,0.1171862,0.05623121,0.08859289,0.08472697,0.1221059,0.1299289,0.1687696,0.09340784,0.1293482,0.1264588,0.1306295,0.1072517,0.1355308,0.5303236,0.2720406,0.3366866,0.3603934,0.2076899,0.2530969,0.2232826,0.2408064,0.497272,0.3705654,0.2508802,0.375066,0.3250262,0.3056762,0.3085891,0.3272777,0.9670029,0.8499562,0.8168921,1.043199,0.9726093,1.010253,1.03656,0.9950596,0.8995211,0.9350178,0.7711449,0.8028948,0.8663166,0.8055577,0.7720256,0.9226764,0.065232,0.0168152,0,0,0,0,0.1336064,0.002136231,0,0.2172243,0.1945488,0.662291,0.1980291,0.002197266,0,0,0.01631813,0.0370636,0.05682373,0.1169128,0.002842492,0,0.003112793,0.003723146,0,0.1664734,0.002593996,0.1412201,0.002029419,0.00440979,0,0,28.7592,25.72906,29.42907,29.6696,23.46335,23.92128,27.74522,22.55436,27.13758,25.31821,20.28181,24.81189,29.06601,25.25769,25.5174,27.38315,341,0,0,2,0,12,3,0,144,3,0,144,2,1,1,5,381,13,11,3,207,9,4,0,333,12,0,418,5,8,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.049355,5.343616,15.37108,1.146966,2.217778,0.8333014,4.277014,6.136076,1.953893,7.774576,3.799848,7.971826,2.886325,2.546946,0.9422104,1.294857,3.530437,7.276314,22.32305,2.746853,4.132736,2.051487,7.028111,7.55897,3.106429,10.24535,4.764949,11.28044,4.487079,3.905494,1.827889,2.427812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 10:48:53,0,0,0,0,0,1.619506,0.9103835,1.211362,1.214466,0.6750075,0.7756363,1.046726,0.9196478,1.421348,1.295224,1.08679,1.322297,1.382079,1.063747,1.052769,1.029104,1.567659,0.7351983,0.9565011,1.190744,0.6119889,0.7261787,0.9333739,0.8309654,1.242615,1.158553,0.821659,1.027175,1.171867,0.8256863,0.7732751,0.8823271,0.1414846,0.1185023,0.1510892,0.1299752,0.0695352,0.09646057,0.090482,0.130923,0.1829124,0.1740873,0.09737141,0.1298977,0.1332445,0.1334188,0.1083709,0.1368398,0.4869781,0.264057,0.3499121,0.3661904,0.2002239,0.2315962,0.3094475,0.2726028,0.4185517,0.3831501,0.3115078,0.3808337,0.4045714,0.3063261,0.3002522,0.3018932,0.9711317,0.8297159,0.7878818,0.9819019,0.9077278,0.936861,0.8937973,0.9049677,0.8749435,0.9035813,0.7506627,0.7902541,0.8458928,0.7758551,0.7345142,0.857178,0.1566122,0.0168152,0,0,0,0,0.1336064,0.002136231,0,0.2172243,0.1945488,0.973972,0.206045,0.002197266,0,0,0.03108215,0.0370636,0.05682373,0.1169128,0.009185791,0,0.003112793,0.003723146,0.01522776,0.1664734,0.002593996,0.1412201,0.002029419,0.00440979,0,0,28.75453,25.76229,29.38985,29.64215,23.45756,23.92128,27.74522,22.50679,27.09817,25.31821,20.23151,24.90143,29.06601,25.25769,25.5174,27.38315,534,0,0,99,0,0,19,0,197,7,0,115,56,2,3,0,612,2,6,26,148,0,9,0,480,10,0,302,91,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.065656,5.343616,15.37794,1.162318,3.596333,0.8334274,4.279973,6.136076,5.902357,7.774576,3.799848,11.22085,2.984647,2.546946,0.9491215,1.294857,9.940749,7.288689,22.35089,2.851881,6.206255,2.072005,7.105832,7.559151,8.336464,10.30112,4.764949,15.67995,4.738255,3.928231,1.890785,2.459153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08/29/2021 11:03:53,0,0,0,0,0,1.136357,0.9812052,0.9942888,1.193731,0.5082564,1.183179,0.8380154,1.62365,1.109317,1.157635,1.551317,1.073567,1.352407,1.041258,1.087723,1.13062,1.1523,0.8104814,0.76301,1.177744,0.455055,1.087073,0.7888672,1.4864,0.9585643,0.7147802,1.232379,0.8348098,1.192485,0.8111464,0.8244216,0.9693972,0.129469,0.1179476,0.1392793,0.1239011,0.06068712,0.09459346,0.08439732,0.1394272,0.171499,0.1712448,0.1138083,0.1307597,0.1361436,0.1237978,0.1042479,0.1333974,0.3451696,0.2857993,0.2857429,0.3604246,0.1503797,0.3519126,0.2505064,0.4825659,0.3259194,0.3211673,0.4486052,0.3092537,0.3989235,0.3000436,0.3119117,0.3316756,1.015819,0.8452659,0.7674097,0.9868553,0.8972229,0.919301,0.9426897,0.91502,0.8625286,0.6648907,0.794171,0.7752534,0.886509,0.7798335,0.7579172,0.8568547,0.172456,0.0168152,0,0,0,0,0.1336064,0.003414137,0,0.2172243,0.2739558,1.174472,0.3058108,0.002197266,0,0,0.03108215,0.0370636,0.05682373,0.1169128,0.009185791,0,0.003112793,0.003723146,0.01864624,0.1664734,0.002593996,0.1412201,0.002029419,0.00440979,0,0,28.74019,25.79553,29.35062,29.61469,23.4508,23.92128,27.74522,22.49888,26.94699,25.31821,20.28915,24.87787,29.06601,25.25769,25.5174,27.38315,63,0,0,13,0,154,1,86,49,10,262,0,26,0,4,3,83,1,15,15,19,102,1,185,76,71,277,0,89,2,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48054,5.343616,15.38108,1.246003,3.810814,0.948873,4.302014,6.68962,7.134031,7.787434,6.746752,12.02557,3.531498,2.546946,0.9491215,1.294857,14.48236,7.294981,22.38635,3.36006,6.576397,2.505796,7.180465,8.224399,10.33773,10.40445,8.164278,16.74177,5.701647,3.94417,1.941223,2.491909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
