Date_Time_1,envirolightlux_2,envirotemp_2,envirorh_2,envirooccupancy_2,envirosound_2,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vo2_7,vo2_8,vo2_9,vo2_10,vo2_11,vo2_12,vo2_13,vo2_14,vo2_15,vo2_16,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,vco2_7,vco2_8,vco2_9,vco2_10,vco2_11,vco2_12,vco2_13,vco2_14,vco2_15,vco2_16,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6,vh2o_7,vh2o_8,vh2o_9,vh2o_10,vh2o_11,vh2o_12,vh2o_13,vh2o_14,vh2o_15,vh2o_16,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,kcal_hr_7,kcal_hr_8,kcal_hr_9,kcal_hr_10,kcal_hr_11,kcal_hr_12,kcal_hr_13,kcal_hr_14,kcal_hr_15,kcal_hr_16,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,rq_7,rq_8,rq_9,rq_10,rq_11,rq_12,rq_13,rq_14,rq_15,rq_16,foodupa_1,foodupa_2,foodupa_3,foodupa_4,foodupa_5,foodupa_6,foodupa_7,foodupa_8,foodupa_9,foodupa_10,foodupa_11,foodupa_12,foodupa_13,foodupa_14,foodupa_15,foodupa_16,waterupa_1,waterupa_2,waterupa_3,waterupa_4,waterupa_5,waterupa_6,waterupa_7,waterupa_8,waterupa_9,waterupa_10,waterupa_11,waterupa_12,waterupa_13,waterupa_14,waterupa_15,waterupa_16,bodymass_1,bodymass_2,bodymass_3,bodymass_4,bodymass_5,bodymass_6,bodymass_7,bodymass_8,bodymass_9,bodymass_10,bodymass_11,bodymass_12,bodymass_13,bodymass_14,bodymass_15,bodymass_16,xbreak_1,xbreak_2,xbreak_3,xbreak_4,xbreak_5,xbreak_6,xbreak_7,xbreak_8,xbreak_9,xbreak_10,xbreak_11,xbreak_12,xbreak_13,xbreak_14,xbreak_15,xbreak_16,ybreak_1,ybreak_2,ybreak_3,ybreak_4,ybreak_5,ybreak_6,ybreak_7,ybreak_8,ybreak_9,ybreak_10,ybreak_11,ybreak_12,ybreak_13,ybreak_14,ybreak_15,ybreak_16,zbreak_1,zbreak_2,zbreak_3,zbreak_4,zbreak_5,zbreak_6,zbreak_7,zbreak_8,zbreak_9,zbreak_10,zbreak_11,zbreak_12,zbreak_13,zbreak_14,zbreak_15,zbreak_16,pedmeters_1,pedmeters_2,pedmeters_3,pedmeters_4,pedmeters_5,pedmeters_6,pedmeters_7,pedmeters_8,pedmeters_9,pedmeters_10,pedmeters_11,pedmeters_12,pedmeters_13,pedmeters_14,pedmeters_15,pedmeters_16,allmeters_1,allmeters_2,allmeters_3,allmeters_4,allmeters_5,allmeters_6,allmeters_7,allmeters_8,allmeters_9,allmeters_10,allmeters_11,allmeters_12,allmeters_13,allmeters_14,allmeters_15,allmeters_16,si13c_1,si13c_2,si13c_3,si13c_4,si13c_5,si13c_6,si13c_7,si13c_8,si13c_9,si13c_10,si13c_11,si13c_12,si13c_13,si13c_14,si13c_15,si13c_16,bodytemp_1,bodytemp_2,bodytemp_3,bodytemp_4,bodytemp_5,bodytemp_6,bodytemp_7,bodytemp_8,bodytemp_9,bodytemp_10,bodytemp_11,bodytemp_12,bodytemp_13,bodytemp_14,bodytemp_15,bodytemp_16
09/02/2021 08:02:09,0,0,0,0,0,2.159514,1.419621,2.169245,2.778033,0.7762171,2.23508,2.06247,2.343211,1.980618,2.681881,2.444473,2.460714,2.181087,2.139413,1.989111,2.087471,2.130084,1.469285,2.194036,2.985763,0.7957788,2.513289,2.16457,2.330289,1.881791,2.639544,2.306521,2.557747,1.903222,1.882193,1.835715,1.77535,0.06801081,0.07204609,0.09438565,0.06301453,-0.01685431,0.04035581,0.06267598,0.09706842,0.02693201,0.0639042,0.03624059,0.04105983,0.02093679,0.05563146,0.06610923,0.06880802,0.651991,0.4331853,0.6585358,0.8550289,0.2363522,0.695289,0.6313325,0.7087138,0.5932125,0.8093178,0.7310808,0.7515926,0.6420377,0.6307878,0.5921633,0.6114157,0.9962899,1.031963,1.010053,1.069294,1.028093,1.126377,1.050335,0.9923316,0.9412543,0.9747385,0.9397561,1.03036,0.8697332,0.8761795,0.9163013,0.8448031,0,0,0.03534941,0.08324113,0.2659889,0.0267444,0.1199619,0,0.06717373,0,0.05897311,0,0.3711668,0.07267841,0.001444498,0.04713894,0,0,0.05826798,0.01261603,0,0,0.01205784,0.04159295,0,0.01954666,0,0.0008405055,0,0,0,0,29.5081,26.80499,30.05281,30.3086,24.47096,24.83977,28.47701,23.13133,26.88515,24.68147,21.09105,26.24197,29.32508,26.12732,25.65233,27.06212,353,12,23,179,20,351,154,196,97,245,356,104,281,187,101,174,400,2,361,445,232,414,478,448,199,408,408,424,381,414,296,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49275,0.2655111,1.086885,2.520602,1.14217,3.698286,2.961539,3.943171,0.7446742,3.126937,4.58119,3.624914,3.243481,2.538777,1.873403,1.942154,3.0703,0.2950333,1.598954,3.149223,1.403017,4.125939,3.642762,4.377519,0.9221047,3.668075,5.087505,4.074751,3.744443,3.057457,2.455292,2.5218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 08:17:09,0,0,0,0,0,1.158575,1.07829,1.736656,1.502005,0.601723,1.116994,1.313714,1.335965,1.544557,1.741431,1.038277,1.716501,1.531725,1.451763,1.055782,1.609258,1.32804,1.046432,1.828598,1.571447,0.6975744,1.32987,1.367565,1.339015,1.398085,1.549883,0.8836162,1.629791,1.265896,1.142011,0.8439568,1.3686,0.2354171,0.234216,0.2624879,0.2337676,0.1243749,0.2005433,0.2075302,0.258695,0.1428926,0.2113358,0.172334,0.186318,0.1800158,0.2074375,0.1979493,0.2056933,0.3620854,0.3244138,0.5319954,0.4594453,0.1885745,0.3523746,0.4013925,0.4047592,0.4580028,0.5146291,0.3041477,0.5140368,0.4461966,0.4190678,0.3056551,0.4713454,1.164354,0.9804809,1.054116,1.050143,1.160192,1.196594,1.04317,1.005116,0.9104571,0.8913906,0.850623,0.950694,0.8282651,0.7890185,0.8013681,0.8549269,0,0,0.0848385,0.1222321,0.5693854,0.07509462,0.2839324,0,0.2056272,0.05384281,0.1550191,0.007563767,0.706311,0.0805053,0.002441406,0.09946737,0,0,0.0650635,0.06188169,0,0.004648514,0.02738139,0.3242534,0,0.09923631,0,0.06134149,0.02054443,0.003263092,0,0.07801934,29.5081,26.80499,29.8402,30.6307,24.26305,24.81199,28.47701,22.89784,27.29368,24.9143,21.08573,26.2647,29.30486,26.22757,25.65233,27.17347,80,0,27,187,0,278,289,156,195,134,56,103,457,263,1,284,105,3,460,501,248,339,658,324,403,338,52,258,463,461,21,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500265,0.4595194,3.041037,5.790894,3.986582,7.66775,6.052758,9.101397,3.201148,6.883598,7.984661,7.261518,7.846673,6.101941,2.478719,6.20211,6.190203,0.5110111,4.714079,7.873308,5.027361,9.358896,8.207964,10.47669,4.50069,8.6377,9.247755,8.521499,9.765622,7.905705,3.428209,8.052951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 08:32:09,0,0,0,0,0,1.093311,1.039617,1.161209,1.607327,0.5955381,0.8946257,1.066479,1.194043,1.299533,1.69995,0.6877584,1.525977,1.596559,1.429954,1.092107,1.203798,1.142389,0.9079708,1.239705,1.624305,0.6113998,1.033992,1.040151,1.14997,1.17924,1.524575,0.5909516,1.426671,1.282639,1.078149,0.8571641,1.064458,0.2553689,0.2506881,0.2823313,0.2782901,0.1434858,0.2079629,0.2040468,0.2681621,0.1583893,0.2375183,0.1921871,0.2088077,0.2117338,0.2452192,0.2171436,0.2194551,0.3343334,0.3060808,0.3568464,0.4878573,0.1813934,0.2801589,0.3212041,0.3586554,0.3855419,0.503141,0.2018429,0.4555064,0.4626382,0.4096729,0.3151209,0.3552876,1.059619,0.8818298,1.071358,1.01152,1.029695,1.156131,0.9775012,0.9637296,0.9070377,0.8972352,0.8656802,0.9355309,0.8036791,0.7528801,0.7837879,0.8826375,0,0,0.0848385,0.1361362,0.5741282,0.08981355,0.2945549,0,0.205842,0.1586483,0.1589051,0.2886956,0.7142635,0.0805053,0.002441406,0.1050412,0,0,0.0650635,0.1538841,0,0.004867554,0.04998779,0.4670312,0,0.1767008,0,0.09053045,0.02197265,0.004806519,0,0.09161377,29.5081,26.80499,30.10198,30.67067,24.18272,24.8092,28.47701,22.65228,27.48996,24.98825,21.0772,26.16497,29.27246,26.19534,25.65233,27.13598,5,0,0,291,0,9,144,240,16,144,0,155,203,52,0,49,1,0,29,648,2,27,230,481,55,308,0,390,309,115,17,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,0.55,3.911207,9.021248,4.63356,8.521315,8.744576,13.88271,3.858626,9.987471,8.067546,10.49212,9.825427,7.97845,2.478719,9.190125,6.45048,0.6075,6.226546,12.70909,5.869812,10.81402,12.33263,16.35125,5.870816,12.77474,9.358401,12.68717,12.98587,10.92291,3.50842,12.07781,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 08:47:09,0,0,0,0,0,1.329898,1.415878,1.074503,1.870934,0.8007296,1.091941,0.8831781,1.040863,1.105935,1.566484,0.7705769,1.543758,1.121365,1.256576,1.15626,1.066769,1.259894,1.223594,1.158854,1.811694,0.7950271,1.129851,0.786486,0.9559162,0.9731274,1.428674,0.6038169,1.425336,0.8523856,0.9209318,0.8911419,0.9289522,0.2275021,0.2269879,0.2513638,0.2542701,0.1259728,0.182319,0.163303,0.2404897,0.1431979,0.2196837,0.1681739,0.1967042,0.1928298,0.2296879,0.1917556,0.1909139,0.3980742,0.4159962,0.3309784,0.5626252,0.2420985,0.3331774,0.2610275,0.309557,0.3260862,0.4652176,0.2222799,0.4596222,0.3217224,0.358243,0.3325454,0.3138935,0.950883,0.8618665,1.081012,0.9712463,0.9945963,1.036746,0.8899798,0.919516,0.8806648,0.9120634,0.7856079,0.9223183,0.760392,0.731833,0.7700828,0.8712375,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.2945549,0,0.205842,0.1982426,0.1589051,0.5130911,0.7142635,0.08231766,0.002441406,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.1858479,0,0.09803101,0.02197265,0.01083933,0,0.09161377,29.5081,26.80499,30.0653,30.66593,24.15131,24.8064,28.47701,22.22876,27.46366,24.93517,21.06867,26.18803,29.24005,26.16311,25.65233,27.09354,9,20,0,196,0,21,22,26,4,99,0,318,8,21,2,10,0,172,14,594,2,26,37,27,10,377,0,538,21,56,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,0.8248907,3.920429,11.70272,4.63356,8.580731,9.373754,15.93022,3.858626,11.44635,8.067546,14.90431,10.19545,8.238961,2.478719,9.33185,6.475855,0.9797114,6.288435,17.68567,5.878828,10.98489,13.6987,18.91189,5.970695,15.16337,9.358401,18.61607,13.81886,11.34058,3.558232,12.33388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 09:02:09,0,0,0,0,0,1.225411,0.9856484,1.055735,1.512329,0.8198192,0.8480461,0.9882824,0.9169806,1.223276,1.359639,1.590956,1.257654,1.119187,1.224321,1.103345,1.11643,1.117312,0.8519334,1.07275,1.455994,0.7829504,0.8514235,0.8435405,0.8053823,1.043368,1.197471,0.8037368,1.126554,0.8316361,0.8737978,0.8437456,0.9370751,0.199469,0.2223143,0.2388994,0.2390206,0.1147248,0.163583,0.1448479,0.2115637,0.1323275,0.2014479,0.17184,0.1797168,0.1664732,0.2096605,0.175219,0.1700695,0.3639055,0.2896007,0.3208269,0.454225,0.245811,0.2570294,0.2896666,0.2702744,0.3584939,0.4009644,0.4295334,0.372143,0.3198304,0.3474881,0.316888,0.3261754,0.9097138,0.8634188,1.031369,0.9635167,0.9556549,1.003981,0.8544898,0.8806099,0.8529382,0.8805453,0.5743197,0.8945861,0.7431814,0.7155638,0.7656177,0.839689,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.2945549,0,0.205842,0.1982426,0.1589051,0.5151974,0.7142635,0.08450314,0.002441406,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.001462556,0.09907538,0.02197265,0.01808167,0,0.09161377,29.5081,26.80499,30.02862,30.60609,24.11991,24.80361,28.47701,22.3289,27.43737,24.94125,20.817,26.14392,29.20765,26.13089,25.65233,27.05109,8,0,0,216,0,22,4,0,0,8,206,99,5,0,0,5,7,129,12,483,10,7,2,0,4,49,313,179,13,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,2.085703,3.934374,14.63415,4.63356,8.640871,9.388475,15.93762,3.858626,12.91566,9.316203,18.20294,10.19545,8.563485,2.478719,9.366933,6.542399,2.963626,6.368429,22.14882,5.893834,11.18236,13.76246,18.92336,6.003282,17.32786,10.92297,23.12878,13.88555,11.75534,3.599137,12.45142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 09:17:09,0,0,0,0,0,1.123729,1.011441,1.148892,1.467619,0.7948896,1.013897,1.044591,1.031653,1.095654,1.445165,0.8663943,1.002015,1.172086,1.224168,1.336946,1.164029,0.9841501,0.8384893,1.117689,1.384978,0.7523991,0.9597017,0.8618457,0.8590803,0.9362291,1.226508,0.7012669,0.8293108,0.8779157,0.8976029,1.054908,0.9933497,0.1910923,0.2112532,0.2228638,0.2384598,0.1184751,0.1707631,0.1451836,0.2029813,0.1277007,0.1911236,0.163408,0.1718113,0.1588385,0.2071719,0.1706103,0.1652619,0.3310251,0.2948076,0.3458369,0.4389404,0.2378888,0.3034318,0.304196,0.3009531,0.3212066,0.4231147,0.2514037,0.2919697,0.3354098,0.3490317,0.3861379,0.3411649,0.881862,0.8292414,0.9720572,0.944829,0.9498686,0.9471967,0.8253663,0.8335044,0.8543794,0.8533649,0.8065507,0.8297318,0.748575,0.7343672,0.7843587,0.8540942,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.2945549,0,0.205842,0.1999278,0.1589051,0.5151974,0.7142635,0.08450314,0.002495931,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0,0.09161377,29.5081,26.80499,29.99194,30.55154,24.0885,24.80082,28.47701,22.42904,27.41108,24.95892,20.56353,26.07255,29.17525,26.09866,25.65233,27.00865,9,0,0,120,0,55,8,6,4,9,10,8,6,0,42,33,21,8,8,120,37,38,4,18,12,40,18,24,13,8,87,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,2.097012,3.94561,15.98962,4.636296,8.671978,9.388475,15.97296,3.860059,12.96084,11.78835,18.43635,10.19545,8.563485,2.664651,9.406838,6.612021,3.068108,6.425463,24.58164,5.939806,11.30951,13.80868,18.96115,6.025375,17.44013,13.858,23.56417,13.93706,11.76176,3.859331,12.59989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 09:32:09,0,0,0,0,0,1.044865,1.096293,1.002798,1.154762,0.7924755,1.199935,1.004807,0.8595729,1.10631,1.257952,0.9912682,1.228487,1.308642,1.082775,1.633563,1.197557,0.9253986,0.8880676,0.9607095,1.061438,0.7198003,1.130105,0.8699567,0.7408168,0.9338763,1.115552,0.7736033,1.025655,1.001063,0.7708032,1.311649,1.00923,0.1939061,0.2077977,0.2171178,0.2283557,0.1221164,0.1843047,0.1546737,0.2001666,0.1309772,0.1961274,0.1648158,0.1759829,0.1592574,0.1950956,0.1827413,0.1660154,0.3084782,0.3181616,0.3008743,0.343492,0.2351547,0.3587303,0.2953269,0.2524152,0.3235701,0.3714834,0.2857316,0.3585506,0.3758721,0.3071834,0.4733133,0.3501468,0.8872438,0.8099905,0.9580836,0.9181913,0.9132447,0.9457627,0.8657214,0.8623592,0.8445548,0.8882351,0.780601,0.830337,0.7653236,0.7119472,0.8039765,0.8430569,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.2964594,0,0.205842,0.2709072,0.1589051,0.5151974,0.7142635,0.08450314,0.003173827,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0.0004214816,0.09161377,29.5081,26.80499,29.95526,30.51107,24.05912,24.79803,28.47701,22.52918,27.38478,24.97659,20.87549,26.00117,29.14284,26.06643,25.65535,26.9662,6,0,0,0,0,197,43,0,0,20,16,14,5,0,133,9,8,7,5,2,145,186,67,0,3,65,25,87,3,2,307,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,2.097012,3.946874,16.43547,5.094185,10.5691,9.852468,16.2658,3.868626,13.42306,12.74318,18.87118,10.19545,8.563485,4.05207,9.465261,6.695255,3.092966,6.454704,25.41046,6.766784,13.90607,14.50683,19.27444,6.074172,18.14171,14.86937,24.25302,13.99566,11.79423,6.028995,12.8088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 09:47:09,0,0,0,0,0,1.116328,0.9767109,1.125733,1.319822,0.6619099,0.7555263,1.029285,0.9499342,1.155937,1.154959,0.8988376,1.044901,1.260865,1.25491,1.351241,1.11815,0.9365636,0.8000367,1.051789,1.156685,0.599183,0.7081655,0.8279536,0.7783723,0.9577127,1.00248,0.6443123,0.7790765,0.92176,0.9513256,1.034224,0.9096442,0.1997596,0.2065639,0.2150445,0.2204058,0.1241911,0.1850238,0.157367,0.199974,0.1315518,0.1958638,0.1647759,0.1740007,0.15923,0.1997331,0.1887292,0.1683711,0.3261174,0.2840435,0.3359877,0.3888428,0.196277,0.2256456,0.2983276,0.2762742,0.3368866,0.3396263,0.2552957,0.2987768,0.3593121,0.3598659,0.3881454,0.3247618,0.8395357,0.8194333,0.9337351,0.8780072,0.9241903,0.938822,0.8039566,0.8209019,0.8293735,0.8713594,0.7175369,0.7456827,0.7306694,0.7558271,0.7631431,0.8170849,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.29663,0,0.205842,0.2726752,0.1589051,0.5151974,0.7142635,0.08450314,0.003173827,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0.001342773,0.09161377,29.5081,26.80499,29.91858,30.47061,24.03394,24.79524,28.47701,22.62932,27.35849,24.99426,20.81593,25.9298,29.11044,26.0342,25.66462,26.92375,11,0,2,6,0,6,6,0,10,1,0,0,3,2,53,3,6,8,114,1,29,0,5,0,27,4,0,0,15,61,184,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,2.097012,4.038616,16.43547,5.194946,10.88241,9.907059,16.2658,4.17302,13.46229,12.86226,18.98058,10.19545,8.563485,6.504844,9.48339,6.759616,3.123035,6.594527,25.43313,7.048739,14.45938,14.61669,19.27444,6.414845,18.2365,14.99405,24.39753,14.03051,11.84741,9.377748,12.91083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 10:02:09,0,0,0,0,0,1.136569,0.9985324,1.411614,1.289477,0.5628507,1.090246,0.8928478,1.169728,1.118075,1.17184,0.9066499,1.029563,1.535163,1.667708,0.9996749,1.108012,0.9561912,0.8076898,1.320753,1.130882,0.5031208,0.9726879,0.7402709,0.9741208,0.9454288,1.005025,0.677164,0.8343169,1.21739,1.307646,0.7468136,0.9147051,0.1928498,0.1888684,0.2052278,0.2023557,0.1097401,0.1653835,0.136763,0.1867494,0.1230944,0.1778302,0.1513311,0.1600168,0.155866,0.2034158,0.1768477,0.156441,0.332206,0.2897113,0.4214354,0.379955,0.1664788,0.322347,0.2602472,0.3412364,0.3271186,0.3437867,0.259323,0.2988156,0.4437907,0.4811216,0.2859417,0.3227003,0.8412808,0.8098242,0.9356371,0.8787239,0.905226,0.8930228,0.8303455,0.8351944,0.8464499,0.8626497,0.7473389,0.8101704,0.7894393,0.7846634,0.7469245,0.8289528,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.29663,0,0.205842,0.2726752,0.1589051,0.5151974,0.7294376,0.08450314,0.003173827,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0.001342773,0.09161377,29.5081,26.80499,29.8819,30.43014,24.00887,24.79245,28.47701,22.69571,27.3322,25.01194,20.75054,25.85843,29.07804,26.00197,25.67408,26.88131,1,0,0,16,0,13,2,6,8,3,0,1,66,33,0,2,0,4,83,8,23,4,6,36,9,4,0,6,178,111,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,2.097012,4.667051,16.43547,5.27856,10.88395,9.907059,16.48796,4.321602,13.46229,12.86226,18.98058,10.30904,8.867557,6.633279,9.48339,6.780777,3.138694,7.65384,25.49657,7.273623,14.48816,14.66403,19.56272,6.618994,18.25938,14.99405,24.42161,14.49221,12.50913,9.644435,12.96602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09/02/2021 10:17:09,0,0,0,0,0,1.110592,0.9258302,1.10157,1.281209,0.6387129,0.8891009,1.420394,0.8888388,1.182076,1.145842,1.24306,1.168649,1.355389,0.9990413,1.220371,1.1704,0.8905744,0.7603559,0.970156,1.086348,0.5517051,0.829566,1.219106,0.734074,0.9678715,0.9494303,0.9703869,0.9530435,1.11158,0.7014219,0.8964064,0.9568617,0.1789673,0.1723635,0.1870127,0.187737,0.09602536,0.1560892,0.129466,0.1693827,0.113015,0.1595674,0.1429921,0.1490942,0.149661,0.1824152,0.1631642,0.1431,0.3217091,0.269379,0.3248568,0.3750447,0.1876412,0.2652868,0.4167663,0.258888,0.3437417,0.33395,0.3583288,0.3395826,0.3942596,0.2827797,0.3480545,0.3402502,0.8025756,0.8223199,0.8802812,0.8483807,0.8685594,0.9350286,0.8558596,0.8278493,0.8192983,0.828598,0.7788115,0.8112505,0.8208883,0.7009633,0.7335143,0.8180468,0,0,0.0848385,0.1372376,0.5741282,0.08981355,0.3380079,0,0.205842,0.2726752,0.1589051,0.5151974,0.7365966,0.08450314,0.003173827,0.1050412,0,0,0.0650635,0.1721041,0,0.004867554,0.04998779,0.4934378,0,0.2124173,0.007415776,0.09907538,0.02197265,0.01808167,0.001342773,0.09161377,29.5081,26.80499,29.84521,30.38967,23.98382,24.78966,28.47701,22.6837,27.3059,25.02961,20.79488,25.78706,29.04563,25.96974,25.68354,26.83886,15,0,0,54,0,1,102,0,5,0,60,9,49,0,0,55,11,15,14,51,1,0,226,0,5,10,93,75,22,4,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543701,2.117651,4.674482,16.43547,5.27856,10.89241,10.12542,16.64113,4.321602,13.46229,13.6233,18.98058,10.36232,9.234503,6.633279,9.500206,6.847293,3.184844,7.806881,25.57401,7.288167,14.55822,15.44713,19.75656,6.639893,18.28972,15.86832,24.48896,15.06094,13.05343,9.653442,13.05038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
