Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/07/28,17:04:14,2021/07/28,17:09:32,0,5.32,0.155,0.029,1665.97,405.74,0,0.155
1,2,2021/07/28,17:30:54,2021/07/28,17:33:39,21.37,2.77,0.091,0.033,864.32,283.05,0,0.246
1,3,2021/07/28,17:43:09,2021/07/28,17:50:43,9.5,7.58,0.055,0.007,2359.3,103.95,0,0.302
1,4,2021/07/28,18:01:16,2021/07/28,18:05:04,10.55,3.82,0.157,0.041,1195.08,395.78,0,0.459
1,5,2021/07/28,18:19:37,2021/07/28,18:35:26,14.55,15.83,0.101,0.006,4930.97,188.24,0,0.559
1,6,2021/07/28,18:56:02,2021/07/28,19:05:06,20.6,9.08,0.093,0.01,2826.31,210.58,0,0.652
1,7,2021/07/28,19:10:21,2021/07/28,19:14:11,5.25,3.85,0.031,0.008,1192.12,46.83,0,0.683
1,8,2021/07/28,19:39:31,2021/07/28,19:45:53,25.33,6.38,0.09,0.014,1974.51,257.49,0,0.772
1,9,2021/07/28,20:40:54,2021/07/28,20:44:57,55.02,4.07,0.037,0.009,1257.37,89.92,0,0.81
1,10,2021/07/28,21:03:02,2021/07/28,21:11:07,18.08,8.1,0.132,0.016,2526.57,252.43,0,0.942
1,11,2021/07/28,21:36:16,2021/07/28,21:51:26,25.15,15.18,0.315,0.021,4714.26,690.75,0,1.257
1,12,2021/07/28,21:54:11,2021/07/28,21:58:44,2.75,4.57,0.069,0.015,1405.67,218.23,0,1.326
1,13,2021/07/28,22:33:17,2021/07/28,22:38:23,34.55,5.12,0.111,0.022,1580.51,263.88,0,1.437
1,14,2021/07/28,23:00:09,2021/07/28,23:14:53,21.77,14.75,0.079,0.005,4578.84,268.7,0,1.516
1,15,2021/07/28,23:19:35,2021/07/28,23:31:32,4.7,11.97,0.109,0.009,3713.86,141.5,0,1.625
1,16,2021/07/28,23:35:12,2021/07/28,23:44:58,3.67,9.78,0.238,0.024,3033.99,531.45,0,1.863
1,17,2021/07/28,23:49:45,2021/07/28,23:51:35,4.78,1.85,0.026,0.014,573.46,62.16,0,1.889
1,18,2021/07/29,01:29:58,2021/07/29,01:30:41,98.38,0.73,0.018,0.025,221.34,37.54,0,1.907
1,19,2021/07/29,01:36:02,2021/07/29,01:38:27,5.35,2.43,0.005,0.002,748.4,10.63,0,1.912
1,20,2021/07/29,01:43:38,2021/07/29,01:52:28,5.18,8.85,0.245,0.028,2745,907.55,0,2.157
1,21,2021/07/29,02:52:07,2021/07/29,02:58:03,59.65,5.95,0.087,0.015,1853.33,225.58,0,2.244
1,22,2021/07/29,03:07:54,2021/07/29,03:19:42,9.85,11.82,0.258,0.022,3660.6,332.64,0,2.502
1,23,2021/07/29,03:22:43,2021/07/29,03:26:05,3.02,3.38,0.095,0.028,1049.88,173.53,0,2.597
1,24,2021/07/29,03:30:22,2021/07/29,03:32:11,4.28,1.83,0.042,0.023,564.16,97.48,0,2.639
1,25,2021/07/29,04:56:10,2021/07/29,05:09:23,83.98,13.23,0.36,0.027,4091.48,1010.13,0,2.998
1,26,2021/07/29,05:13:10,2021/07/29,05:20:28,3.78,7.32,0.147,0.02,2258.35,214.14,0,3.145
1,27,2021/07/29,06:27:28,2021/07/29,06:30:50,67,3.38,0.089,0.026,1035.29,184.34,0,3.234
