Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/01,14:53:12,2021/08/01,15:01:27,0,8.27,0.061,0.007,2409.74,146.31,0,0.061
1,2,2021/08/01,15:42:00,2021/08/01,15:45:06,40.55,3.12,0.109,0.035,918.53,246.47,0,0.17
1,3,2021/08/01,16:17:46,2021/08/01,16:21:15,32.67,3.5,0.139,0.04,1019.03,379.47,0,0.309
1,4,2021/08/01,16:53:47,2021/08/01,16:55:41,32.53,1.92,0.062,0.032,556.24,164.78,0,0.371
1,5,2021/08/01,17:07:32,2021/08/01,17:18:28,11.85,10.95,0.01,0.001,3193.93,20.07,0,0.381
1,6,2021/08/01,17:30:21,2021/08/01,17:50:51,11.88,20.52,0.544,0.026,6019.44,1157.54,0,0.925
1,7,2021/08/01,17:55:02,2021/08/01,18:05:18,4.18,10.28,0.095,0.009,2995.79,283.65,0,1.02
1,8,2021/08/01,18:08:17,2021/08/01,18:18:31,2.98,10.25,0.109,0.011,2985.49,329.95,0,1.129
1,9,2021/08/01,18:21:02,2021/08/01,18:24:39,2.52,3.63,0.02,0.006,1050.26,57.64,0,1.149
1,10,2021/08/01,18:27:39,2021/08/01,18:44:54,3,17.27,0.114,0.007,5037.86,344.34,0,1.263
1,11,2021/08/01,18:48:52,2021/08/01,19:07:56,3.97,19.08,0.134,0.007,5556.73,471.54,0,1.397
1,12,2021/08/01,19:11:37,2021/08/01,19:19:34,3.68,7.97,0.04,0.005,2316.11,107.44,0,1.437
1,13,2021/08/01,19:24:21,2021/08/01,19:27:54,4.78,3.57,0.032,0.009,1046.29,65.71,0,1.47
1,14,2021/08/01,19:38:02,2021/08/01,19:43:48,10.13,5.78,0.014,0.002,1688.65,27.23,0,1.483
1,15,2021/08/01,19:46:58,2021/08/01,19:58:36,3.17,11.65,0.027,0.002,3402.79,33.96,0,1.51
1,16,2021/08/01,20:01:54,2021/08/01,20:16:23,3.3,14.5,0.075,0.005,4222.37,160.89,0,1.585
1,17,2021/08/01,20:19:37,2021/08/01,20:20:24,3.23,0.8,0.011,0.014,230.72,31.4,0,1.597
1,18,2021/08/01,20:23:25,2021/08/01,20:29:30,3.02,6.1,0.11,0.018,1777.55,110.73,0,1.707
1,19,2021/08/01,20:45:21,2021/08/01,20:46:07,15.85,0.78,0.004,0.005,221.81,14.72,0,1.711
1,20,2021/08/01,21:08:33,2021/08/01,21:09:32,22.43,1,0.001,0.001,285.85,3.52,0.003,1.712
1,21,2021/08/01,22:41:53,2021/08/01,22:42:40,92.35,0.8,0.004,0.005,227.03,9.3,0,1.716
1,22,2021/08/01,22:48:12,2021/08/01,22:56:04,5.53,7.88,0.132,0.017,2300.63,290.55,0,1.848
1,23,2021/08/01,23:03:06,2021/08/01,23:13:32,7.03,10.45,0.206,0.02,3041.61,576.2,0,2.054
1,24,2021/08/01,23:53:53,2021/08/02,00:00:08,40.35,6.27,0.017,0.003,1814.75,38.44,0,2.071
1,25,2021/08/02,00:03:54,2021/08/02,00:15:32,3.77,11.65,0.123,0.011,3398.3,287.54,0,2.194
1,26,2021/08/02,00:18:33,2021/08/02,00:35:03,3.02,16.52,0.179,0.011,4812.2,234.73,0,2.373
1,27,2021/08/02,00:39:38,2021/08/02,00:44:33,4.58,4.93,0.123,0.025,1445.19,223.09,0,2.496
1,28,2021/08/02,00:47:45,2021/08/02,00:49:50,3.2,2.1,0.026,0.012,605.94,15.2,0,2.522
1,29,2021/08/02,01:08:44,2021/08/02,01:13:30,18.9,4.78,0.044,0.009,1389.71,152.03,0,2.567
1,30,2021/08/02,02:05:40,2021/08/02,02:09:32,52.17,3.88,0.163,0.042,1132.7,494.32,0,2.73
1,31,2021/08/02,03:16:35,2021/08/02,03:20:51,67.05,4.28,0.009,0.002,1240.86,17.49,0,2.739
1,32,2021/08/02,03:25:28,2021/08/02,03:31:02,4.62,5.58,0.234,0.042,1633.02,419.72,0,2.972
1,33,2021/08/02,04:46:52,2021/08/02,04:58:51,75.83,12,0.21,0.017,3482.02,533.61,0,3.182
1,34,2021/08/02,05:04:55,2021/08/02,05:09:19,6.07,4.42,0.079,0.018,1289.36,59.26,0,3.261
1,35,2021/08/02,06:01:19,2021/08/02,06:12:29,52,11.18,0.042,0.004,3231.43,90.07,0,3.303
1,36,2021/08/02,06:15:59,2021/08/02,06:33:17,3.5,17.32,0.146,0.008,5028.08,177.91,0,3.449
1,37,2021/08/02,06:40:18,2021/08/02,06:44:24,7.02,4.12,0.087,0.021,1179.77,163.4,0,3.536
1,38,2021/08/02,08:08:54,2021/08/02,08:16:37,84.5,7.73,0.086,0.011,2233.37,173.15,0,3.622
1,39,2021/08/02,09:14:13,2021/08/02,09:18:19,57.6,4.12,0.164,0.04,1197.51,345.2,0,3.786
1,40,2021/08/02,09:23:55,2021/08/02,09:24:51,5.6,0.95,0.008,0.008,271.61,23.6,0,3.794
1,41,2021/08/02,09:30:25,2021/08/02,09:32:24,5.57,2,0.041,0.021,579.79,10.48,0,3.836
1,42,2021/08/02,10:50:56,2021/08/02,11:06:11,78.53,15.27,0.053,0.003,4387.36,119.42,0,3.888
1,43,2021/08/02,11:10:56,2021/08/02,11:14:26,4.75,3.52,0.007,0.002,1004.96,17.69,0,3.895
1,44,2021/08/02,13:17:17,2021/08/02,13:18:13,122.85,0.95,0.009,0.01,270.58,22.12,0,3.904
1,45,2021/08/02,13:25:28,2021/08/02,13:28:49,7.25,3.37,0.071,0.021,977.76,144.26,0,3.975
1,46,2021/08/02,14:25:16,2021/08/02,14:28:46,56.45,3.52,0.119,0.034,1021.78,306.06,0,4.094
1,47,2021/08/02,15:08:33,2021/08/02,15:11:25,39.78,2.88,0.077,0.027,829.03,213.47,0,4.171
