Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/04,11:46:45,2021/08/04,11:52:39,0,5.92,0.056,0.009,2176.4,46.47,0,0.056
1,2,2021/08/04,11:56:46,2021/08/04,11:58:26,4.12,1.68,0.003,0.002,620.95,12.8,0,0.059
1,3,2021/08/04,12:02:23,2021/08/04,12:04:48,3.95,2.43,0.015,0.006,891.17,43.37,0,0.074
1,4,2021/08/04,12:54:34,2021/08/04,13:03:40,49.77,9.12,0.052,0.006,3368.41,231.66,0,0.126
1,5,2021/08/04,13:16:30,2021/08/04,13:18:43,12.83,2.23,0.034,0.015,822.83,90.29,0,0.16
1,6,2021/08/04,14:36:12,2021/08/04,14:39:10,77.48,2.98,0.068,0.023,1099.59,180.15,0,0.228
1,7,2021/08/04,15:21:34,2021/08/04,15:24:56,42.4,3.38,0.028,0.008,1254.72,58.63,0,0.256
1,8,2021/08/04,15:33:52,2021/08/04,15:54:16,8.93,20.42,0.108,0.005,7579.6,280.01,0,0.365
1,9,2021/08/04,16:11:31,2021/08/04,16:14:45,17.25,3.25,0.124,0.038,1207.7,168.82,0,0.489
1,10,2021/08/04,16:40:50,2021/08/04,16:42:58,26.08,2.15,0.072,0.034,796.37,142.16,0,0.561
1,11,2021/08/04,16:48:47,2021/08/04,16:50:19,5.82,1.55,0.06,0.039,572.02,172.74,0,0.62
1,12,2021/08/04,16:56:17,2021/08/04,17:27:32,5.97,31.27,0.207,0.007,11622.89,445.18,0,0.828
1,13,2021/08/04,18:22:17,2021/08/04,19:13:47,54.75,51.52,0.56,0.011,19132.85,895.13,0,1.388
1,14,2021/08/04,19:16:24,2021/08/04,19:26:49,2.62,10.43,0.118,0.011,3850.78,266.16,0,1.506
1,15,2021/08/04,19:29:35,2021/08/04,20:10:14,2.77,40.67,0.851,0.021,15062.49,1533.43,0,2.358
1,16,2021/08/04,20:29:51,2021/08/04,20:31:03,19.62,1.22,0.016,0.013,445.9,2.65,0.019,2.373
1,17,2021/08/04,21:42:39,2021/08/04,21:43:30,71.6,0.87,0.048,0.055,311.93,137.19,0,2.421
1,18,2021/08/04,21:46:34,2021/08/04,22:02:39,3.07,16.1,0.762,0.047,5934.93,1175.97,0,3.183
1,19,2021/08/04,22:36:17,2021/08/04,22:57:23,33.63,21.12,0.155,0.007,7830.92,387.53,0,3.339
1,20,2021/08/04,23:00:19,2021/08/04,23:07:38,2.93,7.33,0.132,0.018,2703.92,313.26,0,3.471
1,21,2021/08/04,23:10:15,2021/08/04,23:18:30,2.62,8.27,0.048,0.006,3030.76,83.34,0,3.519
1,22,2021/08/04,23:22:29,2021/08/04,23:24:11,3.98,1.72,0.019,0.011,625.9,40.67,0,3.538
1,23,2021/08/05,00:26:09,2021/08/05,00:28:28,61.97,2.33,0.004,0.002,855.36,17.02,0,3.542
1,24,2021/08/05,00:55:52,2021/08/05,00:56:46,27.4,0.92,0.017,0.018,333.84,52.26,0,3.559
1,25,2021/08/05,01:03:39,2021/08/05,01:28:34,6.88,24.93,0.302,0.012,9169.41,540.97,0,3.861
1,26,2021/08/05,02:54:36,2021/08/05,03:14:42,86.03,20.12,0.148,0.007,7393.09,329.78,0,4.008
1,27,2021/08/05,04:16:10,2021/08/05,04:19:05,61.47,2.93,0.061,0.021,1072.9,207.28,0,4.069
1,28,2021/08/05,04:21:45,2021/08/05,04:31:39,2.67,9.92,0.658,0.066,3634.69,990.95,0,4.728
1,29,2021/08/05,04:36:16,2021/08/05,04:41:42,4.62,5.45,0.121,0.022,1988.19,248.55,0,4.849
1,30,2021/08/05,04:47:36,2021/08/05,04:50:39,5.9,3.07,0.158,0.052,1133.32,449.77,0,5.007
1,31,2021/08/05,05:21:10,2021/08/05,05:23:28,30.52,2.32,0.044,0.019,847.57,87.82,0,5.051
1,32,2021/08/05,06:12:05,2021/08/05,06:25:44,48.62,13.67,0.118,0.009,4991.45,186.04,0,5.169
1,33,2021/08/05,06:32:56,2021/08/05,06:36:48,7.2,3.88,0.032,0.008,1415.66,86.44,0,5.201
1,34,2021/08/05,06:45:15,2021/08/05,07:00:34,8.45,15.33,0.08,0.005,5594.07,207.54,0,5.281
1,35,2021/08/05,08:15:22,2021/08/05,08:19:59,74.8,4.63,0.072,0.015,1695.61,125.04,0,5.352
1,36,2021/08/05,08:31:11,2021/08/05,08:33:23,11.2,2.22,0.044,0.02,803.5,86.83,0,5.396
1,37,2021/08/05,08:36:29,2021/08/05,08:42:24,3.1,5.93,0.005,0.001,2161.31,9.61,0,5.401
1,38,2021/08/05,08:45:26,2021/08/05,08:47:30,3.03,2.08,0.102,0.049,754.03,170.01,0,5.503
1,39,2021/08/05,11:03:13,2021/08/05,11:21:09,135.72,17.95,0.186,0.01,6564.32,472.17,0,5.689
1,40,2021/08/05,11:24:41,2021/08/05,11:26:55,3.53,2.25,0.011,0.005,812.67,29.63,0,5.7
1,41,2021/08/05,12:32:40,2021/08/05,12:41:42,65.75,9.05,0.03,0.003,3306.92,37.31,0,5.73
1,42,2021/08/05,14:14:07,2021/08/05,14:20:19,92.42,6.22,0.016,0.003,2255.04,37.83,0,5.746
1,43,2021/08/05,14:36:10,2021/08/05,14:37:45,15.85,1.6,0.059,0.037,575.35,136.32,0,5.804
1,44,2021/08/05,15:22:49,2021/08/05,15:28:59,45.07,6.18,0.115,0.019,2252.37,248.33,0,5.919
1,45,2021/08/05,15:41:18,2021/08/05,15:47:50,12.32,6.55,0.144,0.022,2374.62,388.49,0,6.063
1,46,2021/08/05,16:28:11,2021/08/05,16:31:00,40.35,2.83,0.061,0.022,1030.02,142.04,0,6.124
1,47,2021/08/05,17:11:15,2021/08/05,17:27:02,40.25,15.8,0.042,0.003,5766.82,94.2,0,6.166
1,48,2021/08/05,18:15:29,2021/08/05,18:36:30,48.45,21.03,0.152,0.007,7604.25,250.03,0,6.318
1,49,2021/08/05,18:39:38,2021/08/05,18:44:39,3.13,5.03,0.089,0.018,1825.27,117.45,0,6.407
1,50,2021/08/05,18:52:07,2021/08/05,19:00:23,7.47,8.28,0.071,0.009,2987.75,227.2,0,6.477
1,51,2021/08/05,19:02:58,2021/08/05,20:04:51,2.58,61.9,0.426,0.007,22385.41,890.09,0,6.904
1,52,2021/08/05,20:09:30,2021/08/05,20:16:35,4.65,7.1,0.685,0.096,2558.98,2723.29,0,7.589
1,53,2021/08/05,20:38:19,2021/08/05,20:53:03,21.73,14.75,0.159,0.011,5308.54,137.47,0,7.747
1,54,2021/08/05,20:57:23,2021/08/05,21:04:12,4.33,6.83,0.371,0.054,2463.93,823.85,0,8.118
1,55,2021/08/05,21:08:05,2021/08/05,21:22:13,3.88,14.15,0.215,0.015,5073.67,688.81,0,8.334
1,56,2021/08/05,22:53:22,2021/08/05,23:13:49,91.15,20.47,0.148,0.007,7365.17,363.53,0,8.481
1,57,2021/08/05,23:17:22,2021/08/05,23:25:25,3.55,8.07,0.202,0.025,2904.07,465.42,0,8.683
1,58,2021/08/05,23:29:56,2021/08/05,23:38:08,4.52,8.22,0.134,0.016,2940.37,280.71,0,8.818
1,59,2021/08/05,23:44:11,2021/08/05,23:55:19,6.05,11.15,0.205,0.018,3996.52,627.2,0,9.023
1,60,2021/08/06,00:00:12,2021/08/06,00:08:47,4.88,8.6,0.027,0.003,3073.69,52.76,0,9.05
1,61,2021/08/06,02:47:29,2021/08/06,02:50:16,158.7,2.8,0.019,0.007,997.72,43.77,0,9.069
1,62,2021/08/06,03:06:41,2021/08/06,03:24:55,16.42,18.25,0.193,0.011,6548.27,255.7,0,9.262
1,63,2021/08/06,04:17:34,2021/08/06,04:23:20,52.65,5.78,0.117,0.02,2083.13,229.74,0,9.379
1,64,2021/08/06,04:30:25,2021/08/06,04:35:50,7.08,5.43,0.078,0.014,1952.95,146.08,0,9.457
1,65,2021/08/06,04:38:34,2021/08/06,04:43:18,2.73,4.75,0.055,0.012,1701.69,74.23,0,9.511
1,66,2021/08/06,05:39:27,2021/08/06,05:44:01,56.15,4.58,0.03,0.007,1645.9,66.88,0,9.541
1,67,2021/08/06,05:52:03,2021/08/06,06:09:06,8.03,17.07,0.114,0.007,6100.69,294.26,0,9.655
1,68,2021/08/06,06:24:15,2021/08/06,06:26:54,15.15,2.67,0.014,0.005,950.63,27.56,0,9.67
1,69,2021/08/06,09:13:37,2021/08/06,09:15:26,166.72,1.83,0.007,0.004,652.59,19.77,0,9.677
1,70,2021/08/06,09:18:05,2021/08/06,09:24:59,2.65,6.92,0.054,0.008,2453.45,85.29,0,9.731
1,71,2021/08/06,09:29:36,2021/08/06,09:31:40,4.62,2.08,0.016,0.008,734.17,23.76,0,9.746
1,72,2021/08/06,12:15:13,2021/08/06,12:22:27,163.55,7.25,0.06,0.008,2584.88,142.76,0,9.806
1,73,2021/08/06,13:59:11,2021/08/06,14:03:14,96.73,4.07,0.096,0.024,1454.89,193.22,0,9.902
1,74,2021/08/06,15:14:48,2021/08/06,15:16:52,71.57,2.08,0.008,0.004,734.82,15.55,0,9.911
1,75,2021/08/06,16:00:58,2021/08/06,16:06:19,44.1,5.37,0.035,0.006,1917.81,52.82,0,9.945
1,76,2021/08/06,16:43:33,2021/08/06,17:34:42,37.23,51.17,0.123,0.002,18269.23,281.41,0,10.069
1,77,2021/08/06,17:40:32,2021/08/06,17:54:02,5.83,13.52,0.256,0.019,4836.32,581.52,0,10.325
1,78,2021/08/06,17:56:52,2021/08/06,18:06:53,2.83,10.03,0.275,0.027,3600.7,505.46,0,10.6
1,79,2021/08/06,19:49:59,2021/08/06,19:57:04,103.1,7.1,0.021,0.003,2513.87,52.04,0,10.621
1,80,2021/08/06,20:02:29,2021/08/06,20:13:07,5.42,10.65,0.154,0.015,3765.16,590.95,0,10.776
1,81,2021/08/06,20:17:01,2021/08/06,20:31:20,3.9,14.33,0.005,0,5066.4,9.25,0,10.781
1,82,2021/08/06,21:36:53,2021/08/06,21:59:33,65.55,22.68,0.145,0.006,8063,245.38,0,10.926
1,83,2021/08/06,22:53:12,2021/08/06,23:07:05,53.65,13.9,0.241,0.017,4919.44,186.09,0,11.167
