Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/08,16:55:47,2021/08/08,17:08:02,0,12.27,0.139,0.011,4262.21,303.21,0,0.139
1,2,2021/08/08,17:15:48,2021/08/08,18:10:06,7.77,54.32,0.436,0.008,18815.73,764.63,0,0.575
1,3,2021/08/08,18:20:39,2021/08/08,18:30:50,10.55,10.2,0.041,0.004,3513.81,94.03,0,0.616
1,4,2021/08/08,19:02:32,2021/08/08,19:13:02,31.7,10.52,0.329,0.031,3657.16,794.13,0,0.945
1,5,2021/08/08,19:19:32,2021/08/08,19:43:58,6.5,24.45,0.249,0.01,8426.65,585.67,0,1.194
1,6,2021/08/08,20:52:01,2021/08/08,21:12:40,68.05,20.67,0.373,0.018,7130.27,720.52,0,1.567
1,7,2021/08/08,21:19:50,2021/08/08,21:36:41,7.17,16.87,0.124,0.007,5789.33,255.69,0,1.691
1,8,2021/08/08,21:42:36,2021/08/08,21:45:11,5.92,2.6,0.139,0.053,901.31,272.1,0,1.829
1,9,2021/08/08,21:49:00,2021/08/08,21:52:04,3.82,3.08,0.022,0.007,1049.47,61.44,0,1.851
1,10,2021/08/08,21:58:21,2021/08/08,22:00:37,6.28,2.28,0.032,0.014,778.71,26.26,0,1.883
1,11,2021/08/08,23:35:17,2021/08/08,23:48:17,94.67,13.02,0.24,0.018,4492.48,527.83,0,2.123
1,12,2021/08/08,23:59:41,2021/08/09,00:04:12,11.4,4.53,0.016,0.004,1562.93,37.53,0,2.14
1,13,2021/08/09,01:03:34,2021/08/09,01:25:00,59.37,21.45,0.386,0.018,7392.42,764.03,0,2.526
1,14,2021/08/09,02:40:48,2021/08/09,02:50:39,75.8,9.87,0.28,0.028,3395.55,814.93,0,2.806
1,15,2021/08/09,02:53:15,2021/08/09,02:54:53,2.6,1.65,0.025,0.015,565.08,46.99,0,2.83
1,16,2021/08/09,03:40:51,2021/08/09,03:54:06,45.97,13.27,0.135,0.01,4578.54,311.97,0,2.966
1,17,2021/08/09,03:56:56,2021/08/09,04:03:07,2.83,6.2,0.071,0.011,2123.27,146.41,0,3.037
1,18,2021/08/09,04:35:16,2021/08/09,04:38:04,32.15,2.82,0.062,0.022,965.13,159.56,0,3.099
1,19,2021/08/09,05:01:48,2021/08/09,05:15:46,23.73,13.98,0.033,0.002,4777.54,70.23,0,3.132
1,20,2021/08/09,05:18:42,2021/08/09,05:24:05,2.93,5.4,0.053,0.01,1849.94,160.08,0,3.184
1,21,2021/08/09,05:34:35,2021/08/09,05:39:44,10.5,5.17,0.054,0.01,1774.55,90.77,0,3.239
1,22,2021/08/09,05:43:47,2021/08/09,05:46:14,4.05,2.47,0.025,0.01,837.64,51.94,0,3.264
1,23,2021/08/09,05:49:00,2021/08/09,05:51:53,2.77,2.9,0.017,0.006,982.95,44.13,0,3.28
1,24,2021/08/09,05:54:34,2021/08/09,06:06:36,2.68,12.05,0.093,0.008,4118.6,127.03,0,3.373
1,25,2021/08/09,08:34:02,2021/08/09,08:34:34,147.43,0.55,0.009,0.016,181.62,23.54,0,3.382
1,26,2021/08/09,08:39:00,2021/08/09,08:41:32,4.43,2.55,0.005,0.002,862.68,10.02,0,3.387
1,27,2021/08/09,11:34:57,2021/08/09,11:39:50,173.42,4.9,0.074,0.015,1677.36,166.49,0,3.46
1,28,2021/08/09,11:54:39,2021/08/09,12:02:24,14.82,7.77,0.102,0.013,2656.22,169.66,0,3.562
1,29,2021/08/09,12:05:01,2021/08/09,12:11:06,2.62,6.1,0.055,0.009,2074.35,181.28,0,3.617
1,30,2021/08/09,14:06:39,2021/08/09,14:09:54,115.55,3.27,0.028,0.008,1111.2,53.59,0,3.645
1,31,2021/08/09,15:01:16,2021/08/09,15:09:58,51.37,8.72,0.158,0.018,2990.06,428.22,0,3.804
1,32,2021/08/09,15:51:48,2021/08/09,15:54:05,41.83,2.3,0.099,0.043,786.44,250.33,0,3.902
1,33,2021/08/09,16:12:55,2021/08/09,16:15:52,18.83,2.97,0.044,0.015,1014.01,84.22,0,3.946
1,34,2021/08/09,16:35:01,2021/08/09,16:36:54,19.15,1.9,0.092,0.048,648.03,185.68,0,4.038
