Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/10,16:28:26,2021/08/10,16:38:02,0,9.62,0.057,0.006,3252.11,94.28,0,0.057
1,2,2021/08/10,17:00:06,2021/08/10,17:12:34,22.07,12.48,0.13,0.01,4219.58,397.84,0,0.187
1,3,2021/08/10,17:33:35,2021/08/10,17:34:40,21.02,1.1,0.031,0.028,366.66,97.08,0,0.219
1,4,2021/08/10,18:01:19,2021/08/10,18:04:46,26.65,3.47,0.123,0.036,1172.65,266.13,0,0.342
1,5,2021/08/10,19:30:33,2021/08/10,19:31:11,85.78,0.65,0.006,0.009,211.38,7.56,0,0.348
1,6,2021/08/10,19:34:54,2021/08/10,20:02:38,3.72,27.75,0.114,0.004,9344.58,352.13,0,0.462
1,7,2021/08/10,20:05:10,2021/08/10,20:07:07,2.53,1.97,0.012,0.006,653.33,20.41,0,0.474
1,8,2021/08/10,20:11:45,2021/08/10,20:20:01,4.63,8.28,0.091,0.011,2762.06,118.28,0,0.565
1,9,2021/08/10,20:23:10,2021/08/10,20:32:57,3.15,9.8,0.203,0.021,3272.28,551.09,0,0.768
1,10,2021/08/10,20:39:33,2021/08/10,20:51:41,6.6,12.15,0.136,0.011,4096.3,57.87,0,0.904
1,11,2021/08/10,21:03:52,2021/08/10,21:25:15,12.18,21.4,0.208,0.01,7149.64,383.73,0,1.112
1,12,2021/08/10,21:35:23,2021/08/10,21:41:08,10.13,5.77,0.074,0.013,1915.39,29.17,0,1.186
1,13,2021/08/10,21:53:13,2021/08/10,21:53:47,12.08,0.58,0.001,0.002,191.01,3.12,0.008,1.187
1,14,2021/08/10,22:02:55,2021/08/10,22:04:45,9.13,1.85,0.005,0.003,613.17,18.98,0,1.193
1,15,2021/08/10,23:10:59,2021/08/10,23:27:07,66.23,16.15,0.068,0.004,5399.4,123.06,0,1.26
1,16,2021/08/10,23:37:47,2021/08/10,23:43:23,10.67,5.62,0.02,0.003,1873.81,33.88,0,1.28
1,17,2021/08/10,23:47:35,2021/08/10,23:51:32,4.2,3.97,0.038,0.01,1314.12,85.4,0,1.318
1,18,2021/08/10,23:54:53,2021/08/11,00:01:48,3.35,6.93,0.157,0.023,2343.44,275.32,0,1.475
1,19,2021/08/11,01:04:26,2021/08/11,01:10:31,62.63,6.1,0.119,0.019,2028.86,314.93,0,1.594
1,20,2021/08/11,01:48:02,2021/08/11,02:02:04,37.52,14.05,0.02,0.001,4679.79,36.19,0,1.614
1,21,2021/08/11,02:54:03,2021/08/11,03:16:49,51.98,22.78,0.224,0.01,7634.4,371.51,0,1.838
1,22,2021/08/11,03:19:29,2021/08/11,03:27:55,2.67,8.45,0.109,0.013,2822.22,313.32,0,1.947
1,23,2021/08/11,03:54:32,2021/08/11,03:56:28,26.62,1.95,0.049,0.025,643.49,113.56,0,1.996
1,24,2021/08/11,04:07:00,2021/08/11,04:08:20,10.53,1.35,0.083,0.061,449.17,171.27,0,2.079
1,25,2021/08/11,05:02:00,2021/08/11,05:06:12,53.67,4.22,0.049,0.012,1408.43,70.23,0,2.128
1,26,2021/08/11,05:08:50,2021/08/11,05:16:04,2.63,7.25,0.005,0.001,2405.1,15.1,0,2.133
1,27,2021/08/11,05:59:21,2021/08/11,06:03:40,43.28,4.33,0.032,0.007,1435.19,52.84,0,2.165
1,28,2021/08/11,06:09:27,2021/08/11,06:22:36,5.78,13.17,0.056,0.004,4384.84,32,0,2.22
