Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/15,16:52:39,2021/08/15,17:15:03,0,22.42,0.295,0.013,7063.03,722.23,0,0.295
1,2,2021/08/15,17:18:40,2021/08/15,17:31:10,3.62,12.52,0.046,0.004,3896.29,77.24,0,0.342
1,3,2021/08/15,17:33:57,2021/08/15,17:37:04,2.78,3.13,0.113,0.036,988.76,222.34,0,0.455
1,4,2021/08/15,17:44:58,2021/08/15,17:52:21,7.9,7.4,0.114,0.015,2318.73,219.82,0,0.568
1,5,2021/08/15,18:38:01,2021/08/15,18:40:49,45.67,2.82,0.094,0.033,883.98,265.31,0,0.662
1,6,2021/08/15,18:56:44,2021/08/15,19:03:24,15.92,6.68,0.055,0.008,2093.14,161.7,0,0.716
1,7,2021/08/15,19:32:54,2021/08/15,19:46:48,29.5,13.92,0.129,0.009,4351.24,279.61,0,0.846
1,8,2021/08/15,19:49:46,2021/08/15,20:26:02,2.97,36.28,0.488,0.013,11374.39,738.11,0,1.333
1,9,2021/08/15,20:40:33,2021/08/15,20:50:00,14.52,9.47,0.029,0.003,2948.25,62.65,0,1.363
1,10,2021/08/15,20:57:00,2021/08/15,21:02:14,7,5.25,0.11,0.021,1649.41,204.49,0,1.472
1,11,2021/08/15,21:14:39,2021/08/15,21:22:01,12.42,7.38,0.132,0.018,2293.76,353.2,0,1.604
1,12,2021/08/15,21:24:46,2021/08/15,21:27:21,2.75,2.6,0.016,0.006,803.62,28,0,1.62
1,13,2021/08/15,21:35:09,2021/08/15,21:36:58,7.8,1.83,0.063,0.034,573.38,145.64,0,1.683
1,14,2021/08/15,23:00:07,2021/08/15,23:07:29,83.15,7.38,0.173,0.023,2314.5,376.17,0,1.856
1,15,2021/08/15,23:59:52,2021/08/16,00:19:35,52.38,19.73,0.091,0.005,6147.19,264.66,0,1.947
1,16,2021/08/16,00:24:08,2021/08/16,00:26:58,4.55,2.85,0.061,0.021,895.37,199.84,0,2.008
1,17,2021/08/16,00:35:37,2021/08/16,00:44:53,8.65,9.28,0.151,0.016,2884.52,427.09,0,2.159
1,18,2021/08/16,00:49:18,2021/08/16,00:51:49,4.42,2.53,0.006,0.003,778.67,2.31,0.037,2.165
1,19,2021/08/16,01:58:45,2021/08/16,02:16:09,66.93,17.42,0.312,0.018,5427.31,810.32,0,2.477
1,20,2021/08/16,02:22:09,2021/08/16,02:24:54,6,2.77,0.006,0.002,851.31,8.76,0,2.483
1,21,2021/08/16,02:27:38,2021/08/16,02:31:43,2.73,4.1,0.136,0.033,1279.42,192.6,0,2.619
1,22,2021/08/16,03:40:17,2021/08/16,03:51:13,68.57,10.95,0.163,0.015,3407.78,401.19,0,2.782
1,23,2021/08/16,04:38:58,2021/08/16,04:59:41,47.75,20.73,0.268,0.013,6470.91,931.39,0,3.05
1,24,2021/08/16,05:03:28,2021/08/16,05:07:29,3.78,4.03,0.041,0.01,1242.1,113.27,0,3.091
1,25,2021/08/16,05:20:28,2021/08/16,05:26:24,12.98,5.95,0.085,0.014,1835.41,218.59,0,3.176
1,26,2021/08/16,06:45:44,2021/08/16,06:54:11,79.33,8.47,0.106,0.013,2630.68,205.97,0,3.283
1,27,2021/08/16,06:57:58,2021/08/16,07:12:50,3.78,14.88,0.076,0.005,4617.29,129.94,0,3.358
1,28,2021/08/16,07:18:03,2021/08/16,07:19:39,5.22,1.62,0.044,0.027,495.07,77.33,0,3.402
1,29,2021/08/16,07:35:48,2021/08/16,07:37:06,16.15,1.32,0.02,0.015,406.8,42.16,0,3.422
1,30,2021/08/16,08:56:28,2021/08/16,09:01:21,79.37,4.9,0.094,0.019,1518.82,288.17,0,3.516
1,31,2021/08/16,09:18:10,2021/08/16,09:19:48,16.82,1.65,0.019,0.012,509.03,51.66,0,3.536
1,32,2021/08/16,11:18:38,2021/08/16,11:22:40,118.83,4.05,0.113,0.028,1253.96,248.07,0,3.649
1,33,2021/08/16,13:16:28,2021/08/16,13:20:13,113.8,3.77,0.082,0.022,1160.17,175.12,0,3.73
1,34,2021/08/16,14:28:42,2021/08/16,14:31:16,68.48,2.58,0.07,0.027,808.02,169.12,0,3.801
1,35,2021/08/16,15:41:51,2021/08/16,15:44:38,70.58,2.8,0.094,0.034,872.8,270.19,0,3.895
1,36,2021/08/16,16:26:22,2021/08/16,16:29:46,41.73,3.42,0.088,0.026,1058.02,174.71,0,3.982
1,37,2021/08/16,16:44:24,2021/08/16,16:57:55,14.63,13.53,0.131,0.01,4170.53,265.59,0,4.114
1,38,2021/08/16,17:07:56,2021/08/16,17:10:34,10.02,2.65,0.091,0.034,813.84,259.31,0,4.205
1,39,2021/08/16,17:36:48,2021/08/16,17:58:15,26.23,21.47,0.261,0.012,6651.49,770.32,0,4.465
1,40,2021/08/16,18:10:52,2021/08/16,18:11:24,12.62,0.55,0.015,0.027,166.18,55.03,0,4.48
1,41,2021/08/16,18:25:02,2021/08/16,18:31:51,13.63,6.83,0.143,0.021,2106.78,351.91,0,4.623
1,42,2021/08/16,19:02:10,2021/08/16,19:14:23,30.32,12.23,0.28,0.023,3793.83,901.83,0,4.903
1,43,2021/08/16,19:19:37,2021/08/16,19:29:35,5.23,9.98,0.116,0.012,3084.4,289.31,0,5.019
1,44,2021/08/16,19:36:08,2021/08/16,19:51:11,6.55,15.07,0.033,0.002,4627.82,17.46,0,5.052
1,45,2021/08/16,20:48:46,2021/08/16,21:06:36,57.58,17.85,0.319,0.018,5531.68,731.07,0,5.371
1,46,2021/08/16,21:15:05,2021/08/16,21:18:37,8.48,3.55,0.021,0.006,1078.88,4.77,0,5.393
1,47,2021/08/16,21:21:32,2021/08/16,21:26:52,2.92,5.35,0.016,0.003,1650.16,53.74,0,5.409
1,48,2021/08/16,21:29:45,2021/08/16,21:43:37,2.88,13.88,0.103,0.007,4274.81,325.34,0,5.512
1,49,2021/08/16,21:59:52,2021/08/16,22:04:12,16.25,4.35,0.022,0.005,1324.51,49.7,0,5.534
1,50,2021/08/16,22:11:59,2021/08/16,22:15:53,7.78,3.92,0.09,0.023,1204.31,71.29,0,5.625
1,51,2021/08/16,22:21:06,2021/08/16,22:27:04,5.22,5.98,0.122,0.02,1829.47,332.57,0,5.747
1,52,2021/08/16,22:48:45,2021/08/16,22:51:03,21.68,2.32,0.064,0.027,702.98,80.25,0,5.811
1,53,2021/08/17,00:15:50,2021/08/17,00:18:56,84.78,3.12,0.105,0.034,965.61,210.8,0,5.915
1,54,2021/08/17,00:55:04,2021/08/17,01:12:13,36.13,17.17,0.138,0.008,5290.24,279.3,0,6.054
1,55,2021/08/17,01:16:05,2021/08/17,01:23:39,3.87,7.58,0.11,0.015,2341.05,191.48,0,6.164
1,56,2021/08/17,01:38:46,2021/08/17,01:40:17,15.12,1.53,0.021,0.014,463.45,62.29,0,6.185
1,57,2021/08/17,02:51:51,2021/08/17,02:57:03,71.57,5.22,0.075,0.014,1600.5,152.51,0,6.26
1,58,2021/08/17,03:33:12,2021/08/17,03:38:31,36.15,5.33,0.068,0.013,1642.81,215.39,0,6.328
1,59,2021/08/17,04:11:50,2021/08/17,04:25:53,33.32,14.07,0.213,0.015,4336.01,600.09,0,6.542
1,60,2021/08/17,04:29:58,2021/08/17,04:43:56,4.08,13.98,0.111,0.008,4283.83,230.46,0,6.653
1,61,2021/08/17,04:48:28,2021/08/17,04:50:46,4.53,2.32,0.023,0.01,716.13,48.28,0,6.675
1,62,2021/08/17,05:09:04,2021/08/17,05:17:13,18.3,8.17,0.093,0.011,2501.67,134.23,0,6.768
1,63,2021/08/17,05:21:40,2021/08/17,05:27:24,4.45,5.75,0.125,0.022,1770.51,200.04,0,6.893
1,64,2021/08/17,05:39:23,2021/08/17,05:40:58,11.98,1.6,0.046,0.029,491.49,120.7,0,6.939
1,65,2021/08/17,07:08:34,2021/08/17,07:13:26,87.6,4.88,0.055,0.011,1492.13,189.09,0,6.994
1,66,2021/08/17,07:20:54,2021/08/17,07:30:09,7.47,9.27,0.078,0.008,2845.28,176.32,0,7.072
1,67,2021/08/17,07:54:31,2021/08/17,07:55:54,24.37,1.4,0.026,0.018,427.79,59.68,0,7.097
1,68,2021/08/17,09:57:39,2021/08/17,10:01:39,121.75,4.02,0.106,0.026,1220.9,200.95,0,7.203
1,69,2021/08/17,10:10:28,2021/08/17,10:20:31,8.82,10.07,0.002,0,3071.22,4.93,0,7.205
1,70,2021/08/17,10:23:24,2021/08/17,10:25:02,2.88,1.65,0.068,0.041,506.05,134.24,0,7.273
1,71,2021/08/17,12:43:50,2021/08/17,12:47:36,138.8,3.78,0.854,0.226,1160.02,2387.79,0,8.127
1,72,2021/08/17,12:50:21,2021/08/17,12:51:31,2.75,1.18,0.037,0.032,360.69,64.51,0,8.164
1,73,2021/08/17,16:44:04,2021/08/17,16:56:27,232.55,12.4,0.092,0.007,3772.93,114.91,0,8.257
1,74,2021/08/17,17:40:06,2021/08/17,17:46:18,43.65,6.22,0.025,0.004,1890.2,39.33,0,8.282
1,75,2021/08/17,17:50:15,2021/08/17,17:55:43,3.95,5.48,0.017,0.003,1653.22,26.94,0,8.299
1,76,2021/08/17,17:58:21,2021/08/17,18:10:34,2.63,12.23,0.166,0.014,3731.69,326.84,0,8.465
1,77,2021/08/17,18:20:50,2021/08/17,18:31:08,10.27,10.32,0.134,0.013,3127.76,344.64,0,8.6
1,78,2021/08/17,18:41:30,2021/08/17,18:42:32,10.37,1.05,0.116,0.11,312.95,186.48,0,8.715
1,79,2021/08/17,19:28:46,2021/08/17,19:30:13,46.23,1.47,0.072,0.049,445.2,339.13,0,8.788
1,80,2021/08/17,19:52:46,2021/08/17,20:23:30,22.55,30.75,0.321,0.01,9330.5,1196.87,0,9.109
1,81,2021/08/17,20:30:26,2021/08/17,20:44:09,6.93,13.73,0.008,0.001,4186.26,20.63,0,9.117
1,82,2021/08/17,21:16:56,2021/08/17,21:21:41,32.78,4.77,0.152,0.032,1453.79,252.46,0,9.269
1,83,2021/08/17,21:25:59,2021/08/17,21:29:05,4.3,3.12,0.021,0.007,936.96,26.18,0,9.289
1,84,2021/08/17,21:32:03,2021/08/17,21:34:22,2.97,2.33,0.036,0.015,703.75,131.43,0,9.325
1,85,2021/08/17,21:37:12,2021/08/17,21:40:35,2.83,3.4,0.048,0.014,1029.41,51.86,0,9.373
1,86,2021/08/17,21:54:09,2021/08/17,21:58:17,13.57,4.15,0.09,0.022,1264.95,225.86,0,9.463
1,87,2021/08/17,23:54:10,2021/08/17,23:59:28,115.88,5.32,0.238,0.045,1601.25,726.85,0,9.701
1,88,2021/08/18,00:46:26,2021/08/18,01:03:05,46.97,16.67,0.171,0.01,5046.42,361.97,0,9.872
1,89,2021/08/18,01:06:58,2021/08/18,01:09:47,3.88,2.83,0.102,0.036,868.45,221.31,0,9.974
1,90,2021/08/18,01:16:58,2021/08/18,01:20:20,7.18,3.38,0.026,0.008,1011.92,31.38,0,10.001
1,91,2021/08/18,01:34:26,2021/08/18,01:37:38,14.1,3.22,0.098,0.03,980.7,362.29,0,10.098
1,92,2021/08/18,02:54:40,2021/08/18,03:01:56,77.03,7.28,0.127,0.017,2200.8,259.61,0,10.225
1,93,2021/08/18,03:43:39,2021/08/18,03:47:58,41.72,4.33,0.116,0.027,1321.34,226.11,0,10.341
1,94,2021/08/18,04:17:29,2021/08/18,04:21:50,29.52,4.37,0.031,0.007,1321.22,20.74,0,10.372
1,95,2021/08/18,04:24:35,2021/08/18,04:31:06,2.75,6.53,0.081,0.012,1974.81,217.23,0,10.453
1,96,2021/08/18,04:37:20,2021/08/18,05:02:47,6.23,25.47,0.136,0.005,7718.94,380.41,0,10.59
1,97,2021/08/18,05:15:27,2021/08/18,05:18:54,12.67,3.47,0.144,0.041,1042.3,329.99,0,10.733
1,98,2021/08/18,06:46:08,2021/08/18,06:53:20,87.23,7.22,0.068,0.009,2165.37,95.83,0,10.801
1,99,2021/08/18,06:56:02,2021/08/18,07:04:24,2.7,8.38,0.085,0.01,2531.16,162.58,0,10.886
1,100,2021/08/18,07:07:21,2021/08/18,07:16:10,2.95,8.83,0.958,0.108,2667.6,2284.47,0,11.844
1,101,2021/08/18,07:19:58,2021/08/18,07:27:00,3.8,7.05,0.082,0.012,2119.14,70.77,0,11.926
1,102,2021/08/18,09:26:58,2021/08/18,09:31:07,119.97,4.17,0.094,0.023,1254.37,185.33,0,12.02
1,103,2021/08/18,09:35:09,2021/08/18,09:46:56,4.03,11.8,0.068,0.006,3546.47,205.72,0,12.089
1,104,2021/08/18,11:40:46,2021/08/18,11:44:57,113.83,4.2,0.019,0.005,1252.41,39.42,0,12.108
1,105,2021/08/18,12:12:52,2021/08/18,12:20:20,27.92,7.48,0.022,0.003,2234.37,47.16,0,12.13
1,106,2021/08/18,13:59:54,2021/08/18,14:01:42,99.57,1.82,0.017,0.009,549,24.91,0,12.146
