Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
1,1,2021/08/29,10:29:38,2021/08/29,10:35:47,0,6.17,0.113,0.018,2112.85,59.45,0,0.113
1,2,2021/08/29,10:43:09,2021/08/29,10:47:35,7.37,4.45,0.06,0.013,1516.05,14.76,0,0.172
1,3,2021/08/29,14:11:06,2021/08/29,14:19:17,203.52,8.2,0.118,0.014,2798.64,271.87,0,0.29
1,4,2021/08/29,16:19:08,2021/08/29,16:23:33,119.85,4.43,0.125,0.028,1504.35,362.49,0,0.415
1,5,2021/08/29,16:52:08,2021/08/29,16:55:00,28.58,2.88,0.097,0.034,983.37,199.31,0,0.513
1,6,2021/08/29,17:21:24,2021/08/29,17:32:28,26.4,11.08,0.251,0.023,3791.43,452.45,0,0.764
1,7,2021/08/29,18:11:04,2021/08/29,18:14:58,38.6,3.92,0.056,0.014,1332.85,55.41,0,0.82
1,8,2021/08/29,18:17:54,2021/08/29,18:21:38,2.93,3.75,0.092,0.024,1282.89,329.01,0,0.911
1,9,2021/08/29,18:28:27,2021/08/29,18:39:51,6.82,11.42,0.186,0.016,3899.26,540.55,0,1.097
1,10,2021/08/29,19:33:12,2021/08/29,19:45:33,53.35,12.37,0.169,0.014,4206.36,301.58,0,1.266
1,11,2021/08/29,19:54:55,2021/08/29,20:03:12,9.37,8.3,0.202,0.024,2825.46,470.59,0,1.468
1,12,2021/08/29,20:16:44,2021/08/29,20:17:27,13.53,0.73,0.844,1.15,242.24,2392.15,0,2.312
1,13,2021/08/29,20:37:46,2021/08/29,20:38:24,20.32,0.65,0.001,0.002,215.2,5.68,0,2.313
1,14,2021/08/29,20:42:57,2021/08/29,20:58:42,4.55,15.77,0.029,0.002,5325.12,53.17,0,2.343
1,15,2021/08/29,21:01:21,2021/08/29,21:08:45,2.65,7.42,0.085,0.011,2523.03,156.5,0,2.428
1,16,2021/08/29,21:12:31,2021/08/29,21:14:19,3.77,1.82,0.047,0.026,614.96,124.12,0,2.474
1,17,2021/08/29,21:27:39,2021/08/29,21:28:10,13.33,0.53,0.003,0.005,175.51,8.78,0,2.477
1,18,2021/08/29,22:35:56,2021/08/29,22:44:45,67.77,8.83,0.054,0.006,2983.19,121.12,0,2.531
1,19,2021/08/30,01:23:46,2021/08/30,01:27:07,159.02,3.37,0.054,0.016,1142.38,149.77,0,2.586
1,20,2021/08/30,01:52:30,2021/08/30,02:06:34,25.38,14.08,0.142,0.01,4782.39,260.38,0,2.727
1,21,2021/08/30,02:10:11,2021/08/30,02:13:05,3.62,2.92,0.08,0.027,994.46,191.82,0,2.807
1,22,2021/08/30,02:57:12,2021/08/30,03:01:23,44.12,4.2,0.062,0.015,1419.93,126.5,0,2.869
1,23,2021/08/30,04:01:08,2021/08/30,04:09:39,59.75,8.53,0.167,0.02,2883.64,389.34,0,3.036
1,24,2021/08/30,04:43:57,2021/08/30,04:48:13,34.3,4.28,0.099,0.023,1460.67,304.3,0,3.136
1,25,2021/08/30,04:54:30,2021/08/30,04:59:53,6.28,5.4,0.105,0.019,1832.02,208.87,0,3.241
1,26,2021/08/30,05:25:54,2021/08/30,05:26:38,26.02,0.75,0.001,0.002,246.54,3.13,0.007,3.242
1,27,2021/08/30,05:29:29,2021/08/30,05:35:28,2.85,6,0.077,0.013,2021.24,160.33,0,3.32
1,28,2021/08/30,05:42:34,2021/08/30,05:47:30,7.1,4.95,0.066,0.013,1680.54,36.66,0,3.386
1,29,2021/08/30,05:53:35,2021/08/30,06:02:45,6.08,9.18,0.094,0.01,3092.31,226.79,0,3.48
1,30,2021/08/30,06:07:05,2021/08/30,06:09:29,4.33,2.42,0.1,0.041,821.36,154.55,0,3.58
1,31,2021/08/30,06:13:25,2021/08/30,06:13:56,3.93,0.53,0.005,0.01,174.43,15.51,0,3.585
1,32,2021/08/30,06:16:37,2021/08/30,06:17:49,2.68,1.22,0.026,0.022,411.22,55.27,0,3.612
1,33,2021/08/30,08:03:17,2021/08/30,08:05:08,105.47,1.87,0.002,0.001,622.08,7.85,0,3.614
1,34,2021/08/30,09:56:40,2021/08/30,10:02:14,111.53,5.58,0.133,0.024,1891.05,652.1,0,3.747
1,35,2021/08/30,10:05:55,2021/08/30,10:09:29,3.68,3.58,0.034,0.01,1205.1,13.6,0,3.781
