DateTime,time,Animal,kcal_hr_M
10/1/2020,3:06:00 PM,1,0.3041339
10/1/2020,3:11:00 PM,1,0.3005025
10/1/2020,3:16:00 PM,1,0.3376381
10/1/2020,3:21:00 PM,1,0.4389534
10/1/2020,3:26:00 PM,1,0.4175434
10/1/2020,3:31:00 PM,1,0.386575
10/1/2020,3:36:00 PM,1,0.3387557
10/1/2020,3:41:00 PM,1,0.3055387
10/1/2020,3:46:00 PM,1,0.2992405
10/1/2020,3:51:00 PM,1,0.3115367
10/1/2020,3:56:00 PM,1,0.3332865
10/1/2020,4:01:00 PM,1,0.3231137
10/1/2020,4:06:00 PM,1,0.3170196
10/1/2020,4:11:00 PM,1,0.3409085
10/1/2020,4:16:00 PM,1,0.419223
10/1/2020,4:21:00 PM,1,0.4410719
10/1/2020,4:26:00 PM,1,0.4325669
10/1/2020,4:31:00 PM,1,0.3885892
10/1/2020,4:36:00 PM,1,0.3334596
10/1/2020,4:41:00 PM,1,0.3305103
10/1/2020,4:46:00 PM,1,0.3640886
10/1/2020,4:51:00 PM,1,0.4666934
10/1/2020,4:56:00 PM,1,0.45223
10/1/2020,5:01:00 PM,1,0.3967001
10/1/2020,5:06:00 PM,1,0.4181191
10/1/2020,5:11:00 PM,1,0.5453721
10/1/2020,5:16:00 PM,1,0.6202514
10/1/2020,5:21:00 PM,1,0.5941756
10/1/2020,5:26:00 PM,1,0.5591878
10/1/2020,5:31:00 PM,1,0.5605046
10/1/2020,5:36:00 PM,1,0.5422218
10/1/2020,5:41:00 PM,1,0.573147
10/1/2020,5:46:00 PM,1,0.5535219
10/1/2020,5:51:00 PM,1,0.5458671
10/1/2020,5:56:00 PM,1,0.5058231
10/1/2020,6:01:00 PM,1,0.4900093
10/1/2020,6:06:00 PM,1,0.5973065
10/1/2020,6:11:00 PM,1,0.6135959
10/1/2020,6:16:00 PM,1,0.5574501
10/1/2020,6:21:00 PM,1,0.5269111
10/1/2020,6:26:00 PM,1,0.5850379
10/1/2020,6:31:00 PM,1,0.5826392
10/1/2020,6:36:00 PM,1,0.5758672
10/1/2020,6:41:00 PM,1,0.5680939
10/1/2020,6:46:00 PM,1,0.5749668
10/1/2020,6:51:00 PM,1,0.5644392
10/1/2020,6:56:00 PM,1,0.5011738
10/1/2020,7:01:00 PM,1,0.5520024
10/1/2020,7:06:00 PM,1,0.5918816
10/1/2020,7:11:00 PM,1,0.5672566
10/1/2020,7:16:00 PM,1,0.5038082
10/1/2020,7:21:00 PM,1,0.5912594
10/1/2020,7:26:00 PM,1,0.6121187
10/1/2020,7:31:00 PM,1,0.6229204
10/1/2020,7:36:00 PM,1,0.5986561
10/1/2020,7:41:00 PM,1,0.5145915
10/1/2020,7:46:00 PM,1,0.565447
10/1/2020,7:51:00 PM,1,0.609267
10/1/2020,7:56:00 PM,1,0.5943571
10/1/2020,8:01:00 PM,1,0.5560653
10/1/2020,8:06:00 PM,1,0.5679505
10/1/2020,8:11:00 PM,1,0.5468652
10/1/2020,8:16:00 PM,1,0.4745228
10/1/2020,8:21:00 PM,1,0.5964247
10/1/2020,8:26:00 PM,1,0.6514868
10/1/2020,8:31:00 PM,1,0.6279534
10/1/2020,8:36:00 PM,1,0.5596395
10/1/2020,8:41:00 PM,1,0.4826629
10/1/2020,8:46:00 PM,1,0.56945
10/1/2020,8:51:00 PM,1,0.6149446
10/1/2020,8:56:00 PM,1,0.6251251
10/1/2020,9:01:00 PM,1,0.5404536
10/1/2020,9:06:00 PM,1,0.5142543
10/1/2020,9:11:00 PM,1,0.6174663
10/1/2020,9:16:00 PM,1,0.6276109
10/1/2020,9:21:00 PM,1,0.6144118
10/1/2020,9:26:00 PM,1,0.6095055
10/1/2020,9:31:00 PM,1,0.6064276
10/1/2020,9:36:00 PM,1,0.5858181
10/1/2020,9:41:00 PM,1,0.575553
10/1/2020,9:46:00 PM,1,0.5730465
10/1/2020,9:51:00 PM,1,0.481271
10/1/2020,9:56:00 PM,1,0.4927688
10/1/2020,10:01:00 PM,1,0.5702839
10/1/2020,10:06:00 PM,1,0.6005819
10/1/2020,10:11:00 PM,1,0.630152
10/1/2020,10:16:00 PM,1,0.6530496
10/1/2020,10:21:00 PM,1,0.6023847
10/1/2020,10:26:00 PM,1,0.5979012
10/1/2020,10:31:00 PM,1,0.5785813
10/1/2020,10:36:00 PM,1,0.5771865
10/1/2020,10:41:00 PM,1,0.5828483
10/1/2020,10:46:00 PM,1,0.5865298
10/1/2020,10:51:00 PM,1,0.5420228
10/1/2020,10:56:00 PM,1,0.4900283
10/1/2020,11:01:00 PM,1,0.4826433
10/1/2020,11:06:00 PM,1,0.5447355
10/1/2020,11:11:00 PM,1,0.5894328
10/1/2020,11:16:00 PM,1,0.5840976
10/1/2020,11:21:00 PM,1,0.6079675
10/1/2020,11:26:00 PM,1,0.5930145
10/1/2020,11:31:00 PM,1,0.5560389
10/1/2020,11:36:00 PM,1,0.5815867
10/1/2020,11:41:00 PM,1,0.6022165
10/1/2020,11:46:00 PM,1,0.5957993
10/1/2020,11:51:00 PM,1,0.5761423
10/1/2020,11:56:00 PM,1,0.5534455
10/2/2020,12:01:00 AM,1,0.5460411
10/2/2020,12:06:00 AM,1,0.5709358
10/2/2020,12:11:00 AM,1,0.5142609
10/2/2020,12:16:00 AM,1,0.5208632
10/2/2020,12:21:00 AM,1,0.5302525
10/2/2020,12:26:00 AM,1,0.5631689
10/2/2020,12:31:00 AM,1,0.5421385
10/2/2020,12:36:00 AM,1,0.4973182
10/2/2020,12:41:00 AM,1,0.474263
10/2/2020,12:46:00 AM,1,0.475098
10/2/2020,12:51:00 AM,1,0.5111834
10/2/2020,12:56:00 AM,1,0.549761
10/2/2020,1:01:00 AM,1,0.519228
10/2/2020,1:06:00 AM,1,0.4485869
10/2/2020,1:11:00 AM,1,0.4402385
10/2/2020,1:16:00 AM,1,0.3924788
10/2/2020,1:21:00 AM,1,0.3475033
10/2/2020,1:26:00 AM,1,0.3440823
10/2/2020,1:31:00 AM,1,0.3461519
10/2/2020,1:36:00 AM,1,0.3521311
10/2/2020,1:41:00 AM,1,0.3574485
10/2/2020,1:46:00 AM,1,0.3462313
10/2/2020,1:51:00 AM,1,0.3498214
10/2/2020,1:56:00 AM,1,0.3503964
10/2/2020,2:01:00 AM,1,0.3659756
10/2/2020,2:06:00 AM,1,0.3198712
10/2/2020,2:11:00 AM,1,0.3771366
10/2/2020,2:16:00 AM,1,0.4449025
10/2/2020,2:21:00 AM,1,0.5100828
10/2/2020,2:26:00 AM,1,0.489617
10/2/2020,2:31:00 AM,1,0.5384354
10/2/2020,2:36:00 AM,1,0.6098687
10/2/2020,2:41:00 AM,1,0.6089583
10/2/2020,2:46:00 AM,1,0.5373684
10/2/2020,2:51:00 AM,1,0.5128495
10/2/2020,2:56:00 AM,1,0.585533
10/2/2020,3:01:00 AM,1,0.586805
10/2/2020,3:06:00 AM,1,0.5981374
10/2/2020,3:11:00 AM,1,0.5752003
10/2/2020,3:16:00 AM,1,0.5265542
10/2/2020,3:21:00 AM,1,0.5497204
10/2/2020,3:26:00 AM,1,0.5001361
10/2/2020,3:31:00 AM,1,0.5571479
10/2/2020,3:36:00 AM,1,0.5219603
10/2/2020,3:41:00 AM,1,0.4643566
10/2/2020,3:46:00 AM,1,0.5320007
10/2/2020,3:51:00 AM,1,0.5456122
10/2/2020,3:56:00 AM,1,0.5482779
10/2/2020,4:01:00 AM,1,0.556649
10/2/2020,4:06:00 AM,1,0.54887
10/2/2020,4:11:00 AM,1,0.566776
10/2/2020,4:16:00 AM,1,0.5790501
10/2/2020,4:21:00 AM,1,0.4040845
10/2/2020,4:26:00 AM,1,0.371074
10/2/2020,4:31:00 AM,1,0.4155019
10/2/2020,4:36:00 AM,1,0.4523867
10/2/2020,4:41:00 AM,1,0.4103
10/2/2020,4:46:00 AM,1,0.4096074
10/2/2020,4:51:00 AM,1,0.4082638
10/2/2020,4:56:00 AM,1,0.4247005
10/2/2020,5:01:00 AM,1,0.361162
10/2/2020,5:06:00 AM,1,0.3791059
10/2/2020,5:11:00 AM,1,0.3746051
10/2/2020,5:16:00 AM,1,0.3269777
10/2/2020,5:21:00 AM,1,0.3463086
10/2/2020,5:26:00 AM,1,0.3608055
10/2/2020,5:31:00 AM,1,0.3462584
10/2/2020,5:36:00 AM,1,0.3372808
10/2/2020,5:41:00 AM,1,0.3352564
10/2/2020,5:46:00 AM,1,0.3405944
10/2/2020,5:51:00 AM,1,0.3524116
10/2/2020,5:56:00 AM,1,0.3380576
10/2/2020,6:01:00 AM,1,0.3418001
10/2/2020,6:06:00 AM,1,0.3721317
10/2/2020,6:11:00 AM,1,0.3528601
10/2/2020,6:16:00 AM,1,0.346572
10/2/2020,6:21:00 AM,1,0.3389722
10/2/2020,6:26:00 AM,1,0.3197742
10/2/2020,6:31:00 AM,1,0.3565831
10/2/2020,6:36:00 AM,1,0.3416119
10/2/2020,6:41:00 AM,1,0.3546597
10/2/2020,6:46:00 AM,1,0.339332
10/2/2020,6:51:00 AM,1,0.3375857
10/2/2020,6:56:00 AM,1,0.3723683
10/2/2020,7:01:00 AM,1,0.3756275
10/2/2020,7:06:00 AM,1,0.3191124
10/2/2020,7:11:00 AM,1,0.3192408
10/2/2020,7:16:00 AM,1,0.3298757
10/2/2020,7:21:00 AM,1,0.3440662
10/2/2020,7:26:00 AM,1,0.3334256
10/2/2020,7:31:00 AM,1,0.3304379
10/2/2020,7:36:00 AM,1,0.3129849
10/2/2020,7:41:00 AM,1,0.3023044
10/2/2020,7:46:00 AM,1,0.3041721
10/2/2020,7:51:00 AM,1,0.3526669
10/2/2020,7:56:00 AM,1,0.412397
10/2/2020,8:01:00 AM,1,0.4615734
10/2/2020,8:06:00 AM,1,0.4638352
10/2/2020,8:11:00 AM,1,0.5073359
10/2/2020,8:16:00 AM,1,0.5042567
10/2/2020,8:21:00 AM,1,0.4398942
10/2/2020,8:26:00 AM,1,0.3677547
10/2/2020,8:31:00 AM,1,0.3938785
10/2/2020,8:36:00 AM,1,0.3884604
10/2/2020,8:41:00 AM,1,0.332634
10/2/2020,8:46:00 AM,1,0.3179403
10/2/2020,8:51:00 AM,1,0.3247422
10/2/2020,8:56:00 AM,1,0.3497629
10/2/2020,9:01:00 AM,1,0.3514034
10/2/2020,9:06:00 AM,1,0.3374902
10/2/2020,9:11:00 AM,1,0.3484028
10/2/2020,9:16:00 AM,1,0.3296332
10/2/2020,9:21:00 AM,1,0.3572954
10/2/2020,9:26:00 AM,1,0.3440798
10/2/2020,9:31:00 AM,1,0.3649775
10/2/2020,9:36:00 AM,1,0.3871356
10/2/2020,9:41:00 AM,1,0.3409542
10/2/2020,9:46:00 AM,1,0.3237779
10/2/2020,9:51:00 AM,1,0.3226064
10/2/2020,9:56:00 AM,1,0.3250134
10/2/2020,10:01:00 AM,1,0.3346563
10/2/2020,10:06:00 AM,1,0.3263614
10/2/2020,10:11:00 AM,1,0.3245296
10/2/2020,10:16:00 AM,1,0.315451
10/2/2020,10:21:00 AM,1,0.3157034
10/2/2020,10:26:00 AM,1,0.3362737
10/2/2020,10:31:00 AM,1,0.3265385
10/2/2020,10:36:00 AM,1,0.4125631
10/2/2020,10:41:00 AM,1,0.4471311
10/2/2020,10:46:00 AM,1,0.4467916
10/2/2020,10:51:00 AM,1,0.3502232
10/2/2020,10:56:00 AM,1,0.334751
10/2/2020,11:01:00 AM,1,0.3562368
10/2/2020,11:06:00 AM,1,0.3324951
10/2/2020,11:11:00 AM,1,0.314624
10/2/2020,11:16:00 AM,1,0.2997689
10/2/2020,11:21:00 AM,1,0.3062332
10/2/2020,11:26:00 AM,1,0.3197002
10/2/2020,11:31:00 AM,1,0.3045347
10/2/2020,11:36:00 AM,1,0.3134679
10/2/2020,11:41:00 AM,1,0.3126208
10/2/2020,11:46:00 AM,1,0.3113643
10/2/2020,11:51:00 AM,1,0.3061041
10/2/2020,11:56:00 AM,1,0.3183625
10/2/2020,12:01:00 PM,1,0.3085883
10/2/2020,12:06:00 PM,1,0.2948877
10/2/2020,12:11:00 PM,1,0.308987
10/2/2020,12:16:00 PM,1,0.2744791
10/2/2020,12:21:00 PM,1,0.267049
10/2/2020,12:26:00 PM,1,0.2822241
10/2/2020,12:31:00 PM,1,0.2891424
10/2/2020,12:36:00 PM,1,0.2889544
10/2/2020,12:41:00 PM,1,0.2698097
10/2/2020,12:46:00 PM,1,0.3346494
10/2/2020,12:51:00 PM,1,0.37833
10/2/2020,12:56:00 PM,1,0.3593914
10/2/2020,1:01:00 PM,1,0.3490014
10/2/2020,1:06:00 PM,1,0.3892261
10/2/2020,1:11:00 PM,1,0.3081455
10/2/2020,1:16:00 PM,1,0.2628931
10/2/2020,1:21:00 PM,1,0.282134
10/2/2020,1:26:00 PM,1,0.2859935
10/2/2020,1:31:00 PM,1,0.3071703
10/2/2020,1:36:00 PM,1,0.2954201
10/2/2020,1:41:00 PM,1,0.3077721
10/2/2020,1:46:00 PM,1,0.2982061
10/2/2020,1:51:00 PM,1,0.2962266
10/2/2020,1:56:00 PM,1,0.2909433
10/2/2020,2:01:00 PM,1,0.3198583
10/2/2020,2:06:00 PM,1,0.30168
10/2/2020,2:11:00 PM,1,0.2966567
10/2/2020,2:16:00 PM,1,0.3073313
10/2/2020,2:21:00 PM,1,0.3311967
10/2/2020,2:26:00 PM,1,0.3421456
10/2/2020,2:31:00 PM,1,0.3727894
10/2/2020,2:36:00 PM,1,0.4051433
10/2/2020,2:41:00 PM,1,0.4348698
10/2/2020,2:46:00 PM,1,0.4317631
10/2/2020,2:51:00 PM,1,0.4082486
10/2/2020,2:56:00 PM,1,0.3581522
10/2/2020,3:01:00 PM,1,0.3721818
10/2/2020,3:06:00 PM,1,0.3244902
10/2/2020,3:11:00 PM,1,0.2921678
10/2/2020,3:16:00 PM,1,0.2951585
10/2/2020,3:21:00 PM,1,0.2900738
10/2/2020,3:26:00 PM,1,0.2943412
10/2/2020,3:31:00 PM,1,0.2803543
10/2/2020,3:36:00 PM,1,0.3093483
10/2/2020,3:41:00 PM,1,0.3003977
10/2/2020,3:46:00 PM,1,0.2927847
10/2/2020,3:51:00 PM,1,0.3162246
10/2/2020,3:56:00 PM,1,0.3264602
10/2/2020,4:01:00 PM,1,0.3141273
10/2/2020,4:06:00 PM,1,0.3295704
10/2/2020,4:11:00 PM,1,0.3335277
10/2/2020,4:16:00 PM,1,0.3194364
10/2/2020,4:21:00 PM,1,0.3711942
10/2/2020,4:26:00 PM,1,0.4287698
10/2/2020,4:31:00 PM,1,0.3765025
10/2/2020,4:36:00 PM,1,0.4449486
10/2/2020,4:41:00 PM,1,0.4605619
10/2/2020,4:46:00 PM,1,0.4690356
10/2/2020,4:51:00 PM,1,0.4892718
10/2/2020,4:56:00 PM,1,0.4968508
10/2/2020,5:01:00 PM,1,0.5315334
10/2/2020,5:06:00 PM,1,0.5759602
10/2/2020,5:11:00 PM,1,0.6107026
10/2/2020,5:16:00 PM,1,0.5871032
10/2/2020,5:21:00 PM,1,0.5850663
10/2/2020,5:26:00 PM,1,0.5394945
10/2/2020,5:31:00 PM,1,0.5269766
10/2/2020,5:36:00 PM,1,0.5754643
10/2/2020,5:41:00 PM,1,0.5733435
10/2/2020,5:46:00 PM,1,0.5696213
10/2/2020,5:51:00 PM,1,0.5600772
10/2/2020,5:56:00 PM,1,0.5322213
10/2/2020,6:01:00 PM,1,0.5608478
10/2/2020,6:06:00 PM,1,0.5746459
10/2/2020,6:11:00 PM,1,0.5903376
10/2/2020,6:16:00 PM,1,0.546827
10/2/2020,6:21:00 PM,1,0.5438994
10/2/2020,6:26:00 PM,1,0.5905246
10/2/2020,6:31:00 PM,1,0.6051225
10/2/2020,6:36:00 PM,1,0.5958248
10/2/2020,6:41:00 PM,1,0.5547217
10/2/2020,6:46:00 PM,1,0.5740332
10/2/2020,6:51:00 PM,1,0.5751864
10/2/2020,6:56:00 PM,1,0.59926
10/2/2020,7:01:00 PM,1,0.5973812
10/2/2020,7:06:00 PM,1,0.5509275
10/2/2020,7:11:00 PM,1,0.5249976
10/2/2020,7:16:00 PM,1,0.6016818
10/2/2020,7:21:00 PM,1,0.6188316
10/2/2020,7:26:00 PM,1,0.5816629
10/2/2020,7:31:00 PM,1,0.5736179
10/2/2020,7:36:00 PM,1,0.5421872
10/2/2020,7:41:00 PM,1,0.4620938
10/2/2020,7:46:00 PM,1,0.5249261
10/2/2020,7:51:00 PM,1,0.5794739
10/2/2020,7:56:00 PM,1,0.5883032
10/2/2020,8:01:00 PM,1,0.5270754
10/2/2020,8:06:00 PM,1,0.5681513
10/2/2020,8:11:00 PM,1,0.58542
10/2/2020,8:16:00 PM,1,0.5856665
10/2/2020,8:21:00 PM,1,0.565223
10/2/2020,8:26:00 PM,1,0.5667691
10/2/2020,8:31:00 PM,1,0.5669023
10/2/2020,8:36:00 PM,1,0.5185599
10/2/2020,8:41:00 PM,1,0.5189068
10/2/2020,8:46:00 PM,1,0.4898988
10/2/2020,8:51:00 PM,1,0.4777871
10/2/2020,8:56:00 PM,1,0.5607224
10/2/2020,9:01:00 PM,1,0.6169838
10/2/2020,9:06:00 PM,1,0.6247192
10/2/2020,9:11:00 PM,1,0.565574
10/2/2020,9:16:00 PM,1,0.5794498
10/2/2020,9:21:00 PM,1,0.5758554
10/2/2020,9:26:00 PM,1,0.5750393
10/2/2020,9:31:00 PM,1,0.506501
10/2/2020,9:36:00 PM,1,0.5240248
10/2/2020,9:41:00 PM,1,0.5375609
10/2/2020,9:46:00 PM,1,0.5735405
10/2/2020,9:51:00 PM,1,0.6052541
10/2/2020,9:56:00 PM,1,0.6190459
